序号,关键词ID,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均停留秒,是否零点击词,CPC,浏览深度,异常标记
194,3485,63563817,4190988309,0.0,0,0,,,1,,,
195,3617,63563817,4190988309,1.68,1,1,1.0,120,0,1.68,1.0,
196,3840,63563817,4190988309,0.0,0,0,,,1,,,
197,4017,63563817,4190988309,18.21,10,21,0.6364,315,0,1.821,2.1,
198,4097,63563817,4190988309,37.12,19,418,0.6316,449,0,1.9537,22.0,
199,4101,63563817,4190988309,33.58,27,56,0.6538,97,0,1.2437,2.0741,
200,4134,63563817,4190988309,0.0,0,0,,,1,,,
201,4135,63563817,4190988309,1.57,1,1,1.0,0,0,1.57,1.0,
202,4177,63563817,4190988309,2053.55,1402,10918,0.4145,483,0,1.4647,7.7874,
203,4195,63563817,4190988309,25.1,10,11,1.0,57,0,2.51,1.1,
204,4905,63563817,4190988309,0.0,0,0,,,1,,,
205,5257,63563817,4190988309,12.66,10,11,1.0,55,0,1.266,1.1,
206,5268,63563817,4190988309,0.0,0,0,,,1,,,
207,5367,63563817,4190988309,0.0,0,0,,,1,,,
208,5374,63563817,4190988309,73.72,28,44,0.75,75,0,2.6329,1.5714,
209,5465,63563817,4190988309,0.0,0,0,,,1,,,
210,5649,63563817,4190988309,9.69,6,26,0.8,466,0,1.615,4.3333,
211,5699,63563817,4190988309,0.0,0,0,,,1,,,
212,5801,63563817,4190988309,0.0,0,0,,,1,,,
213,5900,63563817,4190988309,0.0,0,0,,,1,,,
214,5910,63563817,4190988309,0.0,0,0,,,1,,,
215,6051,63563817,4190988309,0.0,0,0,,,1,,,
216,6082,63563817,4190988309,1.85,1,1,1.0,12,0,1.85,1.0,
217,6083,63563817,4190988309,22.89,16,84,0.4375,371,0,1.4306,5.25,
218,6207,63563817,4190988309,0.0,0,0,,,1,,,
219,6224,63563817,4190988309,3.44,2,2,1.0,11,0,1.72,1.0,
220,6245,63563817,4190988309,6.07,2,61,0.0,1360,0,3.035,30.5,
221,6602,63563817,4190988309,0.0,0,0,,,1,,,
222,88,63563817,4190988310,0.0,0,0,,,1,,,
223,167,63563817,4190988310,0.0,0,0,,,1,,,
224,228,63563817,4190988310,4.64,4,3,1.0,62,0,1.16,0.75,浏览<点击
225,266,63563817,4190988310,0.0,0,0,,,1,,,
226,467,63563817,4190988310,0.0,0,0,,,1,,,
227,867,63563817,4190988310,0.0,0,0,,,1,,,
228,925,63563817,4190988310,109.28,74,122,0.9231,44,0,1.4768,1.6486,
229,990,63563817,4190988310,12.69,8,28,0.7143,415,0,1.5862,3.5,
230,1108,63563817,4190988310,1.73,1,1,1.0,25,0,1.73,1.0,
231,1186,63563817,4190988310,55.07,39,57,0.8974,146,0,1.4121,1.4615,
232,1362,63563817,4190988310,0.0,0,0,,,1,,,
233,1517,63563817,4190988310,9.07,7,7,0.8333,11,0,1.2957,1.0,
234,1554,63563817,4190988310,0.0,0,0,,,1,,,
235,1567,63563817,4190988310,367.4,238,812,0.6996,208,0,1.5437,3.4118,
236,1583,63563817,4190988310,0.48,1,1,1.0,120,0,0.48,1.0,
237,1667,63563817,4190988310,93.58,53,120,0.8824,101,0,1.7657,2.2642,
238,1714,63563817,4190988310,0.0,0,0,,,1,,,
239,1808,63563817,4190988310,0.0,0,0,,,1,,,
240,1907,63563817,4190988310,0.0,0,0,,,1,,,
241,2123,63563817,4190988310,72.85,47,122,0.75,249,0,1.55,2.5957,
242,2145,63563817,4190988310,0.0,0,0,,,1,,,
243,2158,63563817,4190988310,0.0,0,0,,,1,,,
244,2190,63563817,4190988310,0.0,0,0,,,1,,,
245,2212,63563817,4190988310,3.45,2,2,1.0,61,0,1.725,1.0,
246,2294,63563817,4190988310,6.61,4,4,1.0,15,0,1.6525,1.0,
247,2384,63563817,4190988310,0.0,0,0,,,1,,,
248,2397,63563817,4190988310,0.0,0,0,,,1,,,
249,2505,63563817,4190988310,13.67,8,17,0.875,85,0,1.7088,2.125,
250,2570,63563817,4190988310,0.0,0,0,,,1,,,
251,2789,63563817,4190988310,0.0,0,0,,,1,,,
252,2889,63563817,4190988310,14.0,8,6,1.0,20,0,1.75,0.75,浏览<点击
253,2892,63563817,4190988310,148.25,104,175,0.82,140,0,1.4255,1.6827,
254,2980,63563817,4190988310,1.88,1,1,1.0,1,0,1.88,1.0,
255,2985,63563817,4190988310,1810.51,1217,1985,0.8828,84,0,1.4877,1.6311,
256,3106,63563817,4190988310,18.29,11,18,0.7273,78,0,1.6627,1.6364,
257,3169,63563817,4190988310,1047.53,674,977,0.8812,64,0,1.5542,1.4496,
258,3180,63563817,4190988310,3.89,3,14,0.6667,676,0,1.2967,4.6667,
259,3304,63563817,4190988310,17.28,11,26,0.8182,84,0,1.5709,2.3636,
260,3328,63563817,4190988310,0.0,0,0,,,1,,,
261,3501,63563817,4190988310,1.01,1,0,0.0,0,0,1.01,0.0,浏览<点击
262,3732,63563817,4190988310,62.1,44,44,0.9,22,0,1.4114,1.0,
263,3818,63563817,4190988310,5.74,2,9,0.0,54,0,2.87,4.5,
264,4043,63563817,4190988310,0.0,0,0,,,1,,,
265,4048,63563817,4190988310,9.39,8,49,0.5,563,0,1.1738,6.125,
266,4126,63563817,4190988310,8.95,4,4,1.0,46,0,2.2375,1.0,
267,4155,63563817,4190988310,5.39,4,6,0.6667,30,0,1.3475,1.5,
268,4403,63563817,4190988310,25.77,19,160,0.4444,413,0,1.3563,8.4211,
269,4675,63563817,4190988310,22.54,16,61,0.7059,172,0,1.4088,3.8125,
270,4713,63563817,4190988310,4.68,1,7,0.0,278,0,4.68,7.0,
271,4773,63563817,4190988310,205.93,107,171,0.9248,58,0,1.9246,1.5981,
272,4791,63563817,4190988310,24.87,13,116,0.3846,617,0,1.9131,8.9231,
273,4827,63563817,4190988310,96.36,61,207,0.7097,256,0,1.5797,3.3934,
274,4868,63563817,4190988310,0.0,0,0,,,1,,,
275,5010,63563817,4190988310,63.52,44,78,0.8444,114,0,1.4436,1.7727,
276,5134,63563817,4190988310,168.35,129,782,0.6371,296,0,1.305,6.062,
277,5267,63563817,4190988310,110.96,83,183,0.8214,167,0,1.3369,2.2048,
278,5330,63563817,4190988310,121.6,77,649,0.4861,767,0,1.5792,8.4286,
279,5393,63563817,4190988310,0.0,0,0,,,1,,,
280,5418,63563817,4190988310,15.18,8,64,0.375,699,0,1.8975,8.0,
281,5592,63563817,4190988310,28.18,17,18,0.9375,34,0,1.6576,1.0588,
282,5701,63563817,4190988310,25.42,17,18,0.7857,191,0,1.4953,1.0588,
283,5801,63563817,4190988310,0.0,0,0,,,1,,,
284,5812,63563817,4190988310,5.56,4,6,0.75,192,0,1.39,1.5,
285,5840,63563817,4190988310,3.66,2,2,1.0,16,0,1.83,1.0,
286,5849,63563817,4190988310,0.0,0,0,,,1,,,
287,5973,63563817,4190988310,0.0,0,0,,,1,,,
288,6054,63563817,4190988310,0.0,0,0,,,1,,,
289,6082,63563817,4190988310,0.0,0,0,,,1,,,
290,6299,63563817,4190988310,0.0,0,0,,,1,,,
291,6325,63563817,4190988310,83.51,64,118,0.9153,94,0,1.3048,1.8438,
292,6352,63563817,4190988310,70.17,42,269,0.375,387,0,1.6707,6.4048,
293,6364,63563817,4190988310,0.9,1,1,1.0,7,0,0.9,1.0,
294,6604,63563817,4190988310,0.0,0,0,,,1,,,
295,1048,495403620,8878077181,1263.59,2840,29775,0.082,670,0,0.4449,10.4842,
296,1607,495403620,8878077181,1149.42,805,8194,0.0958,710,0,1.4279,10.1789,
297,3989,495403620,8878077181,75197.1,124758,1230619,0.0814,631,0,0.6027,9.864,
298,5778,495403620,8878077181,46615.59,40349,425786,0.0839,653,0,1.1553,10.5526,
299,2,495403620,9628223555,14.89,12,9,0.8333,86,0,1.2408,0.75,浏览<点击
300,6,495403620,9628223555,4.69,3,2,1.0,72,0,1.5633,0.6667,浏览<点击
301,14,495403620,9628223555,1.48,2,1,1.0,1,0,0.74,0.5,浏览<点击
302,31,495403620,9628223555,0.83,1,0,0.0,0,0,0.83,0.0,浏览<点击
303,33,495403620,9628223555,20.07,21,20,0.9375,40,0,0.9557,0.9524,浏览<点击
304,55,495403620,9628223555,0.9,1,1,1.0,120,0,0.9,1.0,
305,57,495403620,9628223555,5.02,6,2,1.0,2,0,0.8367,0.3333,浏览<点击
306,62,495403620,9628223555,5.88,7,10,0.8333,372,0,0.84,1.4286,
307,104,495403620,9628223555,210.57,164,201,0.8636,64,0,1.284,1.2256,
308,149,495403620,9628223555,1.23,1,1,1.0,120,0,1.23,1.0,
309,151,495403620,9628223555,48.47,39,46,0.875,73,0,1.2428,1.1795,
310,154,495403620,9628223555,50.67,71,55,0.9615,94,0,0.7137,0.7746,浏览<点击
311,155,495403620,9628223555,0.0,0,0,,,1,,,
312,164,495403620,9628223555,0.0,0,0,,,1,,,
313,175,495403620,9628223555,6.73,4,2,1.0,10,0,1.6825,0.5,浏览<点击
314,190,495403620,9628223555,4.14,3,2,1.0,21,0,1.38,0.6667,浏览<点击
315,217,495403620,9628223555,27.42,13,10,0.8333,73,0,2.1092,0.7692,浏览<点击
316,235,495403620,9628223555,46.26,36,60,0.7667,161,0,1.285,1.6667,
317,255,495403620,9628223555,30.98,17,33,0.8571,42,0,1.8224,1.9412,
318,267,495403620,9628223555,0.0,0,0,,,1,,,
319,270,495403620,9628223555,0.0,0,0,,,1,,,
320,282,495403620,9628223555,0.0,0,0,,,1,,,
321,303,495403620,9628223555,0.0,0,0,,,1,,,
322,306,495403620,9628223555,0.65,2,2,0.0,40,0,0.325,1.0,
323,338,495403620,9628223555,19.59,13,13,0.9,49,0,1.5069,1.0,
324,391,495403620,9628223555,0.0,0,0,,,1,,,
325,400,495403620,9628223555,79.42,60,80,0.9057,76,0,1.3237,1.3333,
326,427,495403620,9628223555,14.62,9,7,1.0,3,0,1.6244,0.7778,浏览<点击
327,432,495403620,9628223555,0.0,0,0,,,1,,,
328,433,495403620,9628223555,0.0,0,0,,,1,,,
329,438,495403620,9628223555,10.63,35,8,0.8571,133,0,0.3037,0.2286,浏览<点击
330,444,495403620,9628223555,11427.64,6746,61262,0.1014,598,0,1.694,9.0812,
331,457,495403620,9628223555,0.0,0,0,,,1,,,
332,469,495403620,9628223555,0.0,0,0,,,1,,,
333,510,495403620,9628223555,0.0,0,0,,,1,,,
334,523,495403620,9628223555,9.83,10,24,0.75,298,0,0.983,2.4,
335,524,495403620,9628223555,8.95,6,14,0.8,176,0,1.4917,2.3333,
336,528,495403620,9628223555,1.27,1,0,0.0,0,0,1.27,0.0,浏览<点击
337,546,495403620,9628223555,0.0,0,0,,,1,,,
338,552,495403620,9628223555,0.94,1,1,1.0,1,0,0.94,1.0,
339,570,495403620,9628223555,4.51,4,2,1.0,62,0,1.1275,0.5,浏览<点击
340,608,495403620,9628223555,0.0,0,0,,,1,,,
341,609,495403620,9628223555,0.0,0,0,,,1,,,
342,646,495403620,9628223555,4.58,6,4,1.0,96,0,0.7633,0.6667,浏览<点击
343,652,495403620,9628223555,2.01,4,7,0.5,63,0,0.5025,1.75,
344,665,495403620,9628223555,893.04,602,734,0.7539,174,0,1.4835,1.2193,
345,700,495403620,9628223555,111.9,117,191,0.6778,186,0,0.9564,1.6325,
346,703,495403620,9628223555,1.38,1,1,1.0,6,0,1.38,1.0,
347,711,495403620,9628223555,0.81,1,0,0.0,0,0,0.81,0.0,浏览<点击
348,734,495403620,9628223555,1.77,1,1,1.0,44,0,1.77,1.0,
349,751,495403620,9628223555,0.0,0,0,,,1,,,
350,752,495403620,9628223555,0.0,0,0,,,1,,,
351,755,495403620,9628223555,5.73,7,13,0.8333,235,0,0.8186,1.8571,
352,763,495403620,9628223555,0.0,0,0,,,1,,,
353,856,495403620,9628223555,0.0,0,0,,,1,,,
354,859,495403620,9628223555,32.11,16,41,0.6364,626,0,2.0069,2.5625,
355,874,495403620,9628223555,0.0,0,0,,,1,,,
356,875,495403620,9628223555,1047.58,1054,1220,0.8092,149,0,0.9939,1.1575,
357,904,495403620,9628223555,0.0,0,0,,,1,,,
358,909,495403620,9628223555,5.4,2,0,0.0,0,0,2.7,0.0,浏览<点击
359,958,495403620,9628223555,0.37,1,1,1.0,12,0,0.37,1.0,
360,982,495403620,9628223555,9.1,11,14,0.9,20,0,0.8273,1.2727,
361,1018,495403620,9628223555,102.67,67,256,0.5556,376,0,1.5324,3.8209,
362,1040,495403620,9628223555,5.45,6,29,0.5,261,0,0.9083,4.8333,
363,1049,495403620,9628223555,1.61,1,1,1.0,2,0,1.61,1.0,
364,1092,495403620,9628223555,24.51,26,46,0.875,329,0,0.9427,1.7692,
365,1094,495403620,9628223555,2.51,3,3,1.0,177,0,0.8367,1.0,
366,1164,495403620,9628223555,18.53,13,78,0.4615,206,0,1.4254,6.0,
367,1178,495403620,9628223555,0.0,0,0,,,1,,,
368,1235,495403620,9628223555,0.0,0,0,,,1,,,
369,1241,495403620,9628223555,3.09,4,10,0.75,462,0,0.7725,2.5,
370,1249,495403620,9628223555,0.0,0,0,,,1,,,
371,1257,495403620,9628223555,212.08,164,241,0.5614,344,0,1.2932,1.4695,
372,1265,495403620,9628223555,0.0,0,0,,,1,,,
373,1268,495403620,9628223555,9.13,12,7,1.0,5,0,0.7608,0.5833,浏览<点击
374,1270,495403620,9628223555,3.53,4,1,1.0,3,0,0.8825,0.25,浏览<点击
375,1285,495403620,9628223555,2.38,1,1,1.0,2,0,2.38,1.0,
376,1310,495403620,9628223555,0.0,0,0,,,1,,,
377,1314,495403620,9628223555,23.63,16,24,0.8462,148,0,1.4769,1.5,
