日期,方案ID,推广单元ID,展现量,点击量,消费额,上方位展现量,上方首位展现量,上方位点击量,上方位消费额,CTR,上方位展现占比,首位展现占比,上方位点击占比,上方位消费占比,异常标记
2025-02-15,500635396,9657930100,9650,1403,3448.13,2473,2415,51,315.22,0.1454,0.2563,0.2503,0.0364,0.0914,
2025-02-16,495403620,9628223555,7062,193,651.73,3165,3113,58,369.23,0.0273,0.4482,0.4408,0.3005,0.5665,
2025-02-16,500635396,9657930100,9963,1449,3511.83,2666,2620,43,255.85,0.1454,0.2676,0.263,0.0297,0.0729,
2025-02-17,495403620,9628223555,7258,211,736.36,3068,3015,63,410.6,0.0291,0.4227,0.4154,0.2986,0.5576,
2025-02-17,500635396,9657930100,6553,1126,2750.0,1285,1248,34,182.03,0.1718,0.1961,0.1904,0.0302,0.0662,
2025-02-18,495403620,9628223555,8972,142,634.14,3414,3338,77,493.84,0.0158,0.3805,0.372,0.5423,0.7788,
2025-02-18,500635396,9657930100,11575,1770,4140.26,2368,2271,39,214.76,0.1529,0.2046,0.1962,0.022,0.0519,
2025-02-19,495403620,9628223555,14921,176,934.81,7323,7237,131,851.14,0.0118,0.4908,0.485,0.7443,0.9105,
2025-02-19,500635396,9657930100,10037,2189,5076.69,1198,1105,37,190.54,0.2181,0.1194,0.1101,0.0169,0.0375,
2025-02-20,495403620,9628223555,16143,215,1093.36,8499,8390,130,919.45,0.0133,0.5265,0.5197,0.6047,0.8409,
2025-02-20,500635396,9657930100,11615,2493,5946.43,2170,2060,49,287.23,0.2146,0.1868,0.1774,0.0197,0.0483,
2025-02-21,495403620,8878077181,196,126,285.45,123,109,99,246.99,0.6429,0.6276,0.5561,0.7857,0.8653,
2025-02-21,495403620,9628223555,15962,191,1108.01,8819,8720,144,1003.68,0.012,0.5525,0.5463,0.7539,0.9058,
2025-02-21,495817671,9630806627,7767,609,1447.73,3120,3113,59,352.88,0.0784,0.4017,0.4008,0.0969,0.2437,
2025-02-21,500635396,9657930100,13097,2855,6884.66,2624,2488,50,296.78,0.218,0.2004,0.19,0.0175,0.0431,
2025-02-22,495403620,8878077181,385,142,218.99,231,177,110,173.12,0.3688,0.6,0.4597,0.7746,0.7905,
2025-02-22,495403620,9628223555,4031,39,234.84,2300,2270,28,208.07,0.0097,0.5706,0.5631,0.7179,0.886,
2025-02-22,495817671,9630806627,25826,3266,6554.37,7633,7534,140,852.62,0.1265,0.2956,0.2917,0.0429,0.1301,
2025-02-22,500635396,9657930100,3034,526,1317.04,666,625,12,66.99,0.1734,0.2195,0.206,0.0228,0.0509,
2025-02-22,500635396,9700005700,4,1,3.22,3,2,1,3.22,0.25,0.75,0.5,1.0,1.0,
2025-02-22,525368335,9811363528,19446,1945,3555.08,5973,5824,89,524.01,0.1,0.3072,0.2995,0.0458,0.1474,
2025-02-23,495403620,8878077181,620,209,315.17,384,248,157,239.85,0.3371,0.6194,0.4,0.7512,0.761,
2025-02-23,495817671,9630806627,4554,1191,2160.53,481,452,12,59.71,0.2615,0.1056,0.0993,0.0101,0.0276,
2025-02-23,500635396,9700005700,4,0,0.0,2,1,0,0.0,0.0,0.5,0.25,,,
2025-02-23,525368335,9811363528,18885,1391,2934.12,7247,7111,133,799.85,0.0737,0.3837,0.3765,0.0956,0.2726,
2025-02-24,495403620,8878077181,389,117,232.16,257,159,90,175.53,0.3008,0.6607,0.4087,0.7692,0.7561,
2025-02-24,495817671,9630806627,3123,1062,1981.97,182,161,8,33.47,0.3401,0.0583,0.0516,0.0075,0.0169,
2025-02-24,500635396,9700005700,5,0,0.0,4,3,0,0.0,0.0,0.8,0.6,,,
2025-02-24,525368335,9811363528,12281,903,1922.23,4177,4109,96,590.41,0.0735,0.3401,0.3346,0.1063,0.3071,
2025-02-25,495403620,8878077181,463,158,320.96,284,200,100,186.72,0.3413,0.6134,0.432,0.6329,0.5818,
2025-02-25,495817671,9630806627,8534,2714,5097.73,405,358,37,167.89,0.318,0.0475,0.0419,0.0136,0.0329,
2025-02-25,500635396,9700005700,3,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-02-25,525368335,9811363528,22163,1975,3929.24,8145,8046,152,906.45,0.0891,0.3675,0.363,0.077,0.2307,
2025-02-26,495403620,8878077181,856,262,570.75,566,376,196,419.48,0.3061,0.6612,0.4393,0.7481,0.735,
2025-02-26,495817671,9630806627,10282,2664,5155.24,1574,1384,73,317.74,0.2591,0.1531,0.1346,0.0274,0.0616,
2025-02-26,500635396,9700005700,2,1,5.29,1,1,0,0.0,0.5,0.5,0.5,0.0,0.0,
2025-02-26,525368335,9811363528,43940,2677,6099.33,18400,18161,349,2212.57,0.0609,0.4188,0.4133,0.1304,0.3628,
2025-02-27,495403620,8878077181,670,130,321.13,485,203,89,219.73,0.194,0.7239,0.303,0.6846,0.6842,
2025-02-27,495817671,9630806627,9423,2277,4541.64,2396,2260,136,566.66,0.2416,0.2543,0.2398,0.0597,0.1248,
2025-02-27,500635396,9700005700,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-02-27,525368335,9811363528,42891,2742,5880.82,16614,16363,325,1881.19,0.0639,0.3874,0.3815,0.1185,0.3199,
2025-02-28,495403620,8878077181,455,71,147.61,285,157,42,85.39,0.156,0.6264,0.3451,0.5915,0.5785,
2025-02-28,495817671,9630806627,24462,1546,4041.64,10725,10585,242,1419.27,0.0632,0.4384,0.4327,0.1565,0.3512,
2025-02-28,500635396,9700005700,2,1,3.6,2,0,1,3.6,0.5,1.0,0.0,1.0,1.0,
2025-02-28,525368335,9811363528,42564,3434,6853.54,15474,15179,299,1696.43,0.0807,0.3635,0.3566,0.0871,0.2475,
2025-03-01,495403620,8878077181,609,314,664.13,428,318,234,472.93,0.5156,0.7028,0.5222,0.7452,0.7121,
2025-03-01,495817671,9630806627,30717,2103,5201.82,14391,14240,305,1736.87,0.0685,0.4685,0.4636,0.145,0.3339,
2025-03-01,500635396,9700005700,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-03-01,525368335,9811363528,20227,3293,5882.58,3687,3461,101,523.17,0.1628,0.1823,0.1711,0.0307,0.0889,
2025-03-02,495403620,8878077181,409,64,173.94,231,116,41,120.9,0.1565,0.5648,0.2836,0.6406,0.6951,
2025-03-02,495817671,9630806627,9730,1037,2358.17,3945,3881,87,468.15,0.1066,0.4054,0.3989,0.0839,0.1985,
2025-03-02,500635396,9700005700,2,0,0.0,2,1,0,0.0,0.0,1.0,0.5,,,
2025-03-02,525368335,9811363528,19111,2865,5393.73,3743,3562,108,537.56,0.1499,0.1959,0.1864,0.0377,0.0997,
2025-03-03,495403620,8878077181,296,34,104.39,179,106,25,77.2,0.1149,0.6047,0.3581,0.7353,0.7395,
2025-03-03,495817671,9630806627,8221,565,1508.15,4257,4202,95,535.19,0.0687,0.5178,0.5111,0.1681,0.3549,
2025-03-03,500635396,9700005700,10,2,1.5,1,1,0,0.0,0.2,0.1,0.1,0.0,0.0,
2025-03-03,525368335,9811363528,15105,2527,4587.35,4616,4462,88,492.36,0.1673,0.3056,0.2954,0.0348,0.1073,
2025-03-04,495403620,8878077181,265,23,81.58,145,83,16,60.61,0.0868,0.5472,0.3132,0.6957,0.743,
2025-03-04,495817671,9630806627,22040,965,3012.35,11488,11301,291,1510.84,0.0438,0.5212,0.5127,0.3016,0.5015,
2025-03-04,500635396,9700005700,12,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-03-04,525368335,9811363528,16857,3075,5484.22,5614,5502,94,496.65,0.1824,0.333,0.3264,0.0306,0.0906,
2025-03-05,495403620,8878077181,446,56,129.46,321,141,48,113.81,0.1256,0.7197,0.3161,0.8571,0.8791,
2025-03-05,495817671,9630806627,13993,872,2496.82,7240,7076,188,1036.86,0.0623,0.5174,0.5057,0.2156,0.4153,
2025-03-05,500635396,9700005700,14,2,1.47,5,0,1,1.37,0.1429,0.3571,0.0,0.5,0.932,
2025-03-05,525368335,9811363528,33655,3288,6270.44,7756,7512,165,836.56,0.0977,0.2305,0.2232,0.0502,0.1334,
2025-03-06,495403620,8878077181,408,40,105.76,276,113,26,82.87,0.098,0.6765,0.277,0.65,0.7836,
2025-03-06,495817671,9630806627,14440,837,2386.65,7313,7191,172,932.78,0.058,0.5064,0.498,0.2055,0.3908,
2025-03-06,500635396,9700005700,135,10,29.02,60,49,1,6.24,0.0741,0.4444,0.363,0.1,0.215,
2025-03-06,525368335,9811363528,38544,3759,6955.36,9530,9208,172,968.95,0.0975,0.2472,0.2389,0.0458,0.1393,
2025-03-07,495403620,8878077181,149,18,73.82,94,53,16,67.46,0.1208,0.6309,0.3557,0.8889,0.9138,
2025-03-07,495817671,9630806627,10912,567,1746.06,6292,6198,154,823.29,0.052,0.5766,0.568,0.2716,0.4715,
2025-03-07,500635396,9700005700,782,12,65.78,432,382,12,65.78,0.0153,0.5524,0.4885,1.0,1.0,
2025-03-07,525368335,9811363528,38076,4920,9201.38,9455,9115,253,1309.23,0.1292,0.2483,0.2394,0.0514,0.1423,
2025-03-08,495403620,8878077181,3,0,0.0,1,1,0,0.0,0.0,0.3333,0.3333,,,
2025-03-08,495817671,9630806627,20932,870,2692.41,11802,11672,235,1317.43,0.0416,0.5638,0.5576,0.2701,0.4893,
2025-03-08,500635396,9700005700,1009,22,86.15,613,521,12,66.68,0.0218,0.6075,0.5164,0.5455,0.774,
2025-03-08,525368335,9811363528,46138,4137,8299.11,15373,14989,295,1531.99,0.0897,0.3332,0.3249,0.0713,0.1846,
2025-03-09,495403620,8878077181,20,2,7.1,13,6,1,2.06,0.1,0.65,0.3,0.5,0.2901,
2025-03-09,495817671,9630806627,7769,490,1315.12,4607,4557,63,373.4,0.0631,0.593,0.5866,0.1286,0.2839,
2025-03-09,500635396,9700005700,1995,31,143.34,1197,1130,22,122.8,0.0155,0.6,0.5664,0.7097,0.8567,
2025-03-09,525368335,9811363528,25413,2320,4445.27,6247,5926,149,694.32,0.0913,0.2458,0.2332,0.0642,0.1562,
2025-03-10,495403620,8878077181,181,56,269.05,128,78,52,254.68,0.3094,0.7072,0.4309,0.9286,0.9466,
2025-03-10,495817671,9630806627,6062,403,1126.18,3359,3320,52,284.1,0.0665,0.5541,0.5477,0.129,0.2523,
2025-03-10,500635396,9700005700,586,8,39.42,301,217,7,39.0,0.0137,0.5137,0.3703,0.875,0.9893,
2025-03-10,525368335,9811363528,11319,1473,2702.35,3770,3644,64,329.07,0.1301,0.3331,0.3219,0.0434,0.1218,
2025-03-11,495403620,8878077181,446,190,682.54,307,231,171,645.43,0.426,0.6883,0.5179,0.9,0.9456,
2025-03-11,495817671,9630806627,20672,1185,3430.87,11057,10851,252,1314.03,0.0573,0.5349,0.5249,0.2127,0.383,
2025-03-11,500635396,9700005700,655,2,1.06,44,31,0,0.0,0.0031,0.0672,0.0473,0.0,0.0,
2025-03-11,525368335,9811363528,7985,1581,2912.98,2698,2592,46,248.74,0.198,0.3379,0.3246,0.0291,0.0854,
2025-03-12,495403620,8878077181,635,290,513.53,440,336,232,417.54,0.4567,0.6929,0.5291,0.8,0.8131,
