日期,新注册数,日总消费,日CPA
2025-03-20,255,13076.08,51.2787
2025-03-21,406,10645.3,26.22
2025-03-22,119,7048.21,59.2287
2025-03-23,46,3228.01,70.1741
2025-03-24,67,4139.45,61.7828
2025-03-25,68,986.5899999999999,14.5087
2025-03-26,43,1077.56,25.0595
2025-03-27,45,987.1899999999999,21.9376
2025-03-28,55,622.3,11.3145
2025-03-29,61,1003.5699999999999,16.452
2025-03-30,17,1009.59,59.3876
2025-03-31,20,855.91,42.7955
2025-04-01,39,551.76,14.1477
2025-04-02,40,780.59,19.5148
2025-04-03,19,554.22,29.1695
2025-04-04,25,304.24,12.1696
2025-04-05,28,331.7,11.8464
2025-04-06,45,521.5,11.5889
2025-04-07,75,977.1199999999999,13.0283
2025-04-08,176,6652.91,37.8006
2025-04-09,307,3357.93,10.9379
2025-04-10,308,3379.43,10.9722
2025-04-11,357,3365.54,9.4273
2025-04-12,363,3363.24,9.2651
2025-04-13,164,962.8,5.8707
2025-04-14,174,875.71,5.0328
2025-04-15,401,2119.53,5.2856
2025-04-16,351,2705.08,7.7068
2025-04-17,360,3125.48,8.6819
2025-04-18,237,2714.56,11.4538
2025-04-19,192,3336.84,17.3794
2025-04-20,102,735.9100000000001,7.2148
2025-04-21,156,978.1800000000001,6.2704
2025-04-22,330,4264.49,12.9227
2025-04-23,337,4452.59,13.2124
2025-04-24,478,8352.19,17.4732
2025-04-25,305,5414.2300000000005,17.7516
2025-04-26,277,5551.69,20.0422
2025-04-27,159,1692.87,10.647
2025-04-28,209,4690.49,22.4425
2025-04-29,183,3567.3999999999996,19.494
2025-04-30,100,1009.4100000000001,10.0941
2025-05-01,50,439.12,8.7824
2025-05-02,51,530.86,10.409
2025-05-03,60,540.6700000000001,9.0112
2025-05-04,76,617.64,8.1268
2025-05-05,96,843.3,8.7844
2025-05-06,308,3474.98,11.2824
2025-05-07,441,5932.110000000001,13.4515
2025-05-08,268,4426.36,16.5163
2025-05-09,272,6155.26,22.6296
2025-05-10,323,7902.11,24.4647
2025-05-11,269,5787.92,21.5164
2025-05-12,165,2435.56,14.761
2025-05-13,323,8252.04,25.5481
2025-05-14,270,5272.96,19.5295
2025-05-15,253,5004.61,19.7811
2025-05-16,292,6305.68,21.5948
2025-05-17,256,5525.12,21.5825
2025-05-18,151,2789.5899999999997,18.4741
2025-05-19,202,3823.15,18.9265
2025-05-20,270,6891.5,25.5241
2025-05-21,306,5886.68,19.2375
2025-05-22,294,5291.43,17.9981
2025-05-23,270,3280.51,12.15
2025-05-24,222,3110.3500000000004,14.0106
2025-05-25,147,1521.4,10.3497
2025-05-26,193,1709.3000000000002,8.8565
2025-05-27,331,3832.92,11.5798
2025-05-28,279,3809.77,13.6551
2025-05-29,281,3959.04,14.0891
2025-05-30,256,3662.64,14.3072
2025-05-31,71,1861.89,26.2238
2025-06-01,69,1612.29,23.3665
2025-06-02,64,1654.14,25.8459
2025-06-03,161,3020.55,18.7612
2025-06-04,165,5797.0,35.1333
2025-06-05,184,5747.82,31.2382
2025-06-06,168,6251.33,37.2103
2025-06-07,116,4014.07,34.6041
2025-06-08,193,3007.1,15.5808
2025-06-09,125,1672.49,13.3799
2025-06-10,141,1782.3500000000001,12.6408
2025-06-11,207,5895.9400000000005,28.4828
2025-06-12,138,3533.34,25.6039
2025-06-13,136,2100.32,15.4435
2025-06-14,92,1919.13,20.8601
2025-06-15,53,947.61,17.8794
2025-06-16,56,874.59,15.6177
2025-06-17,158,2857.9500000000003,18.0883
2025-06-18,149,3276.1100000000006,21.9873
2025-06-19,107,2250.2400000000002,21.0303
2025-06-20,151,3697.15,24.4844
2025-06-21,146,3695.8399999999997,25.314
2025-06-22,45,801.85,17.8189
2025-06-23,40,730.99,18.2748
2025-06-24,170,3295.1899999999996,19.3835
2025-06-25,103,1201.8600000000001,11.6685
2025-06-26,79,984.11,12.4571
2025-06-27,95,1174.87,12.3671
2025-06-28,95,1110.67,11.6913
2025-06-29,23,174.93,7.6057
2025-06-30,1,319.58000000000004,319.58
2025-07-01,95,1345.05,14.1584
2025-07-02,112,1538.0700000000002,13.7328
2025-07-03,123,1801.85,14.6492
2025-07-04,147,1803.29,12.2673
2025-07-05,136,1814.17,13.3395
2025-07-06,57,774.64,13.5902
2025-07-07,52,624.32,12.0062
2025-07-08,119,1595.01,13.4034
2025-07-09,124,1839.3999999999999,14.8339
2025-07-10,123,1530.4499999999998,12.4427
2025-07-11,129,1801.03,13.9615
2025-07-12,128,1991.5500000000002,15.559
2025-07-13,78,1033.46,13.2495
2025-07-14,82,1103.13,13.4528
2025-07-15,208,3179.05,15.2839
2025-07-16,177,2883.63,16.2917
2025-07-17,166,2859.0,17.2229
2025-07-18,186,2696.65,14.4981
2025-07-19,158,2636.4,16.6861
2025-07-20,71,1231.45,17.3444
2025-07-21,75,1173.1200000000001,15.6416
2025-07-22,151,3369.8499999999995,22.3169
2025-07-23,260,4250.74,16.349
2025-07-24,256,3420.5699999999997,13.3616
2025-07-25,271,4407.78,16.2649
2025-07-26,212,3400.24,16.0389
2025-07-27,59,927.2800000000001,15.7166
2025-07-28,36,645.72,17.9367
2025-07-29,202,3255.08,16.1143
2025-07-30,218,3983.8599999999997,18.2746
2025-07-31,336,4994.96,14.866
2025-08-01,343,5722.87,16.6848
2025-08-02,315,5515.84,17.5106
2025-08-03,176,2422.25,13.7628
2025-08-04,189,2364.28,12.5094
2025-08-05,278,4530.61,16.2972
2025-08-06,303,5300.0199999999995,17.4918
2025-08-07,298,5703.81,19.1403
2025-08-08,270,5924.1,21.9411
2025-08-09,278,5541.37,19.933
2025-08-10,132,1553.6,11.7697
2025-08-11,92,1287.83,13.9982
2025-08-12,268,4835.33,18.0423
2025-08-13,300,5506.87,18.3562
2025-08-14,309,6311.74,20.4263
2025-08-15,299,6368.06,21.2979
2025-08-16,291,6045.969999999999,20.7765
2025-08-17,122,2275.08,18.6482
2025-08-18,73,1386.08,18.9874
2025-08-19,375,8179.01,21.8107
2025-08-20,354,8999.35,25.4219
2025-08-21,381,9575.18,25.1317
2025-08-22,324,8551.66,26.394
2025-08-23,323,8916.199999999999,27.6043
2025-08-24,170,2868.96,16.8762
2025-08-25,165,2650.2599999999998,16.0622
2025-08-26,361,8687.24,24.0644
2025-08-27,354,8811.380000000001,24.8909
2025-08-28,302,6400.9,21.195
2025-08-29,279,5554.6,19.909
2025-08-30,287,5561.959999999999,19.3797
2025-08-31,119,1755.94,14.7558
2025-09-01,68,980.21,14.4149
2025-09-02,348,5258.17,15.1097
2025-09-03,294,4948.85,16.8328
2025-09-04,268,4487.55,16.7446
2025-09-05,325,6009.21,18.4899
2025-09-06,335,5743.949999999999,17.1461
2025-09-07,123,1886.8399999999997,15.3402
2025-09-08,119,1836.95,15.4366
2025-09-09,297,5978.129999999999,20.1284
2025-09-10,363,5775.37,15.9101
2025-09-11,348,5898.38,16.9494
2025-09-12,317,5616.7300000000005,17.7184
2025-09-13,309,5338.94,17.2781
2025-09-14,282,5245.7699999999995,18.602
2025-09-15,279,535.33,1.9187
2025-09-16,252,419.68,1.6654
2025-09-17,265,433.19000000000005,1.6347
2025-09-18,297,5024.53,16.9176
2025-09-19,322,5021.8099999999995,15.5957
2025-09-20,367,5002.82,13.6317
2025-09-21,141,1754.3600000000001,12.4423
2025-09-22,167,1932.6899999999998,11.573
2025-09-23,301,5037.46,16.7357
2025-09-24,345,5003.499999999999,14.5029
2025-09-25,379,5000.990000000001,13.1952
2025-09-26,340,4845.83,14.2524
2025-09-27,300,4339.54,14.4651
2025-09-28,140,1670.21,11.9301
2025-09-29,227,3011.62,13.267
2025-09-30,161,1806.21,11.2187
2025-10-01,47,459.97,9.7866
2025-10-02,45,400.76,8.9058
2025-10-03,41,426.23,10.3959
2025-10-04,52,496.78999999999996,9.5537
2025-10-05,61,522.99,8.5736
2025-10-06,68,698.0,10.2647
2025-10-07,76,917.97,12.0786
2025-10-08,162,2034.54,12.5589
2025-10-09,301,3890.78,12.9262
2025-10-10,327,4273.5199999999995,13.0689
2025-10-11,268,3811.3300000000004,14.2214
2025-10-12,226,3413.26,15.1029
2025-10-13,127,1346.25,10.6004
2025-10-14,365,4388.63,12.0236
2025-10-15,311,3914.86,12.588
2025-10-16,296,3954.4300000000003,13.3596
2025-10-17,274,4451.1,16.2449
2025-10-18,273,4451.45,16.3057
2025-10-19,125,1339.44,10.7155
2025-10-20,110,1211.76,11.016
2025-10-21,281,4354.57,15.4967
2025-10-22,270,4448.650000000001,16.4765
2025-10-23,261,4240.76,16.2481
2025-10-24,268,4465.17,16.6611
2025-10-25,249,4089.9500000000003,16.4255
2025-10-26,108,1494.6000000000001,13.8389
2025-10-27,133,1338.34,10.0627
2025-10-28,269,4441.83,16.5124
2025-10-29,259,4321.08,16.6837
2025-10-30,254,4032.44,15.8757
2025-10-31,269,4175.44,15.5221
2025-11-01,214,3894.7900000000004,18.2
2025-11-02,94,1231.8799999999999,13.1051
2025-11-03,107,1220.57,11.4072
2025-11-04,324,4438.12,13.6979
2025-11-05,139,2082.77,14.984
2025-11-06,312,5054.16,16.1992
2025-11-07,307,4784.17,15.5836
2025-11-08,275,4347.56,15.8093
2025-11-09,113,1643.98,14.5485
2025-11-10,149,1880.37,12.6199
2025-11-11,396,7305.5,18.4482
2025-11-12,386,7110.66,18.4214
2025-11-13,337,7068.76,20.9755
2025-11-14,335,6651.4400000000005,19.855
2025-11-15,339,5889.079999999999,17.3719
2025-11-16,122,2271.4500000000003,18.6184
2025-11-17,156,2044.67,13.1069
2025-11-18,293,4322.17,14.7514
2025-11-19,431,7318.8,16.981
2025-11-20,376,6691.900000000001,17.7976
2025-11-21,330,5892.32,17.8555
2025-11-22,279,4839.549999999999,17.3461
2025-11-23,128,1500.79,11.7249
2025-11-24,84,1208.3200000000002,14.3848
2025-11-25,370,5237.38,14.1551
2025-11-26,334,5944.6,17.7982
2025-11-27,307,4897.44,15.9526
2025-11-28,216,3458.78,16.0129
2025-11-29,188,3052.34,16.2359
2025-11-30,84,1120.34,13.3374
2025-12-01,92,948.9399999999999,10.3146
2025-12-02,274,3975.7,14.5099
2025-12-03,362,5910.19,16.3265
2025-12-04,411,6099.4800000000005,14.8406
2025-12-05,349,5824.009999999999,16.6877
2025-12-06,221,4000.15,18.1002
2025-12-07,91,918.37,10.092
2025-12-08,87,902.1700000000001,10.3698
2025-12-09,308,5047.65,16.3885
2025-12-10,300,5788.71,19.2957
2025-12-11,372,5801.670000000001,15.5959
2025-12-12,284,5349.530000000001,18.8364
2025-12-13,240,5047.74,21.0322
2025-12-14,80,855.38,10.6922
2025-12-15,82,878.2600000000001,10.7105
2025-12-16,337,6261.129999999999,18.579
2025-12-17,340,6228.6,18.3194
2025-12-18,322,6089.55,18.9116
2025-12-19,282,5211.330000000001,18.4799
2025-12-20,249,4956.07,19.9039
2025-12-21,75,855.28,11.4037
2025-12-22,70,844.47,12.0639
2025-12-23,315,6128.09,19.4543
2025-12-24,314,6063.96,19.312
2025-12-25,248,5115.91,20.6287
2025-12-26,291,5598.95,19.2404
2025-12-27,270,5997.92,22.2145
2025-12-28,79,834.59,10.5644
2025-12-29,66,851.9599999999999,12.9085
2025-12-30,301,6742.389999999999,22.4
2025-12-31,208,4929.72,23.7006
