序号,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均访问时长,时长秒_原,是否无效词,是否活跃,时长缺失,时长秒,浏览深度,留存率,CPC,消费额_w,点击量_w,浏览深度_w,留存率_w,时长秒_w,x1,x2,x3,x4,S,d_plus,d_minus,基准类别,S_基准等权,类别_基准等权,S_流量优先,类别_流量优先,S_质量优先,类别_质量优先,稳定词,敏感性
42,4675,63563817,1841014603,1.45,1,3,0.0, 00:00:42,42.0,False,True,False,42.0,3.0,1.0,1.45,1.45,1.0,3.0,1.0,42.0,0.6931471805599453,1.3862943611198906,1.0,3.7612001156935624,0.48683888143863596,0.02084100633525854,0.019771981635626403,黄金词,0.48683888143863596,黄金词,0.3379033694827771,黄金词,0.5647839292746155,黄金词,True,稳定词
43,4713,63563817,1841014603,7.19,4,8,0.5, 00:00:31,31.0,False,True,False,31.0,2.0,0.5,1.7975,7.19,4.0,2.0,0.5,31.0,1.6094379124341003,1.0986122886681098,0.5,3.4657359027997265,0.3568371962844677,0.021759891224671413,0.012072741973276561,黄金词,0.3568371962844677,黄金词,0.255244137771525,潜力词,0.3981508877602844,黄金词,False,边界敏感词
44,4773,63563817,1841014603,52.44,31,42,0.8621, 00:00:48,48.0,False,True,False,48.0,1.3548387096774193,0.13790000000000002,1.6916129032258065,52.44,31.0,1.3548387096774193,0.13790000000000002,48.0,3.4657359027997265,0.8564722366632449,0.13790000000000002,3.8918202981106265,0.2982118029084748,0.02288203960080879,0.00972329587738903,问题词,0.2982118029084748,问题词,0.302742591359174,重点词,0.281070867366072,问题词,False,边界敏感词
45,4827,63563817,1841014603,14.14,7,13,0.6667, 00:04:15,255.0,False,True,False,255.0,1.8571428571428572,0.33330000000000004,2.02,14.14,7.0,1.8571428571428572,0.33330000000000004,255.0,2.0794415416798357,1.0498221244986776,0.33330000000000004,5.545177444479562,0.3522737001422724,0.021885142060123295,0.011902496429977144,重点词,0.3522737001422724,重点词,0.2681271749705993,问题词,0.36984170407448347,重点词,False,边界敏感词
46,4868,63563817,1841014603,6.19,3,3,1.0, 00:03:11,191.0,False,True,False,191.0,1.0,0.0,2.0633333333333335,6.19,3.0,1.0,0.0,191.0,1.3862943611198906,0.6931471805599453,0.0,5.2574953720277815,0.2353600168100689,0.027181928206407347,0.008366733652745722,潜力词,0.2353600168100689,潜力词,0.17706981329053129,潜力词,0.23247969655082112,潜力词,True,稳定词
49,5134,63563817,1841014603,68.89,48,115,0.6744, 00:02:58,178.0,False,True,False,178.0,2.3958333333333335,0.3256,1.4352083333333334,68.89,48.0,2.3958333333333335,0.3256,178.0,3.8918202981106265,1.2225491898988714,0.3256,5.187385805840755,0.41955063918083374,0.01889821805287883,0.013659691953617673,重点词,0.41955063918083374,重点词,0.3873948811965943,重点词,0.4165043541474917,重点词,True,稳定词
52,5267,63563817,1841014603,3.36,2,4,0.5, 00:02:13,133.0,False,True,False,133.0,2.0,0.5,1.68,3.36,2.0,2.0,0.5,133.0,1.0986122886681098,1.0986122886681098,0.5,4.897839799950911,0.36668155846522676,0.022190867659521652,0.012848168320142352,黄金词,0.36668155846522676,黄金词,0.25251652180675976,潜力词,0.409724438331262,黄金词,False,边界敏感词
53,5307,63563817,1841014603,88.18,34,40,0.6667, 00:01:30,90.0,False,True,False,90.0,1.1764705882352942,0.33330000000000004,2.593529411764706,88.18,34.0,1.1764705882352942,0.33330000000000004,90.0,3.5553480614894135,0.7777045685880084,0.33330000000000004,4.51085950651685,0.34991129944851745,0.02092315737742392,0.011261923457967327,重点词,0.34991129944851745,重点词,0.3334926887506364,重点词,0.35189326079635275,重点词,True,稳定词
57,5374,63563817,1841014603,38.32,26,33,0.7895, 00:02:33,153.0,False,True,False,153.0,1.2692307692307692,0.21050000000000002,1.4738461538461538,38.32,26.0,1.2692307692307692,0.21050000000000002,153.0,3.295836866004329,0.8194409058842373,0.21050000000000002,5.0369526024136295,0.32534255436489506,0.022162166707642025,0.010687343589808468,重点词,0.32534255436489506,重点词,0.30728553432389094,重点词,0.3174848875074475,重点词,True,稳定词
59,5418,63563817,1841014603,16.8,10,27,0.8, 00:01:44,104.0,False,True,False,104.0,2.7,0.19999999999999996,1.6800000000000002,16.8,10.0,2.7,0.19999999999999996,104.0,2.3978952727983707,1.308332819650179,0.19999999999999996,4.653960350157523,0.3443721808593131,0.022162049036727804,0.01164074027409641,重点词,0.3443721808593131,重点词,0.27612346770609125,问题词,0.3457046196595387,重点词,False,边界敏感词
60,5592,63563817,1841014603,7.11,4,3,1.0, 00:00:07,7.0,False,True,False,7.0,0.75,0.0,1.7775,7.11,4.0,0.75,0.0,7.0,1.6094379124341003,0.5596157879354227,0.0,2.0794415416798357,0.1426117754085243,0.028162331007395947,0.0046843190860487134,潜力词,0.1426117754085243,潜力词,0.12366204275799211,潜力词,0.1372583438651469,潜力词,True,稳定词
63,5801,63563817,1841014603,0.5,1,2,0.0, 00:00:32,32.0,False,True,False,32.0,2.0,1.0,0.5,0.5,1.0,2.0,1.0,32.0,0.6931471805599453,1.0986122886681098,1.0,3.4965075614664802,0.46502794930884994,0.021691307842765937,0.018855311022167545,黄金词,0.46502794930884994,黄金词,0.3247499372317321,黄金词,0.5422137685934019,黄金词,True,稳定词
69,6083,63563817,1841014603,126.96,76,279,0.6053, 00:03:17,197.0,False,True,False,197.0,3.6710526315789473,0.39470000000000005,1.6705263157894736,126.96,76.0,3.6710526315789473,0.39470000000000005,197.0,4.343805421853684,1.5413844491890847,0.39470000000000005,5.288267030694535,0.4897633590447876,0.016657860489796044,0.01598946263974424,重点词,0.4897633590447876,重点词,0.44751116566667526,重点词,0.48885764387039243,重点词,True,稳定词
71,6149,63563817,1841014603,183.37,97,613,0.4804, 00:06:37,397.0,False,True,False,397.0,6.319587628865979,0.5196000000000001,1.8904123711340206,183.37,97.0,6.319587628865979,0.5196000000000001,397.0,4.584967478670572,1.9905539915319783,0.5196000000000001,5.986452005284438,0.5837792963962699,0.013940882007742189,0.01955308378261609,重点词,0.5837792963962699,重点词,0.5092209059609484,重点词,0.5949681036475396,重点词,True,稳定词
73,6325,63563817,1841014603,18.15,9,13,0.75, 00:00:41,41.0,False,True,False,41.0,1.4444444444444444,0.25,2.0166666666666666,18.15,9.0,1.4444444444444444,0.25,41.0,2.302585092994046,0.8938178760220964,0.25,3.7376696182833684,0.28484116241296914,0.023205134537006882,0.009242390848125406,问题词,0.28484116241296914,问题词,0.23543721625363614,问题词,0.2923578148520101,问题词,True,稳定词
74,6352,63563817,1841014603,61.07,36,181,0.4286, 00:06:44,404.0,False,True,False,404.0,5.027777777777778,0.5714,1.696388888888889,61.07,36.0,5.027777777777778,0.5714,404.0,3.6109179126442243,1.7963784150843496,0.5714,6.003887067106539,0.5428059525642381,0.015461647400553186,0.018356919326796055,重点词,0.5428059525642381,重点词,0.4398265614893294,重点词,0.5723660083093426,重点词,True,稳定词
76,6414,63563817,1841014603,1.78,1,1,1.0, 00:04:20,260.0,False,True,False,260.0,1.0,0.0,1.78,1.78,1.0,1.0,0.0,260.0,0.6931471805599453,0.6931471805599453,0.0,5.564520407322694,0.23487510746251675,0.028091259407863556,0.008623347164013693,潜力词,0.23487510746251675,潜力词,0.1667923170599862,潜力词,0.23521720609047614,潜力词,True,稳定词
78,480,63563817,2526158329,12.25,4,4,1.0, 00:03:07,187.0,False,True,False,187.0,1.0,0.0,3.0625,12.25,4.0,1.0,0.0,187.0,1.6094379124341003,0.6931471805599453,0.0,5.236441962829949,0.238781536155022,0.02688891198642085,0.008434603224446096,问题词,0.238781536155022,问题词,0.18547899826386263,问题词,0.2344236531143406,问题词,True,稳定词
79,770,63563817,2526158329,41.28,30,49,0.75, 00:01:47,107.0,False,True,False,107.0,1.6333333333333333,0.25,1.3760000000000001,41.28,30.0,1.6333333333333333,0.25,107.0,3.4339872044851463,0.9682504708048661,0.25,4.68213122712422,0.34813451865674017,0.021176647878568204,0.011309575866445513,重点词,0.34813451865674017,重点词,0.32619160877051007,重点词,0.3424876531471446,重点词,True,稳定词
81,934,63563817,2526158329,3.84,2,4,0.5, 00:00:16,16.0,False,True,False,16.0,2.0,0.5,1.92,3.84,2.0,2.0,0.5,16.0,1.0986122886681098,1.0986122886681098,0.5,2.833213344056216,0.3378755505438438,0.02284320759191109,0.011656662652532578,黄金词,0.3378755505438438,黄金词,0.2330617862854835,潜力词,0.3821150018479637,黄金词,False,边界敏感词
82,1262,63563817,2526158329,2.21,1,1,1.0, 00:00:11,11.0,False,True,False,11.0,1.0,0.0,2.21,2.21,1.0,1.0,0.0,11.0,0.6931471805599453,0.6931471805599453,0.0,2.4849066497880004,0.15656376398824745,0.028822790348021664,0.005350261647363608,潜力词,0.15656376398824745,潜力词,0.1093930955023073,潜力词,0.15680254782984282,潜力词,True,稳定词
84,1385,63563817,2526158329,11.15,5,9,1.0, 00:00:43,43.0,False,True,False,43.0,1.8,0.0,2.23,11.15,5.0,1.8,0.0,43.0,1.791759469228055,1.0296194171811581,0.0,3.784189633918261,0.2482895719043336,0.026032971699106306,0.008598677305759196,问题词,0.2482895719043336,问题词,0.1965060893623275,问题词,0.24236402659022044,问题词,True,稳定词
87,2397,63563817,2526158329,8.06,6,24,0.75, 00:04:53,293.0,False,True,False,293.0,4.0,0.25,1.3433333333333335,8.06,6.0,4.0,0.25,293.0,1.9459101490553132,1.6094379124341003,0.25,5.683579767338681,0.3942312059058963,0.02150474922078493,0.013995179845294126,重点词,0.3942312059058963,重点词,0.2935444913597725,重点词,0.4040181028110901,重点词,True,稳定词
90,3286,63563817,2526158329,1.9,1,1,1.0, 00:00:19,19.0,False,True,False,19.0,1.0,0.0,1.9,1.9,1.0,1.0,0.0,19.0,0.6931471805599453,0.6931471805599453,0.0,2.995732273553991,0.16761432673177723,0.028651744064575796,0.005769492370308442,潜力词,0.16761432673177723,潜力词,0.11723078344125087,潜力词,0.1678696385622914,潜力词,True,稳定词
93,4348,63563817,2526158329,23.31,12,15,0.8333, 00:00:25,25.0,False,True,False,25.0,1.25,0.16669999999999996,1.9425,23.31,12.0,1.25,0.16669999999999996,25.0,2.5649493574615367,0.8109302162163288,0.16669999999999996,3.258096538021482,0.2541604900852323,0.024062702400342233,0.008199871625927902,问题词,0.2541604900852323,问题词,0.23132566241978397,问题词,0.2502312692631121,问题词,True,稳定词
94,4497,63563817,2526158329,15.14,10,30,0.963, 00:00:30,30.0,False,True,False,30.0,3.0,0.03700000000000003,1.514,15.14,10.0,3.0,0.03700000000000003,30.0,2.3978952727983707,1.3862943611198906,0.03700000000000003,3.4339872044851463,0.3085166914948552,0.024108187021936303,0.010756265561964256,问题词,0.3085166914948552,问题词,0.2571650368950413,问题词,0.29880545298403627,问题词,True,稳定词
95,5236,63563817,2526158329,7.11,5,36,0.5, 00:21:12,1272.0,False,True,False,1272.0,7.2,0.5,1.4220000000000002,7.11,5.0,7.2,0.5,1160.4800000000007,1.791759469228055,2.1041341542702074,0.5,7.057450332948998,0.5043429797652896,0.018760752719820337,0.019089518645117633,黄金词,0.5043429797652896,黄金词,0.3626218363843929,黄金词,0.5405418879090471,黄金词,True,稳定词
96,5700,63563817,2526158329,3.63,2,1,1.0, 00:00:03,3.0,False,True,False,3.0,0.5,0.0,1.815,3.63,2.0,0.5,0.0,3.0,1.0986122886681098,0.4054651081081644,0.0,1.3862943611198906,0.09272591684463333,0.029572784939087843,0.003022420289565905,潜力词,0.09272591684463333,潜力词,0.07249975261201598,潜力词,0.09113680160906418,潜力词,True,稳定词
100,6207,63563817,2526158329,2.68,2,3,0.0, 00:00:19,19.0,False,True,False,19.0,1.5,1.0,1.34,2.68,2.0,1.5,1.0,19.0,1.0986122886681098,0.9162907318741551,1.0,2.995732273553991,0.45692995791027574,0.021725055622936192,0.01827909474289608,黄金词,0.45692995791027574,黄金词,0.32543247114431006,黄金词,0.5319530234239792,黄金词,True,稳定词
101,6545,63563817,2526158329,14.84,6,37,0.5714, 00:03:00,180.0,False,True,False,180.0,6.166666666666667,0.4286,2.473333333333333,14.84,6.0,6.166666666666667,0.4286,180.0,1.9459101490553132,1.9694406464655074,0.4286,5.198497031265826,0.4620438380443504,0.019398776310957728,0.016661367029415442,重点词,0.4620438380443504,重点词,0.33571868846020453,重点词,0.4902813515939008,重点词,True,稳定词
102,6604,63563817,2526158329,1.8,1,2,0.0, 00:00:09,9.0,False,True,False,9.0,2.0,1.0,1.8,1.8,1.0,2.0,1.0,9.0,0.6931471805599453,1.0986122886681098,1.0,2.302585092994046,0.45514808484984165,0.022195547887352195,0.018541296877587682,黄金词,0.45514808484984165,黄金词,0.3195220929188833,黄金词,0.5313548016630084,黄金词,True,稳定词
105,147,63563817,2874903000,41.96,37,51,0.9565, 00:01:20,80.0,False,True,False,80.0,1.3783783783783783,0.04349999999999998,1.134054054054054,41.96,37.0,1.3783783783783783,0.04349999999999998,80.0,3.6375861597263857,0.866418901833982,0.04349999999999998,4.394449154672439,0.3005145876260072,0.023561105729869733,0.010122378318647282,问题词,0.3005145876260072,问题词,0.3131348959785341,重点词,0.2762534574068737,问题词,False,边界敏感词
106,193,63563817,2874903000,4.83,5,4,1.0, 00:01:03,63.0,False,True,False,63.0,0.8,0.0,0.966,4.83,5.0,0.8,0.0,63.0,1.791759469228055,0.5877866649021191,0.0,4.1588830833596715,0.20221391160460028,0.027184915372317837,0.006890528869879096,潜力词,0.20221391160460028,潜力词,0.16756985659344634,潜力词,0.19617711948143704,潜力词,True,稳定词
107,384,63563817,2874903000,25.16,17,21,0.8824, 00:01:07,67.0,False,True,False,67.0,1.2352941176470589,0.11760000000000004,1.48,25.16,17.0,1.2352941176470589,0.11760000000000004,67.0,2.8903717578961645,0.8043728156701697,0.11760000000000004,4.219507705176107,0.27456715764646655,0.023871500549527115,0.009035061100039814,问题词,0.27456715764646655,问题词,0.2594374897375421,问题词,0.26318284370039985,问题词,True,稳定词
108,405,63563817,2874903000,39.06,26,22,1.0, 00:00:56,56.0,False,True,False,56.0,0.8461538461538461,0.0,1.5023076923076923,39.06,26.0,0.8461538461538461,0.0,56.0,3.295836866004329,0.6131044728864088,0.0,4.04305126783455,0.25005131852388485,0.025338966867407532,0.008448634195552059,问题词,0.25005131852388485,问题词,0.2690031918379861,问题词,0.2272534231754517,问题词,True,稳定词
109,431,63563817,2874903000,121.72,94,161,0.9146, 00:01:54,114.0,False,True,False,114.0,1.7127659574468086,0.08540000000000003,1.2948936170212766,121.72,94.0,1.7127659574468086,0.08540000000000003,114.0,4.553876891600541,0.9979687628884223,0.08540000000000003,4.74493212836325,0.3606980151391659,0.021579112222297112,0.012175064572562271,重点词,0.3606980151391659,重点词,0.39364031759522883,重点词,0.3278761703249208,重点词,True,稳定词
110,504,63563817,2874903000,60.02,45,64,0.9667, 00:01:00,60.0,False,True,False,60.0,1.4222222222222223,0.033299999999999996,1.333777777777778,60.02,45.0,1.4222222222222223,0.033299999999999996,60.0,3.828641396489095,0.8846853924588239,0.033299999999999996,4.110873864173311,0.30299356940254557,0.023486655112684236,0.010209813214806131,问题词,0.30299356940254557,问题词,0.32491214558499026,重点词,0.27567538527145513,问题词,False,边界敏感词
112,648,63563817,2874903000,5.79,4,3,1.0, 00:01:23,83.0,False,True,False,83.0,0.75,0.0,1.4475,5.79,4.0,0.75,0.0,83.0,1.6094379124341003,0.5596157879354227,0.0,4.430816798843313,0.20288387533930782,0.027445601627945987,0.006985519232428949,潜力词,0.20288387533930782,潜力词,0.16139644634874217,潜力词,0.1984110955333221,潜力词,True,稳定词
113,811,63563817,2874903000,20.17,13,13,0.9167, 00:02:17,137.0,False,True,False,137.0,1.0,0.08330000000000004,1.5515384615384618,20.17,13.0,1.0,0.08330000000000004,137.0,2.6390573296152584,0.6931471805599453,0.08330000000000004,4.927253685157205,0.26543693717643335,0.02474111407865766,0.008940288282571852,问题词,0.26543693717643335,问题词,0.2421680969061152,问题词,0.2550650010047882,问题词,True,稳定词
116,1307,63563817,2874903000,0.81,1,0,0.0,0,,False,True,True,66.5,0.0,1.0,0.81,0.81,1.0,0.0,1.0,66.5,0.6931471805599453,0.0,1.0,4.212127597878484,0.4089551909754047,0.02551493244462157,0.017654269035599555,黄金词,0.4089551909754047,黄金词,0.29872850172996734,黄金词,0.4774579325082321,黄金词,True,稳定词
117,1461,63563817,2874903000,28.41,18,16,1.0, 00:00:29,29.0,False,True,False,29.0,0.8888888888888888,0.0,1.5783333333333334,28.41,18.0,0.8888888888888888,0.0,29.0,2.9444389791664403,0.6359887667199967,0.0,3.4011973816621555,0.22536837189350242,0.025846244972462944,0.0075196079499658345,问题词,0.22536837189350242,问题词,0.23736542050716739,问题词,0.20608935146271767,问题词,True,稳定词
118,1490,63563817,2874903000,1.88,1,1,1.0, 00:00:08,8.0,False,True,False,8.0,1.0,0.0,1.88,1.88,1.0,1.0,0.0,8.0,0.6931471805599453,0.6931471805599453,0.0,2.1972245773362196,0.15110050164909317,0.02892752463508226,0.0051489764009974934,潜力词,0.15110050164909317,潜力词,0.105562267333471,潜力词,0.15133076760769848,潜力词,True,稳定词
120,1552,63563817,2874903000,11.22,8,4,1.0, 00:00:03,3.0,False,True,False,3.0,0.5,0.0,1.4025,11.22,8.0,0.5,0.0,3.0,2.1972245773362196,0.4054651081081644,0.0,1.3862943611198906,0.13155536972950083,0.028233819982039627,0.0042769688442387795,问题词,0.13155536972950083,问题词,0.15003548542994816,问题词,0.11738019886964733,问题词,True,稳定词
121,1812,63563817,2874903000,7.32,4,3,1.0, 00:00:03,3.0,False,True,False,3.0,0.75,0.0,1.83,7.32,4.0,0.75,0.0,3.0,1.6094379124341003,0.5596157879354227,0.0,1.3862943611198906,0.1320237209231217,0.02845293306848616,0.004327839579755797,潜力词,0.1320237209231217,潜力词,0.11769284314421112,潜力词,0.12642828880112686,潜力词,True,稳定词
123,2038,63563817,2874903000,84.93,60,60,0.9057, 00:02:08,128.0,False,True,False,128.0,1.0,0.09430000000000005,1.4155000000000002,84.93,60.0,1.0,0.09430000000000005,128.0,4.110873864173311,0.6931471805599453,0.09430000000000005,4.859812404361672,0.317442503780712,0.022925437650897388,0.010662117650864385,问题词,0.317442503780712,问题词,0.34784445220023374,重点词,0.28988311367034936,问题词,False,边界敏感词
125,2107,63563817,2874903000,60.53,43,37,0.9714, 00:01:30,90.0,False,True,False,90.0,0.8604651162790697,0.02859999999999996,1.4076744186046513,60.53,43.0,0.8604651162790697,0.02859999999999996,90.0,3.784189633918261,0.6208265189803192,0.02859999999999996,4.51085950651685,0.28225757077603586,0.02434368827125826,0.009573337224335038,问题词,0.28225757077603586,问题词,0.3120379857627577,重点词,0.2549649760270637,问题词,False,边界敏感词
126,2249,63563817,2874903000,4.33,3,3,1.0, 00:00:46,46.0,False,True,False,46.0,1.0,0.0,1.4433333333333334,4.33,3.0,1.0,0.0,46.0,1.3862943611198906,0.6931471805599453,0.0,3.8501476017100584,0.19763697688673387,0.02746933194385633,0.006766208768466105,潜力词,0.19763697688673387,潜力词,0.15032669513544636,潜力词,0.19468108929467728,潜力词,True,稳定词
127,2270,63563817,2874903000,26.65,15,13,1.0, 00:00:34,34.0,False,True,False,34.0,0.8666666666666667,0.0,1.7766666666666666,26.65,15.0,0.8666666666666667,0.0,34.0,2.772588722239781,0.6241543090729939,0.0,3.5553480614894135,0.22098238734392775,0.02603515040458025,0.007385339686539788,问题词,0.22098238734392775,问题词,0.22562513811785065,问题词,0.20399570464249014,问题词,True,稳定词
128,2275,63563817,2874903000,264.04,180,181,0.9463, 00:01:27,87.0,False,True,False,87.0,1.0055555555555555,0.05369999999999997,1.466888888888889,264.04,180.0,1.0055555555555555,0.05369999999999997,87.0,5.198497031265826,0.6959211074426706,0.05369999999999997,4.477336814478207,0.3478692920029727,0.022416205532641682,0.011957586803393911,重点词,0.3478692920029727,重点词,0.4215146718772457,重点词,0.3043358470256732,问题词,False,边界敏感词
129,2499,63563817,2874903000,1.08,1,0,0.0,0,,False,True,True,66.5,0.0,1.0,1.08,1.08,1.0,0.0,1.0,66.5,0.6931471805599453,0.0,1.0,4.212127597878484,0.4089551909754047,0.02551493244462157,0.017654269035599555,黄金词,0.4089551909754047,黄金词,0.29872850172996734,黄金词,0.4774579325082321,黄金词,True,稳定词
