序号,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均访问时长,时长秒_原,是否无效词,是否活跃,时长缺失,时长秒,浏览深度,留存率,CPC,消费额_w,点击量_w,浏览深度_w,留存率_w,时长秒_w,S,d_plus,d_minus,S_基准等权,S_流量优先,S_质量优先,类别_基准等权,类别_流量优先,类别_质量优先,基准类别,稳定词,敏感性
62,5758,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
63,5801,63563817,1841014603,0.5,1,2,0.0, 00:00:32,32.0,False,True,False,32.0,2.0,1.0,0.5,0.5,1.0,2.0,1.0,32.0,0.46502794930884994,0.021691307842765937,0.018855311022167545,0.46502794930884994,0.3247499372317321,0.5422137685934019,黄金词,黄金词,黄金词,黄金词,True,稳定词
64,5812,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
65,5849,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
66,5973,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
67,5976,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
68,6082,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
69,6083,63563817,1841014603,126.96,76,279,0.6053, 00:03:17,197.0,False,True,False,197.0,3.6710526315789473,0.39470000000000005,1.6705263157894736,126.96,76.0,3.6710526315789473,0.39470000000000005,197.0,0.4897633590447876,0.016657860489796044,0.01598946263974424,0.4897633590447876,0.44751116566667526,0.48885764387039243,重点词,重点词,重点词,重点词,True,稳定词
70,6086,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
71,6149,63563817,1841014603,183.37,97,613,0.4804, 00:06:37,397.0,False,True,False,397.0,6.319587628865979,0.5196000000000001,1.8904123711340206,183.37,97.0,6.319587628865979,0.5196000000000001,397.0,0.5837792963962699,0.013940882007742189,0.01955308378261609,0.5837792963962699,0.5092209059609484,0.5949681036475396,重点词,重点词,重点词,重点词,True,稳定词
72,6299,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
73,6325,63563817,1841014603,18.15,9,13,0.75, 00:00:41,41.0,False,True,False,41.0,1.4444444444444444,0.25,2.0166666666666666,18.15,9.0,1.4444444444444444,0.25,41.0,0.28484116241296914,0.023205134537006882,0.009242390848125406,0.28484116241296914,0.23543721625363614,0.2923578148520101,问题词,问题词,问题词,问题词,True,稳定词
74,6352,63563817,1841014603,61.07,36,181,0.4286, 00:06:44,404.0,False,True,False,404.0,5.027777777777778,0.5714,1.696388888888889,61.07,36.0,5.027777777777778,0.5714,404.0,0.5428059525642381,0.015461647400553186,0.018356919326796055,0.5428059525642381,0.4398265614893294,0.5723660083093426,重点词,重点词,重点词,重点词,True,稳定词
75,6364,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
76,6414,63563817,1841014603,1.78,1,1,1.0, 00:04:20,260.0,False,True,False,260.0,1.0,0.0,1.78,1.78,1.0,1.0,0.0,260.0,0.23487510746251675,0.028091259407863556,0.008623347164013693,0.23487510746251675,0.1667923170599862,0.23521720609047614,潜力词,潜力词,潜力词,潜力词,True,稳定词
77,56,63563817,2526158329,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
78,480,63563817,2526158329,12.25,4,4,1.0, 00:03:07,187.0,False,True,False,187.0,1.0,0.0,3.0625,12.25,4.0,1.0,0.0,187.0,0.238781536155022,0.02688891198642085,0.008434603224446096,0.238781536155022,0.18547899826386263,0.2344236531143406,问题词,问题词,问题词,问题词,True,稳定词
79,770,63563817,2526158329,41.28,30,49,0.75, 00:01:47,107.0,False,True,False,107.0,1.6333333333333333,0.25,1.3760000000000001,41.28,30.0,1.6333333333333333,0.25,107.0,0.34813451865674017,0.021176647878568204,0.011309575866445513,0.34813451865674017,0.32619160877051007,0.3424876531471446,重点词,重点词,重点词,重点词,True,稳定词
80,846,63563817,2526158329,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
81,934,63563817,2526158329,3.84,2,4,0.5, 00:00:16,16.0,False,True,False,16.0,2.0,0.5,1.92,3.84,2.0,2.0,0.5,16.0,0.3378755505438438,0.02284320759191109,0.011656662652532578,0.3378755505438438,0.2330617862854835,0.3821150018479637,黄金词,潜力词,黄金词,黄金词,False,边界敏感词
82,1262,63563817,2526158329,2.21,1,1,1.0, 00:00:11,11.0,False,True,False,11.0,1.0,0.0,2.21,2.21,1.0,1.0,0.0,11.0,0.15656376398824745,0.028822790348021664,0.005350261647363608,0.15656376398824745,0.1093930955023073,0.15680254782984282,潜力词,潜力词,潜力词,潜力词,True,稳定词
83,1277,63563817,2526158329,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
84,1385,63563817,2526158329,11.15,5,9,1.0, 00:00:43,43.0,False,True,False,43.0,1.8,0.0,2.23,11.15,5.0,1.8,0.0,43.0,0.2482895719043336,0.026032971699106306,0.008598677305759196,0.2482895719043336,0.1965060893623275,0.24236402659022044,问题词,问题词,问题词,问题词,True,稳定词
85,2052,63563817,2526158329,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
86,2373,63563817,2526158329,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
87,2397,63563817,2526158329,8.06,6,24,0.75, 00:04:53,293.0,False,True,False,293.0,4.0,0.25,1.3433333333333335,8.06,6.0,4.0,0.25,293.0,0.3942312059058963,0.02150474922078493,0.013995179845294126,0.3942312059058963,0.2935444913597725,0.4040181028110901,重点词,重点词,重点词,重点词,True,稳定词
88,2514,63563817,2526158329,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
89,2942,63563817,2526158329,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
90,3286,63563817,2526158329,1.9,1,1,1.0, 00:00:19,19.0,False,True,False,19.0,1.0,0.0,1.9,1.9,1.0,1.0,0.0,19.0,0.16761432673177723,0.028651744064575796,0.005769492370308442,0.16761432673177723,0.11723078344125087,0.1678696385622914,潜力词,潜力词,潜力词,潜力词,True,稳定词
91,3791,63563817,2526158329,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
92,4113,63563817,2526158329,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
93,4348,63563817,2526158329,23.31,12,15,0.8333, 00:00:25,25.0,False,True,False,25.0,1.25,0.16669999999999996,1.9425,23.31,12.0,1.25,0.16669999999999996,25.0,0.2541604900852323,0.024062702400342233,0.008199871625927902,0.2541604900852323,0.23132566241978397,0.2502312692631121,问题词,问题词,问题词,问题词,True,稳定词
94,4497,63563817,2526158329,15.14,10,30,0.963, 00:00:30,30.0,False,True,False,30.0,3.0,0.03700000000000003,1.514,15.14,10.0,3.0,0.03700000000000003,30.0,0.3085166914948552,0.024108187021936303,0.010756265561964256,0.3085166914948552,0.2571650368950413,0.29880545298403627,问题词,问题词,问题词,问题词,True,稳定词
95,5236,63563817,2526158329,7.11,5,36,0.5, 00:21:12,1272.0,False,True,False,1272.0,7.2,0.5,1.4220000000000002,7.11,5.0,7.2,0.5,1160.4800000000007,0.5043429797652896,0.018760752719820337,0.019089518645117633,0.5043429797652896,0.3626218363843929,0.5405418879090471,黄金词,黄金词,黄金词,黄金词,True,稳定词
96,5700,63563817,2526158329,3.63,2,1,1.0, 00:00:03,3.0,False,True,False,3.0,0.5,0.0,1.815,3.63,2.0,0.5,0.0,3.0,0.09272591684463333,0.029572784939087843,0.003022420289565905,0.09272591684463333,0.07249975261201598,0.09113680160906418,潜力词,潜力词,潜力词,潜力词,True,稳定词
97,5910,63563817,2526158329,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
98,5942,63563817,2526158329,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
99,6014,63563817,2526158329,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
100,6207,63563817,2526158329,2.68,2,3,0.0, 00:00:19,19.0,False,True,False,19.0,1.5,1.0,1.34,2.68,2.0,1.5,1.0,19.0,0.45692995791027574,0.021725055622936192,0.01827909474289608,0.45692995791027574,0.32543247114431006,0.5319530234239792,黄金词,黄金词,黄金词,黄金词,True,稳定词
101,6545,63563817,2526158329,14.84,6,37,0.5714, 00:03:00,180.0,False,True,False,180.0,6.166666666666667,0.4286,2.473333333333333,14.84,6.0,6.166666666666667,0.4286,180.0,0.4620438380443504,0.019398776310957728,0.016661367029415442,0.4620438380443504,0.33571868846020453,0.4902813515939008,重点词,重点词,重点词,重点词,True,稳定词
102,6604,63563817,2526158329,1.8,1,2,0.0, 00:00:09,9.0,False,True,False,9.0,2.0,1.0,1.8,1.8,1.0,2.0,1.0,9.0,0.45514808484984165,0.022195547887352195,0.018541296877587682,0.45514808484984165,0.3195220929188833,0.5313548016630084,黄金词,黄金词,黄金词,黄金词,True,稳定词
103,18,63563817,2874903000,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
104,19,63563817,2874903000,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
105,147,63563817,2874903000,41.96,37,51,0.9565, 00:01:20,80.0,False,True,False,80.0,1.3783783783783783,0.04349999999999998,1.134054054054054,41.96,37.0,1.3783783783783783,0.04349999999999998,80.0,0.3005145876260072,0.023561105729869733,0.010122378318647282,0.3005145876260072,0.3131348959785341,0.2762534574068737,问题词,重点词,问题词,问题词,False,边界敏感词
106,193,63563817,2874903000,4.83,5,4,1.0, 00:01:03,63.0,False,True,False,63.0,0.8,0.0,0.966,4.83,5.0,0.8,0.0,63.0,0.20221391160460028,0.027184915372317837,0.006890528869879096,0.20221391160460028,0.16756985659344634,0.19617711948143704,潜力词,潜力词,潜力词,潜力词,True,稳定词
107,384,63563817,2874903000,25.16,17,21,0.8824, 00:01:07,67.0,False,True,False,67.0,1.2352941176470589,0.11760000000000004,1.48,25.16,17.0,1.2352941176470589,0.11760000000000004,67.0,0.27456715764646655,0.023871500549527115,0.009035061100039814,0.27456715764646655,0.2594374897375421,0.26318284370039985,问题词,问题词,问题词,问题词,True,稳定词
108,405,63563817,2874903000,39.06,26,22,1.0, 00:00:56,56.0,False,True,False,56.0,0.8461538461538461,0.0,1.5023076923076923,39.06,26.0,0.8461538461538461,0.0,56.0,0.25005131852388485,0.025338966867407532,0.008448634195552059,0.25005131852388485,0.2690031918379861,0.2272534231754517,问题词,问题词,问题词,问题词,True,稳定词
109,431,63563817,2874903000,121.72,94,161,0.9146, 00:01:54,114.0,False,True,False,114.0,1.7127659574468086,0.08540000000000003,1.2948936170212766,121.72,94.0,1.7127659574468086,0.08540000000000003,114.0,0.3606980151391659,0.021579112222297112,0.012175064572562271,0.3606980151391659,0.39364031759522883,0.3278761703249208,重点词,重点词,重点词,重点词,True,稳定词
110,504,63563817,2874903000,60.02,45,64,0.9667, 00:01:00,60.0,False,True,False,60.0,1.4222222222222223,0.033299999999999996,1.333777777777778,60.02,45.0,1.4222222222222223,0.033299999999999996,60.0,0.30299356940254557,0.023486655112684236,0.010209813214806131,0.30299356940254557,0.32491214558499026,0.27567538527145513,问题词,重点词,问题词,问题词,False,边界敏感词
