关键词,消费额,点击量,累计消费占比,累计点击占比
1318,1603.5800000000002,1527,0.9477122620465863,0.940387990153507
3575,1574.66,312,0.948816550562884,0.9407617256517912
2899,1569.85,1892,0.9499174658889292,0.9430280960452315
4482,1556.31,396,0.9510088857896059,0.9435024526392075
3382,1547.26,294,0.9520939590433412,0.943854626474129
6489,1542.48,551,0.9531756801454324,0.9445146529470602
4188,1533.24,434,0.9542509213560609,0.9450345286081347
1916,1457.46,924,0.9552730190412523,0.9461413606607452
4563,1429.75,374,0.9562756840649251,0.9465893641106113
709,1363.47,2319,0.9572318677892316,0.9493672250738188
926,1346.58,500,0.9581762067768711,0.9499661601672227
3587,1338.51,838,0.9591148863787851,0.9509699753837677
2821,1327.25,927,0.9600456694895875,0.9520804010469386
1167,1264.77,257,0.960932636191452,0.9523882536849482
1048,1263.59,2840,0.9618187753747098,0.9557902050154825
5194,1244.51,197,0.9626915340028694,0.9560261854422836
5834,1229.83,157,0.9635539977385321,0.9562142510616125
3222,1178.16,173,0.9643802259772385,0.9564214826039302
1607,1149.42,805,0.9651862992288629,0.9573857681043105
5486,1121.76,52,0.9659729748833167,0.9574480573540245
875,1095.09,1083,0.9667409472146851,0.9587453507663375
3169,1053.19,678,0.9674795356226459,0.9595575067529932
5596,1051.38,988,0.9682168547012184,0.9607410024975593
6119,1007.59,169,0.968923464424039,0.9609434425591299
1655,968.54,714,0.9696026888912732,0.9617987218725107
5702,947.62,109,0.9702672424354124,0.9619292897228727
2633,937.84,811,0.9709249373931333,0.962900762444374
2019,906.78,969,0.9715608503780371,0.9640614986553907
665,893.04,602,0.9721871276801815,0.964782616507849
5337,727.12,260,0.9726970474507799,0.9650940627564191
2438,663.8,552,0.9731625617313983,0.9657552870995371
1672,662.43,3390,0.9736271152488885,0.9698160670328156
4196,657.56,352,0.9740882534989086,0.970237717338572
3163,614.71,402,0.9745193416029142,0.9707192611536688
653,570.08,73,0.9749191312701256,0.9708067056773058
5640,531.84,40,0.9752921037241842,0.9708546204847781
3366,513.5,239,0.9756522145754911,0.9711409114594252
6027,501.74,66,0.9760040782922091,0.9712199708917545
4751,453.98,133,0.9763224485439643,0.9713792876265999
2987,442.84,485,0.9766330064590427,0.9719602546672017
433,438.82,72,0.9769407452005627,0.9720465013206518
640,432.45,35,0.9772440167441804,0.9720884267771902
1998,418.66,97,0.9775376175406908,0.9722046201853105
1567,404.71999999999997,261,0.9778214423970509,0.9725172643040674
2561,402.98,281,0.9781040470141096,0.9728538658265604
1089,396.88,330,0.9783823737807438,0.973249162988207
1981,375.87,274,0.978645966508457,0.9735773794193924
4634,375.36,121,0.9789092015798233,0.973722321711996
5249,371.71,111,0.9791698769538044,0.9738552853027317
4260,362.82,62,0.979424317886757,0.9739295532543139
6023,344.18,149,0.9796656868308715,0.9741080359121482
2723,340.06,332,0.9799041664727322,0.9745057288141684
6617,336.08,249,0.9801398549925125,0.9748039984906836
3923,331.02,35,0.9803719950003015,0.9748459239472218
5260,310.37,345,0.9805896534324732,0.9752591891616705
6504,306.27,162,0.98080443658813,0.9754532441319335
5304,299.99,77,0.9810148156617104,0.9755454801363176
3393,298.34,124,0.9812240376118154,0.9756940160394818
937,286.55,134,0.981424991388723,0.9758545306445141
1676,270.03,159,0.9816143599051366,0.9760449920042165
2275,264.04,180,0.9817995277126909,0.9762606086378419
270,263.36,50,0.9819842186451158,0.9763205021471824
4773,258.37,138,0.9821654101556362,0.9764858082329618
1164,255.64000000000001,213,0.9823446871527697,0.9767409545827519
726,252.86,135,0.9825220145721688,0.9769026670579709
888,244.33,31,0.9826933600138433,0.976939801033762
6149,244.19,186,0.982864607275344,0.9771626048885083
5212,242.98,40,0.9830350059796295,0.9772105196959805
3135,242.98,170,0.9832054046839148,0.9774141576277379
5134,237.24,177,0.9833717780010794,0.9776261806508029
4053,223.0,37,0.9835281649920072,0.9776705018477148
4002,221.20000000000002,167,0.9836832896664164,0.9778705461689117
2997,221.15,155,0.9838383792764777,0.9780562160478669
1802,217.36,110,0.9839908110089803,0.9781879817684157
1257,212.69000000000003,165,0.9841399677314038,0.9783856303492391
104,210.57,164,0.984287637725483,0.9785820810598755
3215,203.86,101,0.9844306020840954,0.9787030659487431
33,203.48,96,0.9845732999536648,0.9788180614866767
5621,200.67,223,0.9847140272068913,0.9790851865383349
679,200.65,252,0.9848547404343785,0.9793870498254105
4652,194.44,90,0.9849910986698762,0.9794948581422231
4579,193.14,89,0.9851265452323327,0.979601468588849
6561,190.83,93,0.9852603718219235,0.9797128705162221
4256,187.93,58,0.9853921646793453,0.979782346987057
6486,186.06,55,0.9855226461301616,0.9798482298473314
6001,182.78,71,0.9856508273597661,0.9799332786305948
4995,182.38,142,0.9857787280745884,0.9801033761971215
1667,181.67000000000002,94,0.985906130875673,0.9802159759946815
2892,179.02,122,0.9860316752663273,0.980362116157472
4927,172.14,53,0.9861523948027322,0.9804256032773728
4832,171.45,73,0.9862726304511383,0.9805130478010098
235,171.35,133,0.9863927959708491,0.9806723645358553
5783,170.77,117,0.9865125547441259,0.9808125153477117
4828,170.67000000000002,55,0.9866322433887073,0.9808783982079862
4887,167.05,190,0.9867493933745123,0.9811059935434797
6490,166.07,165,0.9868658560991015,0.981303642124303
5771,165.76,118,0.9869821014247346,0.9814449908063463
181,165.4,49,0.987098094287064,0.9815036864454999
1738,162.44,128,0.987212011340007,0.9816570138294113
6282,162.07,119,0.987325668916777,0.9817995603816414
3936,155.23,28,0.9874345296907757,0.981833100746872
2478,150.65,79,0.9875401785705212,0.9819277324916299
6083,149.85,92,0.987645266420703,0.9820379365488162
4606,147.32000000000002,52,0.9877485800148892,0.9821002257985302
5345,140.22,49,0.9878469144716959,0.9821589214376838
5705,138.77,29,0.9879442320624181,0.9821936596731012
5182,132.06,13,0.9880368440176734,0.9822092319855297
6352,131.24,78,0.9881288809176257,0.9823026658601007
4437,129.39,89,0.9882196204367115,0.9824092763067266
2807,128.13,146,0.9883094763342343,0.9825841653540006
505,128.05,108,0.9883992761288007,0.9827135353341758
2078,127.96,115,0.9884890128075411,0.9828512904056588
6256,127.35,41,0.9885783217012393,0.9829004030833178
6463,127.09,21,0.988667448260329,0.9829255583572408
1590,126.84,80,0.9887563994976801,0.9830213879721854
2557,126.11,148,0.9888448387955543,0.983198672759833
572,126.06,22,0.9889332430290806,0.9832250259039428
469,124.59,25,0.9890206163707833,0.983254972658613
206,122.53,26,0.9891065450613591,0.98328611728347
6162,121.83,24,0.9891919828510665,0.9833148661679534
431,121.72,94,0.9892773434992087,0.9834274659655133
5330,121.6,77,0.9893626199929165,0.9835197019698976
6272,121.35,23,0.9894477211648856,0.9835472529841941
299,121.03,97,0.9895325979250291,0.9836634463923145
6029,120.76,18,0.9896172853376948,0.983685008055677
751,118.97,21,0.9897007174467113,0.9837101633295999
912,116.42,16,0.9897823612739929,0.9837293292525889
6500,116.38,82,0.9898639770497963,0.9838275546079072
2584,115.98,262,0.9899453123108178,0.9841413965968508
3905,115.64,57,0.9900264091342748,0.9842096751974988
1817,115.52,116,0.990107421803297,0.9843486281391686
1207,115.45,90,0.9901883853822325,0.9844564364559812
5267,114.32,85,0.9902685565069091,0.9845582554218599
1353,113.91,107,0.9903484401039342,0.9846864275318483
5891,112.7,110,0.9904274751437439,0.9848181932523973
829,112.68,22,0.9905064961578144,0.984844546396507
5374,112.03999999999999,54,0.9905850683482339,0.9849092313865946
700,111.9,117,0.9906635423584798,0.9850493821984512
557,111.75,13,0.9907419111756823,0.9850649545108796
5608,111.69,12,0.9908202379156676,0.9850793289531213
4827,110.5,68,0.9908977301241767,0.9851607841258243
6516,110.03,110,0.990974892727817,0.9852925498463732
925,109.28,74,0.9910515293662412,0.9853811922401969
3327,106.37,71,0.991126125259627,0.9854662410234603
4798,105.25,107,0.9911999357116231,0.9855944131334488
4527,103.53,68,0.991272539950057,0.9856758683061516
1018,102.82000000000001,68,0.991344646274753,0.9857573234788546
6325,101.66,73,0.9914159391065813,0.9858447680024915
2113,99.48,101,0.9914857031328481,0.9859657528913591
2919,98.81,119,0.9915549972968553,0.9861082994435894
2780,95.7,65,0.9916221104584327,0.9861861610057318
6434,89.74,49,0.9916850439497595,0.9862448566448854
4321,89.22,64,0.9917476127718697,0.9863215203368411
3157,88.98,92,0.9918100132851108,0.9864317243940274
5307,88.18,34,0.9918718527687879,0.9864724519803789
2038,84.93,60,0.9919314130698619,0.9865443241915873
4766,83.21,22,0.9919897671573735,0.9865706773356971
308,83.0,85,0.9920479739746246,0.9866724963015758
400,79.42,60,0.9921036701845775,0.9867443685127842
2123,79.16999999999999,50,0.9921591910727916,0.9868042620221247
6133,78.42999999999999,42,0.9922141930086591,0.9868545725699706
3732,78.02,54,0.9922689074168752,0.9869192575600583
3412,77.97,59,0.9923235867607435,0.9869899319010799
2996,75.77,51,0.9923767232733113,0.9870510232806071
530,74.08,84,0.9924286746109253,0.987151644376299
1486,73.03,75,0.9924798895972369,0.9872414846403095
2253,70.6,27,0.9925294004562482,0.9872738271353534
5830,68.65,16,0.9925775438056974,0.9872929930583423
5532,68.56,43,0.9926256240393208,0.987344501476375
2855,67.43,84,0.9926729118186852,0.9874451225720668
1575,67.41,242,0.9927201855723105,0.9877350071572744
5035,66.79,41,0.9927670245280238,0.9877841198349335
2354,65.71,62,0.9928131060938258,0.9878583877865156
4229,65.11,48,0.9928587668874551,0.9879158855554824
5010,63.52,44,0.9929033126348261,0.9879685918437019
1735,62.35,65,0.99294703787646,0.9880464534058444
4662,62.34,48,0.9929907561052244,0.9881039511748112
4865,61.99,63,0.9930342288835545,0.9881794169965801
2107,60.53,43,0.9930766777829306,0.9882309254146128
504,60.02,45,0.9931187690259597,0.9882848295730192
4700,59.83,35,0.9931607270244674,0.9883267550295575
48,58.58,11,0.9932018084142816,0.9883399316016124
1976,58.12,47,0.9932425672120966,0.9883962315003924
2869,57.95,52,0.9932832067911291,0.9884585207501063
890,56.98,132,0.9933231661218156,0.988616639614765
1186,56.86,40,0.9933630412980674,0.9886645544222372
6574,56.31,43,0.9934025307664941,0.98871606284027
2320,55.43,61,0.9934414031024005,0.9887891329216653
5696,54.85,41,0.9934798686918732,0.9888382455993244
1719,54.620000000000005,72,0.9935181729853463,0.9889244922527746
4016,53.76,31,0.9935558741720381,0.9889616262285656
3165,53.44,53,0.9935933509469044,0.9890251133484664
6246,53.38,10,0.9936307856445533,0.9890370920503345
3830,53.31,116,0.9936681712521155,0.9891760449920042
5831,52.79,3,0.9937051921904612,0.9891796386025646
4158,52.67,44,0.9937421289743722,0.9892323448907842
154,52.15,73,0.9937787010890666,0.9893197894144211
4047,50.95,36,0.9938144316594154,0.9893629127411463
1707,50.61,45,0.9938499237921996,0.9894168168995526
1425,50.01,43,0.9938849951528108,0.9894683253175853
316,49.94,43,0.9939200174233351,0.989519833735618
151,48.47,39,0.9939540088020359,0.9895665506729036
6510,47.02,30,0.9939869833146522,0.9896024867785078
5935,46.08,7,0.9940192986175309,0.9896108718698154
4860,46.03,41,0.9940515788560619,0.9896599845474746
3008,45.41,54,0.9940834242966808,0.9897246695375622
2806,45.31,44,0.9941151996086044,0.9897773758257817
1316,45.15,213,0.994146862714615,0.9900325221755718
1666,45.040000000000006,31,0.9941784486790607,0.9900696561513629
1308,44.83,48,0.994209887373246,0.9901271539203297
3597,44.81,51,0.9942413120416921,0.9901882452998568
4091,44.79,64,0.994272722684399,0.9902649089918125
1785,44.38,65,0.9943038457994545,0.990342770553955
2624,43.85,44,0.994334597232424,0.9903954768421747
2226,43.74,46,0.9943652715238284,0.9904505788707678
2748,43.02,39,0.9943954408886254,0.9904972958080532
6004,42.67,39,0.994425364802988,0.9905440127453388
4782,42.62,45,0.9944552536530031,0.9905979169037451
5713,42.48,38,0.9944850443228445,0.9906434359708438
2351,42.25,28,0.9945146736966861,0.9906769763360744
147,41.96,37,0.994544099697311,0.9907212975329863
5288,41.91,24,0.9945734906335879,0.9907500464174698
3352,41.68,30,0.9946027202738653,0.9907859825230739
735,41.540000000000006,44,0.9946318517339691,0.9908386888112936
770,41.28,30,0.9946608008594646,0.9908746249168977
2579,41.09,33,0.9946896167404388,0.9909141546330624
1364,41.04,62,0.9947183975570651,0.9909884225846445
2938,40.92,30,0.9947470942192569,0.9910243586902487
5895,40.9,33,0.9947757768557095,0.9910638884064134
6343,40.22,9,0.994803982617033,0.9910746692380946
4805,39.87,31,0.9948319429279222,0.9911118032138857
405,39.06,26,0.994859335196378,0.9911429478387427
3073,38.81,35,0.9948865521430952,0.991184873295281
2941,38.41,28,0.9949134885750303,0.9912184136605117
1314,38.08,28,0.9949401935822704,0.9912519540257422
4212,37.2,30,0.9949662814569901,0.9912878901313464
4097,37.12,19,0.9949923132287536,0.9913106496648958
2774,37.05,27,0.9950182959104302,0.9913429921599396
4938,36.87,40,0.995044152360455,0.991390906967412
4837,36.73,24,0.995069910630306,0.9914196558518953
91,36.38,6,0.9950954234497228,0.9914268430730162
4165,36.37,33,0.9951209292562702,0.9914663727891808
3132,36.2,53,0.995146315844035,0.9915298599090816
3313,36.15,43,0.9951716673674522,0.9915813683271144
5592,35.29,21,0.9951964157840882,0.9916065236010374
1441,34.01,50,0.9952202665534222,0.9916664171103777
4546,33.96,44,0.9952440822584083,0.9917191233985972
5538,33.94,39,0.9952678839376553,0.9917658403358828
1765,33.74,46,0.9952915453595114,0.9918209423644759
1513,33.69,23,0.9953151717170197,0.9918484933787726
625,33.59,37,0.9953387279458326,0.9918928145756845
4101,33.58,27,0.9953622771617759,0.9919251570707283
1150,33.45,50,0.9953857352104151,0.9919850505800686
3649,33.42,4,0.9954091722204456,0.9919898420608159
5795,33.25,32,0.9954324900116938,0.9920281739067938
5661,33.08,29,0.9954556885841597,0.9920629121422111
3078,33.02,29,0.9954788450794083,0.9920976503776285
4888,33.02,26,0.9955020015746568,0.9921287950024856
2128,32.54,38,0.9955248214521673,0.9921743140695842
3202,32.23,27,0.9955474239307215,0.9922066565646281
859,32.11,16,0.9955699422548412,0.992225822487617
2206,32.01,43,0.9955923904502655,0.9922773309056497
5418,31.98,18,0.995614817607081,0.9922988925690123
3379,31.79,21,0.9956371115193752,0.9923240478429353
5926,31.28,19,0.9956590477753224,0.9923468073764846
255,30.98,17,0.9956807736451831,0.9923671711696603
720,30.61,26,0.9957022400388706,0.9923983157945173
3280,30.61,27,0.9957237064325581,0.9924306582895611
3526,29.64,25,0.9957444925778993,0.9924606050442314
1525,29.45,32,0.9957651454787192,0.9924989368902092
4352,29.26,39,0.9957856651350175,0.9925456538274947
5911,29.26,17,0.995806184791316,0.9925660176206704
4023,29.05,12,0.9958265571773539,0.9925803920629122
5755,29.05,27,0.9958469295633918,0.992612734557956
5679,28.92,27,0.9958672107821256,0.9926450770529998
5767,28.84,20,0.9958874358979031,0.9926690344567359
1092,28.67,29,0.995907541794898,0.9927037726921534
1461,28.41,18,0.9959274653572848,0.9927253343555159
5229,28.35,51,0.9959473468424545,0.992786425735043
4189,28.270000000000003,23,0.9959671722246676,0.9928139767493397
3863,28.12,18,0.9959868924138375,0.9928355384127022
5500,27.94,29,0.9960064863713556,0.9928702766481197
1241,27.91,27,0.9960260592902649,0.9929026191431635
4331,27.83,28,0.9960455761062179,0.9929361595083941
2500,27.75,34,0.9960650368192145,0.9929768870947455
4173,27.6,28,0.996084392339168,0.9930104274599761
217,27.42,13,0.9961036216274696,0.9930259997724047
2863,27.28,18,0.9961227527355974,0.9930475614357672
144,26.87,6,0.9961415963160738,0.993054748656888
4857,26.8,21,0.9961603908064635,0.993079903930811
2382,26.76,27,0.9961791572453748,0.9931122464258548
2270,26.65,15,0.996197846542721,0.9931302144786569
456,26.44,31,0.9962163885698068,0.993167348454448
5721,25.98,22,0.9962346080048933,0.9931937015985578
4937,25.77,21,0.9962526801697194,0.9932188568724807
4403,25.77,19,0.9962707523345454,0.99324161640603
1196,25.68,26,0.9962887613835455,0.9932727610308871
4479,25.66,29,0.9963067564068064,0.9933074992663045
4480,25.5,18,0.9963246392241547,0.9933290609296671
5701,25.42,17,0.9963424659385466,0.9933494247228428
384,25.16,17,0.99636011031833,0.9933697885160185
4539,25.13,28,0.996377733659505,0.9934033288812492
4195,25.1,10,0.9963953359620713,0.9934153075831172
3304,24.96,16,0.996412840084464,0.9934344735061061
4791,24.87,13,0.9964302810910307,0.9934500458185347
4804,24.55,27,0.9964474976857719,0.9934823883135785
4166,24.53,20,0.996464700254774,0.9935063457173147
2056,24.53,26,0.9964819028237761,0.9935374903421716
3045,24.51,22,0.9964990913670391,0.9935638434862814
1677,24.31,21,0.9965161396529111,0.9935889987602043
1660,24.25,18,0.9965331458615658,0.9936105604235669
6538,24.009999999999998,21,0.9965499837613514,0.9936357156974899
4675,23.99,17,0.9965668076353978,0.9936560794906656
2116,23.67,33,0.9965834070976186,0.9936956092068303
5044,23.34,23,0.9965997751351445,0.9937231602211268
4348,23.31,12,0.9966161221340617,0.9937375346633686
4894,23.29,39,0.9966324551072399,0.9937842516006541
4378,23.08,17,0.9966486408101575,0.9938046153938298
836,22.95,53,0.9966647353457708,0.9938681025137306
2577,22.78,23,0.9966807106626019,0.9938956535280272
3016,22.59,16,0.9966965527349116,0.9939148194510161
2390,22.25,16,0.9967121563696567,0.993933985374005
2993,22.18,15,0.9967277109143149,0.9939519534268071
3417,22.14,22,0.9967432374074948,0.9939783065709169
954,22.07,35,0.996758714810588,0.9940202320274552
6554,22.07,120,0.9967741922136812,0.9941639764498721
4190,21.98,25,0.9967896065009485,0.9941939232045424
4949,21.56,17,0.9968047262476947,0.9942142869977181
4046,21.51,20,0.9968198109300932,0.9942382444014543
6366,21.060000000000002,22,0.996834580033362,0.994264597545564
1209,21.0,22,0.9968493070594135,0.9942909506896738
4127,20.95,13,0.9968639990211172,0.9943065230021023
6307,20.78,8,0.9968785717640387,0.9943161059635968
1437,20.59,22,0.9968930112624388,0.9943424591077065
1152,20.59,30,0.9969074507608389,0.9943783952133107
6229,20.55,18,0.9969218622077607,0.9943999568766733
2371,20.29,22,0.9969360913200743,0.9944263100207831
2524,20.21,13,0.9969502643294315,0.9944418823332115
6377,20.2,24,0.9969644303259191,0.994470631217695
811,20.17,13,0.996978575283798,0.9944862035301234
136,20.16,35,0.9969927132288073,0.9945281289866618
6315,20.1,21,0.9970068090965996,0.9945532842605846
5271,20.07,22,0.9970208839257831,0.9945796374046945
4614,19.9,24,0.9970348395361842,0.9946083862891778
2505,19.82,10,0.9970487390436291,0.9946203649910459
1270,19.82,20,0.9970626385510739,0.9946443223947821
4280,19.71,26,0.9970764609169537,0.994675467019639
4355,19.69,16,0.9970902692570943,0.994694632942628
338,19.59,13,0.9971040074685396,0.9947102052550565
847,19.53,16,0.9971177036027674,0.9947293711780454
1638,19.33,26,0.9971312594796045,0.9947605158029025
2383,19.2,39,0.9971447241891372,0.9948072327401879
5588,19.09,19,0.997158111757105,0.9948299922737373
2534,18.86,18,0.9971713380290732,0.9948515539370998
4880,18.79,23,0.9971845152109546,0.9948791049513964
2668,18.74,26,0.9971976573284882,0.9949102495762534
5533,18.68,17,0.9972107573688044,0.9949306133694291
4853,18.66,18,0.9972238433833815,0.9949521750327917
5874,18.64,22,0.9972369153722196,0.9949785281769015
3104,18.62,25,0.9972499733353186,0.9950084749315716
434,18.54,7,0.9972629751954613,0.9950168600228794
5896,18.37,25,0.9972758578368216,0.9950468067775495
2578,18.31,21,0.9972886984009647,0.9950719620514725
3106,18.29,11,0.9973015249393686,0.9950851386235273
1390,18.22,25,0.9973143023876856,0.9951150853781976
4017,18.21,10,0.9973270728231332,0.9951270640800657
3972,18.12,14,0.9973397801427548,0.9951438342626809
2152,18.12,21,0.9973524874623765,0.9951689895366039
6648,18.0,18,0.9973651106275634,0.9951905511999665
4776,17.93,25,0.9973776847026635,0.9952204979546366
1581,17.82,27,0.9973901816361987,0.9952528404496804
2176,17.75,10,0.997402629479647,0.9952648191515485
2724,17.48,15,0.9974148879756175,0.9952827872043507
6271,17.47,11,0.9974271394587184,0.9952959637764055
3809,17.29,21,0.9974392647101675,0.9953211190503285
2793,17.12,21,0.9974512707428344,0.9953462743242515
5436,17.1,13,0.997463262749762,0.99536184663668
1869,16.93,17,0.9974751355379073,0.9953822104298558
2518,16.92,15,0.997487001313183,0.9954001784826578
2233,16.86,20,0.9974988250112417,0.995424135886394
1323,16.79,16,0.9975105996192133,0.9954433018093829
874,16.71,15,0.9975223181242285,0.9954612698621851
5723,16.57,18,0.9975339384490701,0.9954828315255476
3692,16.38,15,0.9975454255293903,0.9955007995783497
2127,16.0,6,0.9975566461206675,0.9955079867994705
4397,15.91,19,0.997567803596119,0.9955307463330199
2889,15.89,9,0.9975789470458312,0.9955415271647011
4663,15.68,16,0.9975899432252829,0.9955606930876901
4090,15.57,18,0.9976008622631697,0.9955822547510527
4957,15.54,14,0.9976117602624478,0.9955990249336679
2274,15.49,4,0.9976226231973782,0.9956038164144152
4560,15.29,8,0.9976333458749176,0.9956133993759096
5779,15.29,14,0.997644068552457,0.9956301695585249
6633,15.18,12,0.9976547140884313,0.9956445440007666
3964,15.17,14,0.9976653526115361,0.995661314183382
4497,15.14,10,0.9976759700960323,0.99567329288525
2501,15.12,17,0.9976865735547894,0.9956936566784258
2705,15.07,15,0.9976971419491988,0.9957116247312279
162,14.99,5,0.9977076542406517,0.9957176140821619
3416,14.91,11,0.9977181104291483,0.9957307906542168
1561,14.9,16,0.9977285596047751,0.9957499565772058
2,14.89,12,0.9977390017675326,0.9957643310194474
6545,14.84,6,0.9977494088659423,0.9957715182405683
1090,14.8,21,0.9977597879128739,0.9957966735144912
4400,14.68,9,0.9977700828053708,0.9958074543461725
427,14.62,9,0.9977803356206506,0.9958182351778537
4458,14.62,7,0.9977905884359303,0.9958266202691615
3549,14.61,13,0.9978008342383405,0.9958421925815899
3501,14.5,9,0.9978110028991856,0.9958529734132712
1914,14.49,9,0.9978211645471611,0.9958637542449524
6440,14.489999999999998,11,0.9978313261951366,0.9958769308170073
6152,14.45,18,0.997841459791634,0.9958984924803699
4244,14.34,17,0.9978515162465663,0.9959188562735456
1705,14.22,13,0.997861488547064,0.9959344285859741
2602,14.01,10,0.9978713135773012,0.9959464072878422
3949,13.87,13,0.9978810404273648,0.9959619796002707
5095,13.79,13,0.997890711174472,0.9959775519126992
2854,13.72,13,0.9979003328314924,0.9959931242251278
4210,13.71,12,0.9979099474756431,0.9960074986673694
4815,13.7,17,0.9979195551069242,0.9960278624605452
461,13.69,13,0.9979291557253359,0.9960434347729736
5527,13.68,35,0.9979387493308779,0.9960853602295119
2280,13.66,10,0.9979483289106809,0.99609733893138
3457,13.65,5,0.9979579014776143,0.9961033282823141
5306,13.59,17,0.9979674319673305,0.9961236920754898
5921,13.55,12,0.9979769344055686,0.9961380665177315
1243,13.53,13,0.9979864228180675,0.99615363883016
1742,13.43,15,0.9979958411018709,0.9961716068829621
2525,13.42,12,0.9980052523728047,0.9961859813252038
5050,13.37,21,0.9980146285793908,0.9962111365991267
3064,13.2,15,0.9980238855671947,0.9962291046519288
5531,13.14,12,0.998033100477781,0.9962434790941705
5653,13.05,16,0.9980422522725417,0.9962626450171594
6372,12.98,16,0.9980513549772154,0.9962818109401484
1649,12.97,12,0.9980604506690196,0.9962961853823901
579,12.94,14,0.998069525322215,0.9963129555650054
5693,12.75,9,0.9980784667308892,0.9963237363966867
759,12.71,15,0.9980873800880851,0.9963417044494888
990,12.69,8,0.9980962794195419,0.9963512874109832
