关键词ID,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均停留秒,CPC,浏览深度,零跳出,点击超浏览,筛查结果
353,495817671,9630806627,2953.6,2626,2546,0.8257,148.0,1.1248,0.9695,False,True,高消费低效
6159,495817671,9630806627,2951.62,1910,1493,0.8262,168.0,1.5454,0.7817,False,True,高消费低效
5484,525368335,9811363528,2870.73,670,867,0.8636,66.0,4.2847,1.294,False,False,高消费低效
2933,495817671,9630806627,2839.7,2473,3691,0.6966,195.0,1.1483,1.4925,False,False,正常
110,495817671,9630806627,2838.16,1511,3464,0.2866,448.0,1.8783,2.2925,False,False,正常
2978,525368335,9811363528,2698.76,4658,6365,0.9164,86.0,0.5794,1.3665,False,False,高消费低效
6607,525368335,9811363528,2674.93,1735,2223,0.6209,240.0,1.5417,1.2813,False,False,正常
4718,525368335,9811363528,2594.66,813,1424,0.7243,123.0,3.1915,1.7515,False,False,高消费低效
1424,495817671,9630806627,2592.53,2414,145,0.8839,97.0,1.074,0.0601,False,True,高消费低效
4760,495817671,9630806627,2556.38,436,1281,0.7647,242.0,5.8633,2.9381,False,False,正常
509,500635396,9657930100,2532.96,350,889,0.5478,192.0,7.237,2.54,False,False,正常
5703,495403620,9628223555,2433.25,464,1009,0.7268,229.0,5.2441,2.1746,False,False,正常
416,500635396,9700005700,2417.24,1207,507,0.6579,186.0,2.0027,0.42,False,True,正常
3374,495403620,9628223555,2398.88,445,3848,0.2606,480.0,5.3907,8.6472,False,False,正常
815,495817671,9630806627,2298.65,2510,2693,0.7592,154.0,0.9158,1.0729,False,False,高消费低效
232,500635396,9773660250,2235.16,1712,3698,0.6848,189.0,1.3056,2.16,False,False,高消费低效
2742,525368335,9811363528,2201.88,6284,4228,0.9227,58.0,0.3504,0.6728,False,True,高消费低效
4045,525368335,9811363528,2116.51,24,117,0.5714,341.0,88.1879,4.875,False,False,正常
3515,525368335,9811363528,2110.21,88,180,0.6615,152.0,23.9797,2.0455,False,False,正常
4594,525368335,9811363528,2076.36,273,546,0.7826,227.0,7.6057,2.0,False,False,正常
4177,63563817,4190988309,2053.55,1402,10918,0.4145,483.0,1.4647,7.7874,False,False,正常
6298,495403620,9628223555,1983.14,693,1366,0.7867,202.0,2.8617,1.9711,False,False,正常
1438,495817671,9630806627,1912.61,934,966,0.6199,276.0,2.0478,1.0343,False,False,正常
6180,500635396,9657930100,1896.27,400,1364,0.4804,337.0,4.7407,3.41,False,False,正常
2985,63563817,4190988310,1810.51,1217,1985,0.8828,84.0,1.4877,1.6311,False,False,高消费低效
4054,495817671,9630806627,1793.1,669,1298,0.7342,146.0,2.6803,1.9402,False,False,高消费低效
5964,495403620,9628223555,1774.21,550,790,0.8364,111.0,3.2258,1.4364,False,False,高消费低效
2541,495817671,9630806627,1719.88,695,3422,0.4544,346.0,2.4746,4.9237,False,False,正常
2586,495817671,9630806627,1676.01,523,808,0.7976,129.0,3.2046,1.5449,False,False,高消费低效
5626,495817671,9630806627,1662.23,1045,802,0.868,137.0,1.5907,0.7675,False,True,高消费低效
1924,495817671,9630806627,1649.24,645,683,0.7829,165.0,2.557,1.0589,False,False,高消费低效
5453,500635396,9700005700,1623.0,2785,3265,0.6667,39.0,0.5828,1.1724,False,False,高消费低效
2899,495817671,9630806627,1569.85,1892,1578,0.822,176.0,0.8297,0.834,False,True,高消费低效
4482,500635396,9657930100,1556.31,396,1005,0.6404,197.0,3.9301,2.5379,False,False,正常
6489,495817671,9630806627,1542.48,551,581,0.8906,109.0,2.7994,1.0544,False,False,高消费低效
4188,495403620,9628223555,1533.24,434,1683,0.5805,286.0,3.5328,3.8779,False,False,正常
