日期,日消费,日点击,日展现,新注册数,CPA,CPA_7d
2025-03-19,14977.470000000001,5850,78823,480,31.2030625,22.59052781127983
2025-03-20,13076.08,4685,58483,255,51.27874509803922,26.174852634202633
2025-03-21,10645.3,5014,42840,406,26.219950738916253,28.24316456242219
2025-03-22,7048.21,4370,171082,119,59.228655462184875,34.49427400402964
2025-03-23,3228.01,2242,65862,46,70.17413043478261,39.99123914480727
2025-03-24,4139.45,3370,143062,67,61.78283582089552,44.548043624797124
2025-03-25,986.5899999999999,807,35431,68,14.508676470588235,44.91372236077239
2025-03-26,1077.56,979,39952,43,25.05953488372093,44.036075558446804
2025-03-27,987.1899999999999,1057,47022,45,21.937555555555555,39.84447705237771
2025-03-28,622.3,822,33805,55,11.314545454545454,37.71513344032474
2025-03-29,1003.5699999999999,1129,46190,61,16.451967213114752,31.604177976171865
2025-03-30,1009.59,740,50229,17,59.38764705882353,30.063251779606283
2025-03-31,855.91,649,40704,20,42.7955,27.350775233764068
2025-04-01,551.76,500,27666,39,14.147692307692308,27.299206067636078
2025-04-02,780.59,564,28455,40,19.51475,26.507093941390227
2025-04-03,554.22,386,21426,19,29.169473684210526,27.540225102626657
2025-04-04,304.24,207,12347,25,12.1696,27.662375751977304
2025-04-05,331.7,229,13004,28,11.846428571428572,27.00444166030785
2025-04-06,521.5,369,18335,45,11.588888888888889,20.176047636031466
2025-04-07,977.1199999999999,701,35947,75,13.028266666666665,15.923585731269567
2025-04-08,6652.91,3203,55625,176,37.800625,19.302576115884953
2025-04-09,3357.93,3441,30971,307,10.937882736156352,18.077309363907286
2025-04-10,3379.43,3434,32477,308,10.972175324675325,15.477695312545114
2025-04-11,3365.54,3331,32561,357,9.427282913165266,15.085935728711581
2025-04-12,3363.24,3438,32789,363,9.265123966942149,14.717177928070663
2025-04-13,962.8,1639,10222,164,5.870731707317073,13.900298330703261
2025-04-14,875.71,1378,7811,174,5.0328160919540235,12.758091105744311
2025-04-15,2119.53,3774,57813,401,5.285610972568579,8.113089101825539
2025-04-16,2705.08,3755,80310,351,7.706780626780627,7.651503086200434
2025-04-17,3125.48,3868,97114,360,8.681888888888889,7.324319309659515
2025-04-18,2714.56,3449,94005,237,11.453839662447256,7.613827416699799
2025-04-19,3336.84,2739,68285,192,17.379375,8.773006135708064
2025-04-20,735.9100000000001,995,32486,102,7.214803921568628,8.965016452029715
2025-04-21,978.1800000000001,1267,36450,156,6.270384615384616,9.141811955376943
2025-04-22,4264.49,4280,108287,330,12.922696969696968,10.232824240680998
2025-04-23,4452.59,4006,88731,337,13.212433234421365,11.019346041772533
2025-04-24,8352.19,5971,110901,478,17.473200836820084,12.275247748619845
2025-04-25,5414.2300000000005,4349,106887,305,17.751573770491806,13.174924049769066
2025-04-26,5551.69,3547,93635,277,20.042202166064982,13.555327930635494
2025-04-27,1692.87,1777,42962,159,10.64698113207547,14.0456389607079
2025-04-28,4690.49,2893,99235,209,22.442535885167462,16.35594628496259
2025-04-29,3567.3999999999996,1896,94746,183,19.49398907103825,17.294702299439916
2025-04-30,1009.4100000000001,1229,75911,100,10.094100000000001,16.84922612309401
2025-05-01,439.12,459,21891,50,8.7824,15.607683146405424
2025-05-02,530.86,483,22816,51,10.409019607843138,14.558746837455615
2025-05-03,540.6700000000001,552,24338,60,9.011166666666668,12.982884623255856
2025-05-04,617.64,636,29304,76,8.126842105263158,12.622864762282669
2025-05-05,843.3,888,38568,96,8.784374999999999,10.67169892154446
2025-05-06,3474.98,2829,102909,308,11.282402597402598,9.49861513959651
2025-05-07,5932.110000000001,3791,115135,441,13.451496598639457,9.978243225116431
2025-05-08,4426.36,2373,107160,268,16.516268656716417,11.083081604647347
2025-05-09,6155.26,2607,124193,272,22.629632352941176,12.828883425375638
2025-05-10,7902.11,3864,115573,323,24.46473684210526,15.036536307581153
2025-05-11,5787.92,3416,114083,269,21.5164312267658,16.9493347535101
2025-05-12,2435.56,1617,54002,165,14.760969696969697,17.803133995934342
2025-05-13,8252.04,4537,113583,323,25.548111455108362,19.841092404178024
2025-05-14,5272.96,3078,111450,270,19.529481481481483,20.709375958869742
2025-05-15,5004.61,2453,110050,253,19.781067193675888,21.175775749863952
2025-05-16,6305.68,3654,119160,292,21.594794520547946,21.02794177380778
2025-05-17,5525.12,3295,123251,256,21.5825,20.616193653507025
2025-05-18,2789.5899999999997,1860,79982,151,18.4741059602649,20.18157575829261
2025-05-19,3823.15,2006,79195,202,18.926485148514853,20.776649394227633
2025-05-20,6891.5,4382,127415,270,25.524074074074075,20.773215482651306
2025-05-21,5886.68,4050,129340,306,19.23751633986928,20.73150617670671
2025-05-22,5291.43,4185,131810,294,17.998061224489796,20.47679103825155
2025-05-23,3280.51,3340,106738,270,12.150037037037038,19.127539969178564
2025-05-24,3110.3500000000004,3406,101372,222,14.010585585585588,18.045837909976505
2025-05-25,1521.4,1503,54900,147,10.349659863945579,16.885202753359458
2025-05-26,1709.3000000000002,1708,58359,193,8.856476683937824,15.446630115562739
2025-05-27,3832.92,3706,112467,331,11.579818731117825,13.454593637997561
2025-05-28,3809.77,3709,108873,279,13.655089605734767,12.657104104549774
2025-05-29,3959.04,3547,110339,281,14.089110320284698,12.09868254680619
2025-05-30,3662.64,3003,106306,256,14.3071875,12.406846898658042
2025-05-31,1861.89,686,23775,71,26.22380281690141,14.151592217417443
2025-06-01,1612.29,602,22406,69,23.366521739130434,16.011143913872424
2025-06-02,1654.14,618,25621,64,25.8459375,18.438209744738447
2025-06-03,3020.55,2069,80546,161,18.761180124223603,19.46411851518213
2025-06-04,5797.0,1862,37063,165,35.13333333333333,22.53243904769621
2025-06-05,5747.82,1925,63453,184,31.238152173913043,24.982302169643116
2025-06-06,6251.33,1746,47112,168,37.210297619047616,28.254175043792777
2025-06-07,4014.07,1282,48082,116,34.60405172413793,29.45135345911228
2025-06-08,3007.1,2739,87023,193,15.58082901554404,28.339111641457084
2025-06-09,1672.49,1331,48350,125,13.37992,26.55825199859994
2025-06-10,1782.3500000000001,1414,56162,141,12.640780141843972,25.68390914397428
2025-06-11,5895.9400000000005,2043,75269,207,28.482801932367153,24.733833229550537
2025-06-12,3533.34,1452,64631,138,25.60391304347826,23.92894192520271
2025-06-13,2100.32,1191,65353,136,15.443529411764708,20.81940360987658
2025-06-14,1919.13,1221,83351,92,20.860108695652176,18.85598317723576
2025-06-15,947.61,598,48305,53,17.87943396226415,19.18435531248149
2025-06-16,874.59,542,54384,56,15.617678571428572,19.504035108399854
2025-06-17,2857.9500000000003,1630,95441,158,18.088291139240507,20.282250965170793
2025-06-18,3276.1100000000006,1676,90661,149,21.987315436241616,19.354324322867143
2025-06-19,2250.2400000000002,1297,74337,107,21.03028037383178,18.70094822720336
2025-06-20,3697.15,1598,70345,151,24.484437086092715,19.992506466393074
2025-06-21,3695.8399999999997,1534,64281,146,25.313972602739724,20.628772738834154
2025-06-22,801.85,487,28074,45,17.81888888888889,20.620123442637688
2025-06-23,730.99,447,27531,40,18.27475,20.999705075290745
2025-06-24,3295.1899999999996,1669,76820,170,19.38347058823529,21.18473071086143
2025-06-25,1201.8600000000001,1024,57557,103,11.668543689320389,19.710620461301257
2025-06-26,984.11,967,54791,79,12.457088607594937,18.485878780410278
2025-06-27,1174.87,1010,52928,95,12.367052631578947,16.75482385833688
2025-06-28,1110.67,932,47117,95,11.691263157894738,14.808722509073311
2025-06-29,174.93,149,6439,23,7.605652173913044,13.349688692648192
2025-06-30,319.58000000000004,361,27082,1,319.58000000000004,56.39329583550534
2025-07-01,1345.05,1111,52571,95,14.158421052631578,55.646860187561956
2025-07-02,1538.0700000000002,1293,61287,112,13.732767857142859,55.941749354393735
2025-07-03,1801.85,1316,59140,123,14.649186991869918,56.25490626643302
2025-07-04,1803.29,1262,58380,147,12.267278911564626,56.24065287785954
2025-07-05,1814.17,1247,54081,136,13.339485294117647,56.476113183034236
2025-07-06,774.64,555,23276,57,13.590175438596491,57.331045077989025
2025-07-07,624.32,455,22194,52,12.006153846153847,13.391924198868137
2025-07-08,1595.01,1187,61823,119,13.403445378151261,13.284070531085234
2025-07-09,1839.3999999999999,1291,59026,124,14.833870967741934,13.441370975456532
2025-07-10,1530.4499999999998,1133,56457,123,12.442682926829267,13.126156109022153
2025-07-11,1801.03,1181,66847,129,13.961472868217054,13.368183817115357
2025-07-12,1991.5500000000002,1372,65147,128,15.558984375000001,13.685255114384265
2025-07-13,1033.46,837,31601,78,13.24948717948718,13.636585363082933
2025-07-14,1103.13,855,28607,82,13.452804878048783,13.843249796210785
2025-07-15,3179.05,2617,75027,208,15.283894230769231,14.11188534658478
2025-07-16,2883.63,2313,71412,177,16.291694915254237,14.320145910515107
2025-07-17,2859.0,2408,67819,166,17.22289156626506,15.003032859005936
2025-07-18,2696.65,2291,65633,186,14.498118279569892,15.079696489199197
2025-07-19,2636.4,2040,63604,158,16.68607594936709,15.240709571251639
2025-07-20,1231.45,935,28939,71,17.3443661971831,15.825692288065342
2025-07-21,1173.1200000000001,863,28459,75,15.641600000000002,16.138377305486944
2025-07-22,3369.8499999999995,1842,40510,151,22.31688741721854,17.143090617836844
2025-07-23,4250.74,3069,81753,260,16.349,17.15127705851481
2025-07-24,3420.5699999999997,3455,107659,256,13.361601562499999,16.599664200834088
2025-07-25,4407.78,3991,121846,271,16.264870848708487,16.852057424996747
2025-07-26,3400.24,3129,95988,212,16.0388679245283,16.75959913573406
2025-07-27,927.2800000000001,820,33219,59,15.716610169491528,16.527062560349552
2025-07-28,645.72,606,29438,36,17.936666666666667,16.854929227016218
2025-07-29,3255.08,2911,91382,202,16.114257425742572,15.968839228233938
2025-07-30,3983.8599999999997,3993,134338,218,18.2745871559633,16.243923107657263
2025-07-31,4994.96,5890,218922,336,14.86595238095238,16.458830367436175
2025-08-01,5722.87,6942,239157,343,16.68475218658892,16.51881341570481
2025-08-02,5515.84,6480,234560,315,17.510603174603176,16.72906130857265
2025-08-03,2422.25,2003,72084,176,13.762784090909092,16.449943297346586
2025-08-04,2364.28,1912,66706,189,12.50941798941799,15.674622057739631
2025-08-05,4530.61,3797,116340,278,16.297158273381292,15.700750750259449
2025-08-06,5300.0199999999995,4827,133820,303,17.49181518151815,15.588926182481572
2025-08-07,5703.81,4919,139690,298,19.14030201342282,16.199547558548776
2025-08-08,5924.1,4932,153908,270,21.941111111111113,16.95045597633766
2025-08-09,5541.37,4311,131835,278,19.93298561151079,17.296510610181606
2025-08-10,1553.6,1787,72831,132,11.76969696969697,17.011783878579873
2025-08-11,1287.83,1419,56846,92,13.998152173913043,17.224460190650596
2025-08-12,4835.33,3681,114022,268,18.042276119402985,17.473762740082268
2025-08-13,5506.87,3735,115012,300,18.356233333333332,17.597251047484438
2025-08-14,6311.74,3937,117778,309,20.426343042071196,17.780971194434205
2025-08-15,6368.06,3781,109556,299,21.297859531772577,17.689078111671556
2025-08-16,6045.969999999999,3667,112725,291,20.77652920962199,17.809584339973156
2025-08-17,2275.08,1386,54676,122,18.648196721311475,18.792227161632372
2025-08-18,1386.08,746,36381,73,18.987397260273973,19.504976459683935
2025-08-19,8179.01,4160,133126,375,21.810693333333333,20.043321775959697
2025-08-20,8999.35,4708,163890,354,25.421892655367234,21.052701679107397
2025-08-21,9575.18,5461,167017,381,25.131706036745406,21.72489639263228
2025-08-22,8551.66,4674,151421,324,26.394012345679013,22.452918223190345
2025-08-23,8916.199999999999,4202,108551,323,27.604334365325073,23.42831895971936
2025-08-24,2868.96,3179,122359,170,16.87623529411765,23.175181612977383
2025-08-25,2650.2599999999998,2780,94155,165,16.062181818181816,22.757293692678502
2025-08-26,8687.24,5393,201336,361,24.064376731301937,23.079248463816874
2025-08-27,8811.380000000001,6141,294615,354,24.890903954802262,23.003392935164733
2025-08-28,6400.9,5355,257401,302,21.19503311258278,22.44101108885579
2025-08-29,5554.6,4943,254303,279,19.908960573476705,21.514575121398316
2025-08-30,5561.959999999999,4830,185565,287,19.379651567944247,20.3396204360582
2025-08-31,1755.94,1738,85412,119,14.755798319327731,20.03670086823107
2025-09-01,980.21,867,41831,68,14.414852941176472,19.80136817151602
2025-09-02,5258.17,4158,114918,348,15.109683908045977,18.52212633962231
2025-09-03,4948.85,4732,145730,294,16.8328231292517,17.37097193597223
2025-09-04,4487.55,3276,95476,268,16.744589552238807,16.73519428449452
2025-09-05,6009.21,2857,67874,325,18.489876923076924,16.532468048723125
2025-09-06,5743.949999999999,2855,70056,335,17.14611940298507,16.213392025157525
2025-09-07,1886.8399999999997,961,35436,123,15.340162601626014,16.296872636914422
2025-09-08,1836.95,909,32914,119,15.43655462184874,16.442830019867607
2025-09-09,5978.129999999999,3256,82146,297,20.128383838383836,17.159787152773013
2025-09-10,5775.37,3082,73152,363,15.910110192837465,17.02797101899955
2025-09-11,5898.38,3124,77209,348,16.949367816091954,17.05722505669286
2025-09-12,5616.7300000000005,2960,77575,317,17.71839116719243,16.947012805852214
2025-09-13,5338.94,2724,76055,309,17.27812297734628,16.96587045933239
2025-09-14,5245.7699999999995,2586,62120,282,18.602021276595742,17.43185027004235
2025-09-15,535.33,533,28473,279,1.918745519713262,15.500734684022996
2025-09-16,419.68,440,27382,252,1.6653968253968254,12.863165110739136
2025-09-17,433.19000000000005,476,29440,265,1.634679245283019,10.823817832517074
2025-09-18,5024.53,2748,69123,297,16.917609427609428,10.819280919876713
2025-09-19,5021.8099999999995,2595,61100,322,15.595683229813663,10.516036928822603
2025-09-20,5002.82,2649,66307,367,13.631662125340599,9.995113949964647
2025-09-21,1754.3600000000001,997,38642,141,12.4422695035461,9.115149410957557
2025-09-22,1932.6899999999998,1032,39398,167,11.572994011976046,10.494327766995097
2025-09-23,5037.46,2490,56124,301,16.735747508305646,12.647235007410643
2025-09-24,5003.499999999999,2932,80728,345,14.502898550724636,14.48555205104516
2025-09-25,5000.990000000001,3057,79326,379,13.195224274406334,13.953782743444718
2025-09-26,4845.83,2868,74449,340,14.252441176470589,13.761891021538563
2025-09-27,4339.54,2551,67502,300,14.465133333333334,13.880958336966097
2025-09-28,1670.21,1028,34195,140,11.930071428571429,13.807787183398286
2025-09-29,3011.62,1964,50135,227,13.267048458149779,14.049794961423107
2025-09-30,1806.21,1640,58300,161,11.218695652173913,13.26164469626143
2025-10-01,459.97,415,22720,47,9.786595744680852,12.587887152540889
2025-10-02,400.76,371,19057,45,8.905777777777777,11.975109081593954
2025-10-03,426.23,389,20066,41,10.395853658536586,11.424168007603381
2025-10-04,496.78999999999996,427,21614,52,9.553653846153846,10.722528080863455
2025-10-05,522.99,476,25647,61,8.57360655737705,10.243033099264258
2025-10-06,698.0,606,26860,68,10.264705882352942,9.814127017007566
2025-10-07,917.97,843,37653,76,12.078552631578948,9.936963728351143
2025-10-08,2034.54,1455,36781,162,12.55888888888889,10.333005606095147
2025-10-09,3890.78,2596,66097,301,12.926179401993355,10.907348695268803
2025-10-10,4273.5199999999995,2855,73714,327,13.068868501529051,11.289207958553439
2025-10-11,3811.3300000000004,2615,72448,268,14.221380597014926,11.95602606581931
2025-10-12,3413.26,2350,63273,226,15.102920353982302,12.888785179620058
2025-10-13,1346.25,940,34624,127,10.600393700787402,12.936740582253552
2025-10-14,4388.63,3056,77039,365,12.023643835616438,12.928896468544623
2025-10-15,3914.86,2824,74150,311,12.587974276527332,12.933051523921543
2025-10-16,3954.4300000000003,2776,72531,296,13.359560810810812,12.99496315375261
2025-10-17,4451.1,2525,61254,274,16.244890510948906,13.44868058366973
2025-10-18,4451.45,2303,54005,273,16.305677655677655,13.746437306335835
2025-10-19,1339.44,947,42636,125,10.71552,13.119665827195506
2025-10-20,1211.76,886,36593,110,11.016,13.17903815565445
2025-10-21,4354.57,2800,84577,281,15.496690391459074,13.675187663631968
2025-10-22,4448.650000000001,2620,70775,270,16.476481481481482,14.230688692911134
2025-10-23,4240.76,2507,75094,261,16.248122605363985,14.6433403778473
2025-10-24,4465.17,2459,65661,268,16.661082089552238,14.702796317647778
2025-10-25,4089.9500000000003,2447,72717,249,16.42550200803213,14.719914082269844
2025-10-26,1494.6000000000001,932,39677,108,13.83888888888889,15.1661096378254
2025-10-27,1338.34,939,38901,133,10.062706766917293,15.029924890242155
2025-10-28,4441.83,2604,71004,269,16.512379182156135,15.175023288913165
2025-10-29,4321.08,2574,80608,259,16.683706563706565,15.204626872088175
2025-10-30,4032.44,2498,79314,254,15.875748031496062,15.151430504392758
2025-10-31,4175.44,2506,77811,269,15.522081784386616,14.988716175083384
2025-11-01,3894.7900000000004,2341,70239,214,18.19995327102804,15.24220921265423
2025-11-02,1231.8799999999999,778,40225,94,13.105106382978722,15.137383140381347
2025-11-03,1220.57,810,37374,107,11.407196261682243,15.329453068204911
2025-11-04,4438.12,2707,82457,324,13.697901234567901,14.927384789978023
2025-11-05,2082.77,1171,40929,139,14.983956834532375,14.684563400095994
2025-11-06,5054.16,2711,80210,312,16.19923076923077,14.730775219772381
2025-11-07,4784.17,2615,77361,307,15.583615635179154,14.7395657698856
2025-11-08,4347.56,2400,73386,275,15.809309090909093,14.39804517272575
2025-11-09,1643.98,902,39241,113,14.548495575221239,14.604243628760397
2025-11-10,1880.37,952,38932,149,12.619932885906039,14.777491717935224
2025-11-11,7305.5,3234,84243,396,18.44823232323232,15.456110444887283
2025-11-12,7110.66,3139,81176,386,18.42139896373057,15.947173606201314
2025-11-13,7068.76,3043,83213,337,20.975548961424334,16.629504776514676
2025-11-14,6651.4400000000005,2950,83322,335,19.855044776119403,17.23970893950614
2025-11-15,5889.079999999999,2599,72621,339,17.37191740412979,17.46293869853767
2025-11-16,2271.4500000000003,1051,39205,122,18.618442622950823,18.044359705356182
2025-11-17,2044.67,983,42117,156,13.106858974358975,18.113920575135175
2025-11-18,4322.17,2674,83732,293,14.751433447098977,17.58580644997327
2025-11-19,7318.8,3312,83124,431,16.980974477958238,17.38003152343436
2025-11-20,6691.900000000001,2893,69461,376,17.797606382978724,16.92603972651356
2025-11-21,5892.32,2887,76326,330,17.85551515151515,16.640392637284382
2025-11-22,4839.549999999999,2427,68032,279,17.34605734767025,16.63669834350445
2025-11-23,1500.79,873,33592,128,11.724921875,15.651909665225759
2025-11-24,1208.3200000000002,734,34140,84,14.384761904761907,15.834467226711892
2025-11-25,5237.38,2926,79735,370,14.15508108108108,15.749274031566477
2025-11-26,5944.6,2934,74684,334,17.79820359281437,15.866021047974497
2025-11-27,4897.44,2643,72640,307,15.95257328990228,15.60244489182072
2025-11-28,3458.78,2430,73017,216,16.012870370370372,15.33920992308575
2025-11-29,3052.34,2061,67403,188,16.235851063829788,15.180609025394258
2025-11-30,1120.34,785,34455,84,13.33738095238095,15.410960322162964
2025-12-01,948.9399999999999,713,33929,92,10.314565217391303,14.829503652538591
2025-12-02,3975.7,2702,80872,274,14.50985401459854,14.880185500183943
2025-12-03,5910.19,3158,81769,362,16.32649171270718,14.669940945882916
2025-12-04,6099.4800000000005,3214,82672,411,14.840583941605841,14.511085324697712
2025-12-05,5824.009999999999,3220,78285,349,16.687707736389683,14.607490662700469
2025-12-06,4000.15,2436,66836,221,18.10022624434389,14.873829974202483
2025-12-07,918.37,848,31742,91,10.091978021978022,14.410200984144923
2025-12-08,902.1700000000001,791,33363,87,10.36977011494253,14.418087398080814
2025-12-09,5047.65,3018,79885,308,16.388474025974023,14.686461685420168
2025-12-10,5788.71,3047,78752,300,19.2957,15.11063429789057
2025-12-11,5801.670000000001,3088,77053,372,15.595887096774197,15.218534748628906
2025-12-12,5349.530000000001,3001,76765,284,18.83637323943662,15.525486963349897
2025-12-13,5047.74,2628,68445,240,21.032249999999998,15.9443474998722
2025-12-14,855.38,736,30284,80,10.69225,16.030100639589623
2025-12-15,878.2600000000001,770,31451,82,10.71048780487805,16.0787745952947
2025-12-16,6261.129999999999,3302,78661,337,18.57902077151335,16.39170984465746
2025-12-17,6228.6,3205,75873,340,18.319411764705883,16.2522400967583
2025-12-18,6089.55,3146,74682,322,18.91164596273292,16.725919934752405
2025-12-19,5211.330000000001,2785,70574,282,18.47989361702128,16.674994274407354
2025-12-20,4956.07,2580,64636,249,19.903895582329316,16.513800786168684
2025-12-21,855.28,741,25834,75,11.403733333333333,16.615441262359163
2025-12-22,844.47,738,25928,70,12.063857142857144,16.808779739213318
2025-12-23,6128.09,3217,70206,315,19.45425396825397,16.933813053033408
2025-12-24,6063.96,3102,67984,314,19.311974522292992,17.075607732688706
2025-12-25,5115.91,2921,66784,248,20.62866935483871,17.32089678870382
2025-12-26,5598.95,2947,65736,291,19.240378006872852,17.429537415825475
2025-12-27,5997.92,2763,59163,270,22.21451851851852,17.759626406709646
2025-12-28,834.59,696,25208,79,10.564430379746836,17.63972598476872
2025-12-29,851.9599999999999,732,26432,66,12.908484848484846,17.760387085572678
2025-12-30,6742.389999999999,2709,48925,301,22.399966777408636,18.181203201166202
2025-12-31,4929.72,2353,47026,208,23.700576923076923,18.808146401278186
