序号,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均访问时长(秒),累计消费占比,累计点击占比
1209,181,525368335,9811363528,165.4,49,72,0.6875,134.0,0.9616050909792146,0.9449790794979079
1808,3936,525368335,9811363528,155.23,28,51,0.8696,72.0,0.9624603644678302,0.9452580195258019
1913,4606,525368335,9811363528,146.02,51,93,0.7381,101.0,0.9632648934558328,0.9457660888623232
2004,5182,525368335,9811363528,132.06,13,23,0.7,33.0,0.9639925067838401,0.9458955967324169
1883,4437,525368335,9811363528,129.39,89,223,0.5616,213.0,0.9647054091654156,0.9467822275353656
1635,2807,525368335,9811363528,128.13,146,236,0.8,32.0,0.9654113693026076,0.9482367005379557
1506,2078,525368335,9811363528,127.96,115,117,0.9231,86.0,0.9661163927877796,0.9493823470810918
1582,2557,525368335,9811363528,126.11,148,160,0.844,71.0,0.9668112232950867,0.9508567443713887
1266,572,525368335,9811363528,126.06,22,26,0.9474,45.0,0.9675057783165057,0.9510759115361626
1248,469,525368335,9811363528,124.59,25,119,0.7143,438.0,0.9681922340528106,0.9513249651324965
1212,206,525368335,9811363528,122.53,26,38,0.8125,93.0,0.9688673397705202,0.9515839808726838
2149,6162,525368335,9811363528,121.83,24,24,0.9048,45.0,0.9695385886857945,0.9518230723251644
2166,6272,525368335,9811363528,121.35,23,43,0.75,57.0,0.9702071929365418,0.9520522016337916
2139,6029,525368335,9811363528,120.76,18,36,0.7059,104.0,0.9708725464538079,0.952231520223152
1304,751,525368335,9811363528,118.97,21,76,0.5294,589.0,0.9715280375762751,0.9524407252440725
1332,912,525368335,9811363528,116.42,16,8,1.0,252.0,0.9721694789184425,0.9526001195457262
1411,1353,525368335,9811363528,113.91,107,560,0.3587,341.0,0.9727970908690203,0.9536660689380355
2120,5891,525368335,9811363528,112.7,110,170,0.3,569.0,0.9734180360611029,0.9547619047619048
1318,829,525368335,9811363528,112.68,22,79,0.5625,234.0,0.9740388710588301,0.9549810719266786
1260,557,525368335,9811363528,111.75,13,26,0.6,169.0,0.9746545820190362,0.9551105797967723
2081,5608,525368335,9811363528,111.69,12,19,0.5714,287.0,0.9752699623961764,0.9552301255230126
2204,6516,525368335,9811363528,110.03,110,88,1.0,3.0,0.9758761966418271,0.9563259613468819
1655,2919,525368335,9811363528,90.58,106,104,0.9079,95.0,0.9763752668769543,0.9573819485953378
2109,5830,525368335,9811363528,68.65,16,5,1.0,29.0,0.9767535090015015,0.9575413428969914
1512,2113,525368335,9811363528,66.87,69,68,0.8776,45.0,0.9771219438284274,0.9582287308228731
1926,4662,525368335,9811363528,62.34,48,145,0.6216,270.0,0.9774654196338792,0.9587069137278342
1551,2354,525368335,9811363528,60.44,58,87,0.6364,197.0,0.9777984269755782,0.959284718071329
1182,48,525368335,9811363528,58.58,11,7,1.0,43.0,0.9781211862422347,0.9593943016537159
2162,6246,525368335,9811363528,53.38,10,23,0.6364,79.0,0.9784152949765148,0.9594939230922495
1941,4760,525368335,9811363528,53.34,40,119,0.7714,267.0,0.9787091833220842,0.9598924088463837
2110,5831,525368335,9811363528,52.79,3,19,0.3333,517.0,0.9790000413228832,0.9599222952779438
1465,1719,525368335,9811363528,49.34,66,98,0.7381,114.0,0.9792718907973939,0.9605797967722653
2132,5935,525368335,9811363528,46.08,7,7,0.8,190.0,0.9795257785919915,0.9606495317792388
1634,2806,525368335,9811363528,45.31,44,60,0.8293,154.0,0.9797754239039104,0.9610878661087866
1402,1308,525368335,9811363528,44.83,48,61,0.7,168.0,0.9800224245513022,0.9615660490137478
1763,3597,525368335,9811363528,44.81,51,65,0.8333,110.0,0.9802693150043387,0.962074118350269
1834,4091,525368335,9811363528,44.79,64,337,0.4,581.0,0.98051609526302,0.9627116955568839
1598,2624,525368335,9811363528,43.85,44,57,0.8125,71.0,0.9807576963870025,0.9631500298864316
2172,6343,525368335,9811363528,40.22,9,35,0.5,214.0,0.980979297235499,0.9632396891811118
1684,3073,525368335,9811363528,38.81,35,99,0.6,110.0,0.9811931293819472,0.9635883642159793
1849,4212,525368335,9811363528,37.2,30,81,0.6667,242.0,0.9813980908827945,0.96388722853158
1967,4938,525368335,9811363528,36.87,40,106,0.5517,184.0,0.9816012341767792,0.9642857142857143
1191,91,525368335,9811363528,36.38,6,2,1.0,120.0,0.9818016777090592,0.9643454871488344
1719,3313,525368335,9811363528,36.15,43,107,0.5143,400.0,0.9820008540062535,0.9647738593345287
1670,2997,525368335,9811363528,35.47,36,33,0.8571,55.0,0.9821962836953676,0.9651324965132496
1423,1441,525368335,9811363528,34.01,50,42,0.8182,76.0,0.9823836691965454,0.9656306037059175
2069,5538,525368335,9811363528,33.94,39,40,0.7778,76.0,0.9825706690174796,0.9660191273161984
1471,1765,525368335,9811363528,33.74,46,46,0.9286,70.0,0.9827565668948607,0.9664773859334529
1277,625,525368335,9811363528,33.59,37,30,0.84,96.0,0.9829416383145773,0.966845985256027
1436,1575,525368335,9811363528,33.51,40,8,0.5,60.0,0.9831262689568726,0.9672444710101614
1768,3649,525368335,9811363528,33.42,4,3,0.0,56.0,0.9833104037245692,0.9672843195855748
1686,3078,525368335,9811363528,33.02,29,54,0.6364,167.0,0.9834923346051598,0.9675732217573222
1706,3202,525368335,9811363528,32.23,27,119,0.6316,228.0,0.9836699128087164,0.9678421996413629
1524,2206,525368335,9811363528,32.01,43,63,0.8378,162.0,0.9838462788743647,0.9682705718270572
1714,3280,525368335,9811363528,30.61,27,55,0.75,218.0,0.9840149313351424,0.9685395497110978
1299,720,525368335,9811363528,30.61,26,23,0.875,71.0,0.98418358379592,0.9687985654512851
1430,1525,525368335,9811363528,29.45,32,180,0.7241,400.0,0.9843458449840907,0.9691173540545925
1870,4352,525368335,9811363528,29.26,39,434,0.2927,677.0,0.9845070593258861,0.9695058776648735
2101,5755,525368335,9811363528,29.05,27,41,0.6875,141.0,0.9846671166269507,0.9697748555489141
2057,5500,525368335,9811363528,27.94,29,39,0.7143,330.0,0.9848210581412967,0.9700637577206614
1574,2500,525368335,9811363528,27.75,34,83,0.5714,223.0,0.9849739528092674,0.9704024706116756
2164,6261,525368335,9811363528,27.63,12,14,0.8333,86.0,0.9851261863111063,0.9705220163379159
1202,144,525368335,9811363528,26.87,6,5,1.0,73.0,0.9852742324274439,0.9705817892010361
1556,2382,525368335,9811363528,26.76,27,51,0.8182,149.0,0.9854216724748275,0.9708507670850767
1966,4937,525368335,9811363528,25.77,21,27,0.7333,51.0,0.9855636579016239,0.9710599721059973
1374,1196,525368335,9811363528,25.68,26,5,1.0,433.0,0.9857051474538217,0.9713189878461845
1385,1241,525368335,9811363528,24.82,23,67,0.65,177.0,0.9858418986487417,0.9715481171548117
1501,2056,525368335,9811363528,24.53,26,52,0.3684,155.0,0.98597705202551,0.971807132894999
1678,3045,525368335,9811363528,24.51,22,68,0.3889,274.0,0.986112095207923,0.9720263000597729
1455,1677,525368335,9811363528,24.31,21,39,0.5333,188.0,0.986246036446783,0.9722355050806933
1452,1660,525368335,9811363528,24.25,18,38,0.6667,282.0,0.9863796471025772,0.9724148236700538
1513,2116,525368335,9811363528,23.67,33,18,1.0,54.0,0.9865100621220679,0.9727435744172146
1303,735,525368335,9811363528,23.37,23,24,0.7692,261.0,0.9866388242262291,0.9729727037258418
1983,5044,525368335,9811363528,23.34,23,31,0.8889,98.0,0.9867674210388573,0.973201833034469
1961,4894,525368335,9811363528,23.29,39,29,0.8333,150.0,0.9868957423655974,0.9735903566447499
1873,4378,525368335,9811363528,23.08,17,38,0.5882,87.0,0.9870229066516067,0.973759713090257
1321,836,525368335,9811363528,22.95,53,54,0.7895,119.0,0.9871493546743069,0.974287706714485
1589,2577,525368335,9811363528,22.78,23,65,0.5,208.0,0.9872748660449869,0.9745168360231121
1336,954,525368335,9811363528,22.07,35,90,0.72,249.0,0.9873964655160541,0.9748655110579797
2211,6554,525368335,9811363528,22.07,120,24,0.5714,127.0,0.9875180649871211,0.9760609683203826
1377,1209,525368335,9811363528,21.0,22,86,0.7,141.0,0.9876337690601801,0.9762801354851564
2170,6307,525368335,9811363528,20.78,8,22,0.7143,223.0,0.9877482609953306,0.9763598326359832
1554,2371,525368335,9811363528,20.29,22,81,0.5294,209.0,0.9878600531687766,0.9765789998007571
2027,5271,525368335,9811363528,20.07,22,132,0.6316,197.0,0.9879706332043143,0.976798166965531
1914,4614,525368335,9811363528,19.9,24,120,0.3684,373.0,0.9880802765878319,0.9770372584180116
1422,1437,525368335,9811363528,19.68,21,43,0.75,89.0,0.9881887078334414,0.9772464634389321
1445,1638,525368335,9811363528,19.33,26,59,0.5789,120.0,0.9882952106778331,0.9775054791791193
1959,4880,525368335,9811363528,18.79,23,87,0.6,300.0,0.988398738274632,0.9777346084877465
1606,2668,525368335,9811363528,18.74,26,20,0.7857,88.0,0.9885019903855425,0.9779936242279339
2067,5533,525368335,9811363528,18.68,17,9,1.0,25.0,0.9886049119133873,0.9781629806734409
1958,4853,525368335,9811363528,18.66,18,4,1.0,7.0,0.9887077232468767,0.9783422992628014
1892,4479,525368335,9811363528,18.44,21,23,0.9444,53.0,0.988809322442458,0.9785515042837218
2122,5896,525368335,9811363528,18.37,25,53,0.4762,192.0,0.9889105359577957,0.9788005578800558
1590,2578,525368335,9811363528,18.31,21,21,0.7692,115.0,0.9890114188900674,0.9790097629009763
2225,6648,525368335,9811363528,18.0,18,12,0.8,39.0,0.9891105938098321,0.9791890814903367
2075,5588,525368335,9811363528,17.72,17,43,0.75,272.0,0.9892082260086228,0.9793584379358438
1615,2724,525368335,9811363528,17.48,15,24,0.7692,145.0,0.9893045358751499,0.9795078700936442
1476,1869,525368335,9811363528,16.93,17,11,1.0,118.0,0.9893978153969063,0.9796772265391512
1576,2518,525368335,9811363528,16.92,15,61,0.5833,427.0,0.9894910398214852,0.9798266586969516
1531,2233,525368335,9811363528,16.86,20,10,0.8889,175.0,0.9895839336629981,0.9800259015740187
1406,1323,525368335,9811363528,16.79,16,60,0.5,247.0,0.9896764418242676,0.9801852958756725
1326,874,525368335,9811363528,16.71,15,34,0.7692,140.0,0.9897685092081159,0.9803347280334728
1777,3692,525368335,9811363528,16.38,15,49,0.5,306.0,0.9898587583851018,0.9804841601912732
1391,1270,525368335,9811363528,16.29,16,160,0.6429,1163.0,0.9899485116874889,0.9806435544929268
1514,2127,525368335,9811363528,16.0,6,7,0.8333,7.0,0.9900366671717242,0.980703327356047
1878,4397,525368335,9811363528,15.91,19,10,1.0,58.0,0.9901243267813608,0.9808926080892608
1927,4663,525368335,9811363528,15.68,16,18,0.7692,159.0,0.9902107191559113,0.9810520023909145
1833,4090,525368335,9811363528,15.57,18,15,0.8182,59.0,0.9902965054615078,0.981231320980275
1971,4957,525368335,9811363528,15.54,14,32,0.4545,84.0,0.9903821264755714,0.981370790994222
1536,2274,525368335,9811363528,15.49,4,0,0.0,0.0,0.9904674720037467,0.9814106395696354
1611,2705,525368335,9811363528,15.07,15,17,0.8462,36.0,0.9905505034504609,0.9815600717274358
1205,162,525368335,9811363528,14.99,5,4,1.0,62.0,0.9906330941197539,0.9816098824467026
1434,1561,525368335,9811363528,14.9,16,14,0.8333,95.0,0.990715188914448,0.9817692767483562
1461,1705,525368335,9811363528,14.22,13,33,0.7273,77.0,0.9907935371010621,0.9818987846184499
1809,3949,525368335,9811363528,13.87,13,6,1.0,124.0,0.9908699568864585,0.9820282924885435
1992,5095,525368335,9811363528,13.79,13,10,0.7143,53.0,0.9909459358944339,0.9821578003586372
1848,4210,525368335,9811363528,13.71,12,18,0.75,130.0,0.991021474124988,0.9822773460848775
1950,4815,525368335,9811363528,13.7,17,19,0.8333,205.0,0.9910969572583646,0.9824467025303846
1247,461,525368335,9811363528,13.69,13,8,1.0,101.0,0.9911723852945634,0.9825762104004782
1469,1742,525368335,9811363528,13.43,15,37,0.6923,105.0,0.9912463808041434,0.9827256425582785
2066,5531,525368335,9811363528,13.14,12,11,0.8889,36.0,0.9913187784955717,0.9828451882845188
1450,1649,525368335,9811363528,12.97,12,31,0.6,160.0,0.9913902395349801,0.9829647340107591
1267,579,525368335,9811363528,12.94,14,25,0.6154,85.0,0.9914615352828553,0.9831042040247061
1577,2534,525368335,9811363528,12.84,11,25,0.75,119.0,0.9915322800589542,0.983213787607093
2090,5693,525368335,9811363528,12.75,9,14,0.875,95.0,0.9916025289604542,0.9833034469017733
1307,759,525368335,9811363528,12.71,15,6,0.8,82.0,0.9916725574732436,0.9834528790595736
1376,1205,525368335,9811363528,12.68,11,18,0.7143,116.0,0.9917424206945,0.9835624626419606
2178,6366,525368335,9811363528,12.65,13,36,0.6923,81.0,0.9918121186242236,0.9836919705120541
1516,2147,525368335,9811363528,12.55,11,5,1.0,27.0,0.9918812655821706,0.9838015540944411
1977,4987,525368335,9811363528,12.34,11,8,0.8571,69.0,0.9919492554993871,0.983911137676828
1594,2597,525368335,9811363528,12.23,15,19,0.6667,106.0,0.9920166393476495,0.9840605698346284
1858,4261,525368335,9811363528,12.22,54,9,1.0,54.0,0.9920839680987342,0.9845985256027097
1578,2546,525368335,9811363528,12.2,11,56,0.4,251.0,0.9921511866554636,0.9847081091850967
2115,5869,525368335,9811363528,12.17,5,3,1.0,8.0,0.9922182399206603,0.9847579199043635
1268,588,525368335,9811363528,11.97,13,12,1.0,15.0,0.9922841912423038,0.984887427774457
2188,6440,525368335,9811363528,11.87,8,17,0.875,81.0,0.9923495915921708,0.9849671249252839
1786,3749,525368335,9811363528,11.54,14,11,1.0,36.0,0.9924131737351757,0.9851065949392309
1337,957,525368335,9811363528,11.4,9,31,0.4444,121.0,0.9924759845176933,0.9851962542339111
2102,5764,525368335,9811363528,11.39,9,51,0.75,275.0,0.9925387402030333,0.9852859135285914
1824,4032,525368335,9811363528,11.18,11,52,0.2727,252.0,0.9926003388476428,0.9853954971109783
1652,2905,525368335,9811363528,11.09,19,16,0.9091,83.0,0.9926614416176534,0.9855847778441921
1702,3181,525368335,9811363528,11.07,13,50,0.75,623.0,0.9927224341933086,0.9857142857142858
1379,1217,525368335,9811363528,11.05,12,16,0.9,73.0,0.9927833165746086,0.985833831440526
1880,4418,525368335,9811363528,10.74,8,16,0.75,39.0,0.9928424909434015,0.9859135285913528
1718,3305,525368335,9811363528,10.73,11,11,0.75,32.0,0.9929016102150169,0.9860231121737398
1222,268,525368335,9811363528,10.55,14,8,0.8571,78.0,0.9929597377374345,0.9861625821876868
1400,1296,525368335,9811363528,10.54,6,14,0.3333,343.0,0.9930178101626745,0.9862223550508069
1338,984,525368335,9811363528,10.36,11,8,1.0,40.0,0.9930748908387169,0.9863319386331939
1365,1159,525368335,9811363528,10.33,9,11,0.7143,34.0,0.9931318062232263,0.9864215979278741
1936,4723,525368335,9811363528,10.24,10,19,0.625,154.0,0.9931882257331368,0.9865212193664077
1630,2775,525368335,9811363528,10.21,9,9,0.8333,64.0,0.9932444799515144,0.9866108786610879
2213,6579,525368335,9811363528,10.19,10,7,1.0,54.0,0.9933006239755368,0.9867105000996215
1816,3991,525368335,9811363528,10.09,7,9,0.6,38.0,0.9933562170277827,0.986780235106595
1383,1235,525368335,9811363528,10.08,10,27,0.6,119.0,0.9934117549828508,0.9868798565451286
1700,3178,525368335,9811363528,10.08,13,14,0.8889,88.0,0.993467292937919,0.9870093644152221
2205,6518,525368335,9811363528,10.03,8,46,0.4286,322.0,0.993522555407099,0.987089061566049
1642,2855,525368335,9811363528,10.02,11,10,1.0,92.0,0.9935777627791014,0.9871986451484359
1755,3535,525368335,9811363528,9.73,8,21,0.5714,157.0,0.993631372332952,0.9872783422992628
2187,6436,525368335,9811363528,9.62,7,6,1.0,52.0,0.9936843758178485,0.9873480773062363
1545,2304,525368335,9811363528,9.61,12,11,0.75,61.0,0.9937373242055673,0.9874676230324766
1440,1610,525368335,9811363528,9.46,9,5,1.0,33.0,0.9937894461356214,0.9875572823271568
1712,3267,525368335,9811363528,9.34,6,8,0.6667,57.0,0.9938409068995436,0.987617055190277
1789,3760,525368335,9811363528,9.1,17,15,0.9286,96.0,0.9938910453312025,0.9877864116357841
1917,4621,525368335,9811363528,9.04,11,19,0.8,153.0,0.9939408531797955,0.987895995218171
1978,4999,525368335,9811363528,9.03,6,17,0.6667,55.0,0.9939906059312108,0.987955768081291
1602,2638,525368335,9811363528,8.93,9,34,0.4286,304.0,0.9940398077108497,0.9880454273759713
1641,2854,525368335,9811363528,8.89,7,9,0.6667,123.0,0.994088789101778,0.9881151623829448
1845,4189,525368335,9811363528,8.85,8,19,0.3333,77.0,0.9941375501039956,0.9881948595337716
1518,2175,525368335,9811363528,8.76,7,19,0.75,144.0,0.9941858152316145,0.9882645945407452
1408,1327,525368335,9811363528,8.67,6,34,0.4,505.0,0.9942335844846346,0.9883243674038653
1586,2569,525368335,9811363528,8.56,6,19,0.8,152.0,0.9942807476687006,0.9883841402669854
1596,2616,525368335,9811363528,8.53,12,16,0.8,227.0,0.9943277455612335,0.9885036859932257
1358,1131,525368335,9811363528,8.44,10,3,1.0,72.0,0.9943742475791676,0.9886033074317593
1899,4529,525368335,9811363528,8.37,7,5,1.0,73.0,0.9944203639168582,0.9886730424387328
1322,848,525368335,9811363528,8.34,8,27,0.5714,254.0,0.9944663149630159,0.9887527395895597
1748,3481,525368335,9811363528,8.14,12,62,0.4,474.0,0.9945111640656206,0.9888722853158
1276,618,525368335,9811363528,8.11,8,37,0.6667,128.0,0.9945558478766924,0.9889519824666269
1521,2186,525368335,9811363528,8.06,8,48,0.8571,1078.0,0.9946002562018759,0.9890316796174536
2012,5219,525368335,9811363528,8.05,7,16,0.75,725.0,0.9946446094298816,0.9891014146244271
1230,307,525368335,9811363528,7.98,7,39,0.6667,946.0,0.9946885769776441,0.9891711496314006
1617,2734,525368335,9811363528,7.95,8,54,0.4,679.0,0.9947323792338736,0.9892508467822275
1274,609,525368335,9811363528,7.94,8,14,0.5,238.0,0.9947761263929253,0.9893305439330544
1746,3473,525368335,9811363528,7.85,7,13,0.75,139.0,0.9948193776773784,0.9894002789400279
1553,2357,525368335,9811363528,7.84,9,19,0.7143,77.0,0.9948625738646537,0.9894899382347081
1429,1523,525368335,9811363528,7.77,7,9,0.8,172.0,0.9949053843716854,0.9895596732416816
1856,4255,525368335,9811363528,7.61,25,149,0.381,369.0,0.9949473133238748,0.9898087268380156
1257,516,525368335,9811363528,7.59,6,4,0.6667,87.0,0.9949891320817088,0.9898684997011357
1587,2571,525368335,9811363528,7.58,8,5,1.0,7.0,0.9950308957423653,0.9899481968519626
1957,4849,525368335,9811363528,7.46,9,22,0.375,97.0,0.99507199823689,0.9900378561466427
2023,5255,525368335,9811363528,7.45,9,3,1.0,6.0,0.9951130456342371,0.9901275154413229
2125,5902,525368335,9811363528,7.4,7,5,0.75,13.0,0.9951538175456959,0.9901972504482964
1362,1143,525368335,9811363528,7.32,5,4,1.0,37.0,0.9951941486797335,0.9902470611675632
1558,2418,525368335,9811363528,7.31,6,7,0.8,16.0,0.9952344247165935,0.9903068340306834
2148,6152,525368335,9811363528,7.29,9,8,0.8571,410.0,0.9952745905590983,0.9903964933253636
1643,2858,525368335,9811363528,7.04,6,13,0.25,283.0,0.9953133789721619,0.9904562661884838
1315,809,525368335,9811363528,6.97,2,4,0.5,60.0,0.995351781704982,0.9904761904761905
1954,4833,525368335,9811363528,6.88,8,8,1.0,79.0,0.9953896885632031,0.9905558876270173
1631,2790,525368335,9811363528,6.8,6,4,1.0,246.0,0.9954271546440031,0.9906156604901375
1747,3476,525368335,9811363528,6.72,7,19,0.75,405.0,0.9954641799473819,0.990685395497111
1444,1629,525368335,9811363528,6.69,8,16,0.7143,339.0,0.9955010399592278,0.9907650926479379
2017,5228,525368335,9811363528,6.63,5,4,0.6667,53.0,0.9955375693880079,0.9908149033672046
1797,3843,525368335,9811363528,6.63,5,13,0.4,74.0,0.9955740988167879,0.9908647140864714
2100,5745,525368335,9811363528,6.58,6,30,0.2,596.0,0.9956103527596796,0.9909244869495916
1296,710,525368335,9811363528,6.56,8,16,0.8571,98.0,0.9956464965082161,0.9910041841004185
1357,1124,525368335,9811363528,6.52,6,3,1.0,75.0,0.995682419868042,0.9910639569635386
2014,5222,525368335,9811363528,6.44,4,15,0.6667,679.0,0.9957179024504467,0.9911038055389519
1483,1930,525368335,9811363528,6.29,5,39,0.5,478.0,0.9957525585751867,0.9911536162582187
1310,766,525368335,9811363528,6.28,4,4,1.0,6.0,0.9957871596027491,0.9911934648336322
1560,2424,525368335,9811363528,6.26,4,3,1.0,1.0,0.9958216504359562,0.9912333134090456
2013,5220,525368335,9811363528,6.19,4,8,0.5,28.0,0.9958557555889197,0.991273161984459
1397,1292,525368335,9811363528,6.18,8,15,0.5714,48.0,0.9958898056447055,0.9913528591352859
1186,61,525368335,9811363528,6.13,8,11,0.75,13.0,0.9959235802146033,0.9914325562861128
1300,725,525368335,9811363528,6.12,7,2,1.0,63.0,0.9959572996873233,0.9915022912930863
1288,666,525368335,9811363528,6.06,6,9,0.75,210.0,0.9959906885769774,0.9915620641562064
1211,202,525368335,9811363528,6.04,7,6,0.8,87.0,0.9960239672722763,0.9916317991631799
1356,1093,525368335,9811363528,6.03,5,6,0.8,17.0,0.9960571908703975,0.9916816098824467
1432,1535,525368335,9811363528,6.01,10,18,0.4,261.0,0.9960903042741633,0.9917812313209803
2008,5196,525368335,9811363528,5.93,9,13,0.625,85.0,0.996122976900508,0.9918708906156605
1843,4171,525368335,9811363528,5.91,6,7,0.75,258.0,0.9961555393324975,0.9919306634787807
1418,1398,525368335,9811363528,5.87,4,4,0.6667,87.0,0.9961878813757763,0.9919705120541941
1683,3072,525368335,9811363528,5.77,6,6,1.0,70.0,0.9962196724472786,0.9920302849173142
2220,6616,525368335,9811363528,5.75,3,6,0.3333,19.0,0.9962513533244257,0.9920601713488743
1456,1678,525368335,9811363528,5.64,6,10,0.75,396.0,0.9962824281326187,0.9921199442119945
2202,6503,525368335,9811363528,5.49,7,15,0.8,89.0,0.9963126764831469,0.992189679218968
2055,5492,525368335,9811363528,5.47,7,4,1.0,65.0,0.9963428146393198,0.9922594142259414
1305,752,525368335,9811363528,5.46,8,7,1.0,74.0,0.996372897698315,0.9923391113767683
1592,2586,525368335,9811363528,5.37,2,1,1.0,120.0,0.9964024848827115,0.992359035664475
1897,4519,525368335,9811363528,5.33,8,9,0.6,50.0,0.9964318516783973,0.9924387328153018
1407,1325,525368335,9811363528,5.23,8,63,0.5,909.0,0.9964606675023069,0.9925184299661287
1750,3487,525368335,9811363528,5.23,5,4,1.0,4.0,0.9964894833262163,0.9925682406853955
2082,5624,525368335,9811363528,5.22,14,5,1.0,54.0,0.9965182440529481,0.9927077106993425
2095,5721,525368335,9811363528,5.21,4,4,1.0,6.0,0.9965469496825022,0.9927475592747559
1867,4323,525368335,9811363528,5.2,5,4,1.0,104.0,0.9965756002148787,0.9927973699940227
1231,317,525368335,9811363528,5.17,5,2,1.0,2.0,0.9966040854557223,0.9928471807132895
