序号,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均访问时长(秒),累计消费占比,累计点击占比
1068,6119,495817671,9630806627,1007.59,169,182,0.8915,86.0,0.927084424274161,0.9100167410714286
1041,5702,495817671,9630806627,924.69,93,107,0.8919,96.0,0.9324645953336828,0.9108816964285714
800,2019,495817671,9630806627,901.8,964,1186,0.7208,166.0,0.9377115843369992,0.9198474702380952
827,2438,495817671,9630806627,663.8,552,565,0.7393,236.0,0.9415738057834412,0.9249813988095238
978,4751,495817671,9630806627,453.98,133,230,0.7905,180.0,0.9442152208064237,0.9262183779761904
860,2987,495817671,9630806627,442.84,485,133,0.9145,111.0,0.9467918193983828,0.9307291666666667
735,1089,495817671,9630806627,396.88,330,591,0.5259,419.0,0.949101006574737,0.9337983630952381
798,1981,495817671,9630806627,375.87,274,329,0.8894,126.0,0.951287950194915,0.9363467261904762
1019,5304,495817671,9630806627,299.99,77,371,0.5352,293.0,0.9530333973351954,0.9370628720238096
1094,6504,495817671,9630806627,269.55,136,212,0.814,184.0,0.9546017338686218,0.9383277529761904
691,444,495817671,9630806627,241.33,194,925,0.1414,551.0,0.9560058765345901,0.940132068452381
873,3135,495817671,9630806627,240.28,168,310,0.8429,186.0,0.9574039099319254,0.941694568452381
742,1164,495817671,9630806627,237.11,200,369,0.5455,335.0,0.9587834991563391,0.9435546875
878,3215,495817671,9630806627,203.86,101,1085,0.1604,679.0,0.9599696282073659,0.9444940476190476
1032,5621,495817671,9630806627,200.67,223,215,0.9398,63.0,0.96113719671845,0.9465680803571429
710,679,495817671,9630806627,200.65,252,174,0.925,85.0,0.9623046488625123,0.9489118303571429
934,4002,495817671,9630806627,194.96,150,388,0.68,321.0,0.9634389945889333,0.9503069196428572
973,4652,495817671,9630806627,194.44,90,101,0.8378,73.0,0.9645703147727933,0.9511439732142857
968,4579,495817671,9630806627,193.14,89,82,0.9048,94.0,0.9656940711002502,0.9519717261904762
949,4256,495817671,9630806627,187.93,58,100,0.8125,194.0,0.9667875138185837,0.9525111607142858
1091,6486,495817671,9630806627,186.06,55,295,0.463,267.0,0.9678700762203991,0.953022693452381
997,4995,495817671,9630806627,182.38,142,50,0.8537,105.0,0.9689312270902426,0.9543433779761905
988,4832,495817671,9630806627,171.45,73,180,0.7231,162.0,0.9699287833827893,0.9550223214285715
1048,5783,495817671,9630806627,170.77,117,128,0.8571,129.0,0.9709223831966021,0.9561104910714285
992,4887,495817671,9630806627,167.05,190,239,0.8592,128.0,0.9718943387443997,0.9578776041666667
784,1738,495817671,9630806627,162.44,128,148,0.8454,85.0,0.9728394716937219,0.9590680803571429
986,4828,495817671,9630806627,159.62,47,88,0.7857,201.0,0.9737681968930004,0.9595052083333333
994,4927,495817671,9630806627,150.07,36,45,0.72,193.0,0.9746413568394716,0.9598400297619047
1021,5345,495817671,9630806627,140.22,49,122,0.7429,246.0,0.9754572060278116,0.9602957589285714
1080,6261,495817671,9630806627,136.68,48,89,0.619,635.0,0.9762524582533308,0.9607421875
694,505,495817671,9630806627,128.05,108,155,0.7722,100.0,0.9769974981090357,0.9617466517857143
1078,6256,495817671,9630806627,127.35,41,59,0.8235,125.0,0.9777384651189851,0.9621279761904762
1089,6463,495817671,9630806627,127.09,21,177,0.4091,401.0,0.9784779193576538,0.9623232886904762
772,1590,495817671,9630806627,126.84,80,136,0.8281,137.0,0.9792159190085528,0.9630673363095238
676,235,495817671,9630806627,123.8,96,181,0.7952,196.0,0.9799362308721705,0.9639601934523809
679,299,495817671,9630806627,121.03,97,200,0.7143,231.0,0.9806404259032987,0.9648623511904761
927,3905,495817671,9630806627,115.64,57,204,0.5333,419.0,0.9813132600221095,0.9653924851190476
788,1817,495817671,9630806627,115.52,116,109,0.9186,102.0,0.9819853959387908,0.9664713541666666
745,1207,495817671,9630806627,115.45,90,134,0.8289,91.0,0.9826571245708964,0.9673084077380952
875,3157,495817671,9630806627,88.98,92,89,0.8857,74.0,0.983174841449933,0.9681640625
885,3327,495817671,9630806627,84.29,58,107,0.7917,151.0,0.9836652702624076,0.9687034970238095
680,308,495817671,9630806627,83.0,85,147,0.7167,196.0,0.9841481934019898,0.9694940476190477
889,3412,495817671,9630806627,77.97,59,72,0.7556,80.0,0.9846018502356432,0.9700427827380952
1069,6133,495817671,9630806627,76.35,40,98,0.575,173.0,0.985046081340548,0.970414806547619
697,530,495817671,9630806627,74.08,84,140,0.8169,56.0,0.9854771047885028,0.9711960565476191
767,1486,495817671,9630806627,73.03,75,130,0.8333,101.0,0.9859020189678244,0.9718936011904762
797,1976,495817671,9630806627,58.12,47,46,0.8378,139.0,0.9862401815325536,0.9723307291666666
850,2869,495817671,9630806627,57.95,52,127,0.8409,118.0,0.9865773549775992,0.9728143601190476
725,890,495817671,9630806627,56.98,132,47,0.9783,86.0,0.9869088846220981,0.9740420386904762
816,2320,495817671,9630806627,55.43,61,44,0.9211,101.0,0.9872313958224239,0.974609375
921,3830,495817671,9630806627,53.31,116,129,0.7935,134.0,0.9875415721184616,0.975688244047619
781,1707,495817671,9630806627,50.61,45,3,1.0,80.0,0.9878360388665851,0.9761067708333333
762,1425,495817671,9630806627,50.01,43,43,0.9091,156.0,0.9881270146040612,0.9765066964285715
682,316,495817671,9630806627,49.94,43,32,1.0,94.0,0.9884175830569616,0.9769066220238095
723,875,495817671,9630806627,47.51,29,95,0.72,311.0,0.9886940129167394,0.9771763392857142
1096,6510,495817671,9630806627,45.13,28,155,0.3333,517.0,0.9889565951009484,0.977436755952381
786,1785,495817671,9630806627,44.38,65,68,0.902,142.0,0.9892148135218479,0.9780412946428572
1063,6004,495817671,9630806627,42.67,39,74,0.8065,126.0,0.9894630825624019,0.9784040178571428
983,4782,495817671,9630806627,42.62,45,50,0.8857,76.0,0.9897110606854018,0.9788225446428571
1042,5713,495817671,9630806627,42.48,38,52,0.875,60.0,0.9899582242392507,0.9791759672619048
849,2855,495817671,9630806627,42.31,55,60,0.8444,60.0,0.990204398673416,0.9796875
1018,5288,495817671,9630806627,41.91,24,24,0.9375,61.0,0.9904482457671497,0.9799107142857143
756,1364,495817671,9630806627,41.04,62,22,1.0,63.0,0.9906870308954444,0.9804873511904761
1058,5895,495817671,9630806627,40.9,33,22,0.95,46.0,0.990925001454588,0.9807942708333334
872,3132,495817671,9630806627,36.2,53,318,0.7111,443.0,0.9911356257636588,0.9812872023809524
966,4546,495817671,9630806627,33.96,44,38,0.9259,82.0,0.9913332169663119,0.9816964285714286
770,1575,495817671,9630806627,33.9,202,144,0.5,508.0,0.9915304590679003,0.9835751488095238
738,1150,495817671,9630806627,33.45,50,47,0.9231,29.0,0.9917250829115031,0.9840401785714286
807,2128,495817671,9630806627,32.54,38,55,0.8571,125.0,0.9919144120556237,0.9843936011904761
898,3526,495817671,9630806627,29.64,25,39,0.7895,121.0,0.9920868679816144,0.9846261160714286
1039,5679,495817671,9630806627,28.92,27,42,0.8261,109.0,0.992255134694828,0.9848772321428572
778,1666,495817671,9630806627,28.78,19,26,0.7,201.0,0.9924225868388903,0.985053943452381
944,4173,495817671,9630806627,27.6,28,50,0.88,170.0,0.9925831733286791,0.9853143601190476
693,456,495817671,9630806627,26.44,31,39,0.7727,76.0,0.9927370105312159,0.9856026785714286
964,4539,495817671,9630806627,25.13,28,25,0.9048,56.0,0.9928832256938388,0.9858630952380952
984,4804,495817671,9630806627,24.55,27,65,0.619,96.0,0.9930260662128357,0.9861142113095238
1090,6474,495817671,9630806627,23.07,18,34,0.625,273.0,0.9931602955722353,0.9862816220238095
865,3016,495817671,9630806627,22.59,16,51,0.6875,191.0,0.9932917321231167,0.986430431547619
824,2390,495817671,9630806627,22.25,16,7,0.8333,84.0,0.9934211904346313,0.9865792410714286
947,4190,495817671,9630806627,21.98,25,49,0.4762,87.0,0.9935490777913545,0.9868117559523809
740,1152,495817671,9630806627,20.59,30,29,0.96,65.0,0.9936688776400773,0.9870907738095238
832,2524,495817671,9630806627,20.21,13,13,0.8,45.0,0.9937864665153899,0.9872116815476191
671,136,495817671,9630806627,20.16,35,42,0.7931,118.0,0.9939037644731488,0.9875372023809523
1083,6315,495817671,9630806627,20.1,21,16,1.0,100.0,0.9940207133298428,0.9877325148809524
951,4280,495817671,9630806627,19.71,26,27,0.913,58.0,0.9941353930296158,0.9879743303571429
956,4355,495817671,9630806627,19.69,16,32,0.8182,263.0,0.9942499563623673,0.9881231398809524
718,847,495817671,9630806627,19.53,16,39,0.5833,184.0,0.9943635887589461,0.9882719494047619
823,2383,495817671,9630806627,19.2,39,30,0.9655,45.0,0.9944753010996689,0.9886346726190476
1047,5767,495817671,9630806627,18.66,14,12,0.9091,48.0,0.9945838715308087,0.9887648809523809
869,3104,495817671,9630806627,18.62,25,23,1.0,25.0,0.9946922092279054,0.9889973958333333
976,4721,495817671,9630806627,18.53,32,59,0.72,191.0,0.9948000232734048,0.9892950148809524
760,1390,495817671,9630806627,18.22,25,21,0.9375,68.0,0.9949060336300698,0.9895275297619047
713,735,495817671,9630806627,18.17,21,22,0.8333,87.0,0.9950117530691808,0.9897228422619048
810,2152,495817671,9630806627,18.12,21,38,0.6667,69.0,0.9951171815907377,0.9899181547619048
982,4776,495817671,9630806627,17.93,25,29,0.9,44.0,0.9952215046255897,0.9901506696428571
771,1581,495817671,9630806627,17.82,27,20,0.8571,45.0,0.9953251876418229,0.9904017857142857
1104,6617,495817671,9630806627,17.81,11,19,0.7,324.0,0.9954288124745453,0.9905040922619047
919,3809,495817671,9630806627,17.29,21,27,0.75,107.0,0.9955294117647064,0.9906994047619048
845,2793,495817671,9630806627,17.12,21,19,0.875,102.0,0.9956290219351841,0.9908947172619048
1044,5723,495817671,9630806627,16.57,18,13,1.0,93.0,0.9957254320125682,0.9910621279761904
891,3417,495817671,9630806627,15.19,16,49,0.8,478.0,0.9958138127654629,0.9912109375
930,3964,495817671,9630806627,15.17,14,36,0.6,197.0,0.995902077151336,0.9913411458333333
830,2501,495817671,9630806627,15.12,17,17,0.7778,390.0,0.9959900506196551,0.991499255952381
736,1090,495817671,9630806627,14.8,21,22,0.7778,84.0,0.9960761622156287,0.9916945684523809
902,3549,495817671,9630806627,14.61,13,9,1.0,52.0,0.9961611683248972,0.9918154761904762
793,1914,495817671,9630806627,14.49,9,17,0.8333,202.0,0.9962454762320363,0.991899181547619
754,1314,495817671,9630806627,14.45,12,18,0.6364,53.0,0.9963295514051324,0.9920107886904762
948,4244,495817671,9630806627,14.34,17,46,0.9375,181.0,0.9964129865596095,0.9921688988095239
887,3382,495817671,9630806627,14.26,18,31,0.6429,90.0,0.9964959562460004,0.9923363095238096
1028,5527,495817671,9630806627,13.68,35,47,0.9643,90.0,0.9965755512887653,0.9926618303571428
815,2280,495817671,9630806627,13.66,10,8,0.8571,58.0,0.9966550299645086,0.9927548363095238
750,1243,495817671,9630806627,13.53,13,7,1.0,72.0,0.9967337522546116,0.992875744047619
1002,5050,495817671,9630806627,13.37,21,16,1.0,35.0,0.9968115436085419,0.9930710565476191
1035,5653,495817671,9630806627,13.05,16,26,0.9286,72.0,0.9968874730901267,0.9932198660714285
989,4843,495817671,9630806627,12.41,21,22,0.9444,46.0,0.9969596788270209,0.9934151785714286
726,965,495817671,9630806627,12.3,13,11,0.875,129.0,0.9970312445452962,0.9935360863095238
677,243,495817671,9630806627,12.22,11,60,0.3333,226.0,0.9971023447954853,0.9936383928571428
1070,6148,495817671,9630806627,12.03,14,19,0.8462,51.0,0.9971723395589693,0.9937686011904762
687,391,495817671,9630806627,11.9,8,13,0.6667,245.0,0.9972415779368131,0.993843005952381
842,2727,495817671,9630806627,11.66,15,15,1.0,45.0,0.9973094199103978,0.9939825148809524
943,4158,495817671,9630806627,11.34,13,17,0.6667,301.0,0.997375400011637,0.9941034226190476
954,4331,495817671,9630806627,10.97,13,23,0.9167,162.0,0.9974392273229771,0.9942243303571429
749,1242,495817671,9630806627,10.75,12,11,0.7778,114.0,0.9975017745970796,0.9943359375
890,3416,495817671,9630806627,10.74,8,9,0.875,92.0,0.9975642636876713,0.9944103422619047
720,858,495817671,9630806627,10.73,23,19,0.8824,85.0,0.9976266945947522,0.9946242559523809
848,2825,495817671,9630806627,10.3,8,14,0.75,298.0,0.997686623610869,0.9946986607142857
960,4467,495817671,9630806627,9.91,17,14,0.9231,32.0,0.9977442834700649,0.9948567708333333
1101,6578,495817671,9630806627,9.86,32,3,1.0,18.0,0.9978016524117068,0.9951543898809524
1062,5980,495817671,9630806627,9.57,8,6,1.0,43.0,0.9978573340315358,0.9952287946428572
791,1844,495817671,9630806627,8.64,13,68,0.6364,329.0,0.997907604584861,0.9953497023809523
692,445,495817671,9630806627,8.59,8,9,0.8571,132.0,0.9979575842206322,0.9954241071428571
870,3112,495817671,9630806627,8.5,10,10,1.0,49.0,0.9980070402048064,0.995517113095238
977,4735,495817671,9630806627,8.0,12,12,0.9,54.0,0.9980535870134407,0.9956287202380952
894,3443,495817671,9630806627,7.46,22,21,1.0,105.0,0.9980969919124923,0.9958333333333333
1057,5870,495817671,9630806627,7.27,11,10,1.0,28.0,0.9981392913248388,0.9959356398809524
1075,6209,495817671,9630806627,7.2,4,3,1.0,2.0,0.9981811834526099,0.9959728422619047
990,4854,495817671,9630806627,7.17,12,10,1.0,58.0,0.9982229010298486,0.9960844494047619
931,3973,495817671,9630806627,7.09,8,7,1.0,50.0,0.9982641531390007,0.9961588541666667
917,3784,495817671,9630806627,6.91,15,11,1.0,58.0,0.9983043579449588,0.9962983630952381
1072,6157,495817671,9630806627,6.75,7,17,0.6,366.0,0.9983436318147441,0.9963634672619047
851,2874,495817671,9630806627,6.68,7,5,1.0,263.0,0.9983824983999537,0.9964285714285714
665,64,495817671,9630806627,6.47,13,10,1.0,25.0,0.9984201431314369,0.9965494791666667
730,1040,495817671,9630806627,6.4,5,3,1.0,65.0,0.9984573805783444,0.9965959821428572
1066,6091,495817671,9630806627,6.28,7,45,0.5,466.0,0.9984939198231224,0.9966610863095238
854,2896,495817671,9630806627,6.25,9,8,1.0,26.0,0.998530284517368,0.9967447916666666
805,2124,495817671,9630806627,5.91,6,7,0.8333,29.0,0.9985646709722468,0.9968005952380953
871,3127,495817671,9630806627,5.8,7,10,0.8,351.0,0.9985984174085066,0.9968656994047619
803,2096,495817671,9630806627,5.78,12,18,0.6667,49.0,0.998632047477745,0.9969773065476191
712,714,495817671,9630806627,5.76,12,7,1.0,39.0,0.9986655611799619,0.9970889136904761
939,4056,495817671,9630806627,5.66,7,4,1.0,11.0,0.9986984930470708,0.9971540178571429
963,4538,495817671,9630806627,5.54,4,2,1.0,4.0,0.9987307267120502,0.9971912202380953
1053,5832,495817671,9630806627,5.52,8,6,1.0,25.0,0.9987628440100079,0.997265625
768,1524,495817671,9630806627,5.5,9,6,1.0,49.0,0.9987948449409441,0.9973493303571429
669,114,495817671,9630806627,5.49,6,6,1.0,64.0,0.9988267876883694,0.9974051339285714
867,3082,495817671,9630806627,5.14,3,16,0.0,403.0,0.9988566940129171,0.9974330357142858
704,617,495817671,9630806627,5.13,6,5,1.0,6.0,0.9988865421539539,0.9974888392857143
936,4016,495817671,9630806627,5.08,4,21,0.75,565.0,0.9989160993774368,0.9975260416666667
969,4593,495817671,9630806627,5.08,6,11,0.4,63.0,0.9989456566009195,0.9975818452380952
799,1983,495817671,9630806627,5.04,4,5,0.6667,21.0,0.9989749810903592,0.9976190476190476
792,1853,495817671,9630806627,4.59,8,6,1.0,230.0,0.9990016873218133,0.9976934523809524
1045,5734,495817671,9630806627,4.55,4,7,0.75,93.0,0.999028160819224,0.9977306547619048
1071,6154,495817671,9630806627,4.51,6,5,1.0,34.0,0.9990544015825917,0.9977864583333333
838,2629,495817671,9630806627,4.43,5,3,1.0,82.0,0.999080176877873,0.9978329613095238
852,2891,495817671,9630806627,4.31,6,5,0.6667,115.0,0.9991052539710248,0.9978887648809524
737,1092,495817671,9630806627,4.16,3,6,0.6667,251.0,0.9991294583115147,0.9979166666666667
789,1824,495817671,9630806627,4.04,5,5,1.0,106.0,0.9991529644498751,0.9979631696428571
912,3678,495817671,9630806627,3.98,11,11,0.75,127.0,0.9991761214871708,0.9980654761904761
752,1287,495817671,9630806627,3.95,6,6,1.0,73.0,0.9991991039739342,0.9981212797619048
820,2367,495817671,9630806627,3.84,5,4,1.0,64.0,0.9992214464420787,0.9981677827380953
1082,6280,495817671,9630806627,3.71,4,4,1.0,24.0,0.9992430325245828,0.9982049851190476
757,1365,495817671,9630806627,3.6,5,8,0.75,82.0,0.9992639785884684,0.9982514880952381
881,3303,495817671,9630806627,3.47,3,3,1.0,95.0,0.9992841682667135,0.9982793898809523
685,370,495817671,9630806627,3.46,8,31,0.1429,236.0,0.9993042997614479,0.9983537946428571
980,4762,495817671,9630806627,3.14,7,5,1.0,293.0,0.999322569383837,0.9984188988095238
1023,5428,495817671,9630806627,3.11,4,3,1.0,7.0,0.9993406644556936,0.9984561011904762
743,1185,495817671,9630806627,3.09,4,6,0.75,24.0,0.9993586431605286,0.9984933035714286
1036,5655,495817671,9630806627,3.04,5,4,1.0,63.0,0.9993763309478098,0.9985398065476191
782,1723,495817671,9630806627,3.03,5,3,1.0,80.0,0.99939396055158,0.9985863095238096
1077,6250,495817671,9630806627,3.0,3,3,1.0,80.0,0.9994114156048179,0.9986142113095238
998,5009,495817671,9630806627,2.96,5,8,0.75,60.0,0.9994286379240126,0.9986607142857142
926,3882,495817671,9630806627,2.83,3,3,1.0,25.0,0.9994451038575669,0.9986886160714286
1009,5199,495817671,9630806627,2.75,2,3,0.5,4.0,0.999461104323035,0.9987072172619048
826,2432,495817671,9630806627,2.71,3,3,1.0,8.0,0.9994768720544599,0.998735119047619
916,3774,495817671,9630806627,2.56,9,9,0.875,68.0,0.999491767033223,0.9988188244047619
974,4688,495817671,9630806627,2.48,5,9,0.6667,638.0,0.9995061965438996,0.9988653273809524
993,4923,495817671,9630806627,2.4,3,14,0.3333,244.0,0.99952016058649,0.9988932291666667
819,2354,495817671,9630806627,2.39,2,4,0.0,126.0,0.9995340664455695,0.9989118303571428
1051,5813,495817671,9630806627,2.31,3,3,1.0,43.0,0.9995475068365628,0.9989397321428571
833,2527,495817671,9630806627,2.29,5,0,0.0,0.0,0.9995608308605344,0.9989862351190476
667,108,495817671,9630806627,2.28,2,3,0.5,6.0,0.9995740967009952,0.9990048363095239
1001,5048,495817671,9630806627,2.15,3,1,1.0,3.0,0.9995866061558156,0.9990327380952381
731,1041,495817671,9630806627,2.11,4,4,1.0,90.0,0.9995988828765929,0.9990699404761905
846,2814,495817671,9630806627,2.07,2,2,1.0,62.0,0.9996109268633271,0.9990885416666667
785,1754,495817671,9630806627,2.05,5,4,1.0,32.0,0.9996228544830397,0.9991350446428572
844,2745,495817671,9630806627,2.05,3,3,1.0,1.0,0.9996347821027521,0.9991629464285714
866,3040,495817671,9630806627,1.98,4,4,1.0,65.0,0.9996463024378892,0.9992001488095238
893,3437,495817671,9630806627,1.98,2,1,1.0,17.0,0.9996578227730263,0.99921875
808,2129,495817671,9630806627,1.95,1,1,1.0,1.0,0.999669168557631,0.9992280505952381
945,4177,495817671,9630806627,1.93,2,1,1.0,24.0,0.999680397975214,0.9992466517857143
874,3149,495817671,9630806627,1.86,2,2,1.0,120.0,0.9996912201082214,0.9992652529761905
1085,6378,495817671,9630806627,1.85,3,2,1.0,5.0,0.9997019840577182,0.9992931547619047
922,3842,495817671,9630806627,1.8,2,2,0.0,38.0,0.9997124570896608,0.999311755952381
952,4286,495817671,9630806627,1.71,1,11,0.0,230.0,0.9997224064700064,0.999321056547619
995,4931,495817671,9630806627,1.62,3,2,1.0,62.0,0.9997318321987549,0.9993489583333334
933,4001,495817671,9630806627,1.61,2,2,1.0,120.0,0.9997411997439924,0.9993675595238095
696,518,495817671,9630806627,1.57,3,11,0.5,156.0,0.999750334555187,0.9993954613095238
941,4110,495817671,9630806627,1.55,5,4,1.0,62.0,0.9997593529993599,0.9994419642857143
923,3873,495817671,9630806627,1.53,1,4,0.0,118.0,0.9997682550765112,0.9994512648809524
925,3877,495817671,9630806627,1.5,1,1,1.0,2.0,0.9997769826031302,0.9994605654761904
859,2966,495817671,9630806627,1.5,1,0,0.0,0.0,0.9997857101297491,0.9994698660714286
1031,5602,495817671,9630806627,1.5,1,1,1.0,524.0,0.9997944376563681,0.9994791666666667
1102,6596,495817671,9630806627,1.48,3,1,1.0,1.0,0.9998030488159655,0.9995070684523809
975,4718,495817671,9630806627,1.41,1,0,0.0,0.0,0.9998112526909874,0.9995163690476191
709,677,495817671,9630806627,1.39,1,1,1.0,120.0,0.9998193401989877,0.9995256696428572
751,1265,495817671,9630806627,1.37,2,1,1.0,1.0,0.9998273113399663,0.9995442708333333
970,4606,495817671,9630806627,1.3,1,0,0.0,0.0,0.9998348751963694,0.9995535714285714
1050,5795,495817671,9630806627,1.29,1,1,1.0,1.0,0.9998423808692617,0.9995628720238096
831,2516,495817671,9630806627,1.29,6,4,1.0,70.0,0.999849886542154,0.9996186755952381
1046,5742,495817671,9630806627,1.27,1,1,1.0,4.0,0.9998572758480246,0.9996279761904762
892,3420,495817671,9630806627,1.26,1,1,1.0,7.0,0.9998646069703847,0.9996372767857142
1003,5061,495817671,9630806627,1.26,1,1,1.0,120.0,0.9998719380927447,0.9996465773809524
779,1691,495817671,9630806627,1.24,1,1,1.0,120.0,0.9998791528480829,0.9996558779761905
1098,6538,495817671,9630806627,1.11,1,1,1.0,9.0,0.9998856112177809,0.9996651785714286
840,2699,495817671,9630806627,1.08,1,1,1.0,129.0,0.9998918950369464,0.9996744791666666
759,1377,495817671,9630806627,1.03,1,1,1.0,120.0,0.9998978879385582,0.9996837797619048
733,1056,495817671,9630806627,1.01,2,1,1.0,0.0,0.9999037644731482,0.999702380952381
914,3714,495817671,9630806627,1.0,1,1,1.0,27.0,0.9999095828242276,0.999711681547619
678,292,495817671,9630806627,0.96,1,1,1.0,1.0,0.9999151684412636,0.9997209821428571
769,1566,495817671,9630806627,0.93,1,4,0.0,104.0,0.9999205795077674,0.9997302827380953
804,2097,495817671,9630806627,0.91,1,0,0.0,0.0,0.9999258742072495,0.9997395833333333
763,1437,495817671,9630806627,0.91,1,1,1.0,2.0,0.9999311689067317,0.9997488839285714
1017,5284,495817671,9630806627,0.91,1,1,1.0,4.0,0.9999364636062139,0.9997581845238095
1081,6270,495817671,9630806627,0.9,2,1,1.0,5.0,0.9999417001221853,0.9997767857142857
716,798,495817671,9630806627,0.89,2,2,1.0,98.0,0.9999468784546459,0.9997953869047619
901,3539,495817671,9630806627,0.89,2,120,0.5,5099.0,0.9999520567871066,0.9998139880952381
773,1608,495817671,9630806627,0.89,1,1,1.0,120.0,0.9999572351195672,0.9998232886904762
829,2479,495817671,9630806627,0.8,1,1,1.0,120.0,0.9999618898004307,0.9998325892857143
813,2203,495817671,9630806627,0.78,1,1,1.0,289.0,0.9999664281142725,0.9998418898809524
1005,5082,495817671,9630806627,0.74,1,0,0.0,0.0,0.9999707336940711,0.9998511904761904
863,2997,495817671,9630806627,0.71,1,3,0.0,37.0,0.9999748647233374,0.9998604910714286
812,2195,495817671,9630806627,0.65,1,1,1.0,120.0,0.9999786466515389,0.9998697916666667
1027,5501,495817671,9630806627,0.59,1,1,1.0,2.0,0.9999820794786757,0.9998790922619047
777,1656,495817671,9630806627,0.51,2,2,1.0,62.0,0.9999850468377262,0.999897693452381
896,3505,495817671,9630806627,0.5,1,1,1.0,120.0,0.9999879560132658,0.9999069940476191
928,3913,495817671,9630806627,0.45,3,1,1.0,120.0,0.9999905742712516,0.9999348958333333
1013,5273,495817671,9630806627,0.36,1,1,1.0,1.0,0.99999266887764,0.9999441964285715
686,381,495817671,9630806627,0.31,1,1,1.0,3.0,0.9999944725664746,0.9999534970238095
985,4807,495817671,9630806627,0.31,1,6,0.0,117.0,0.9999962762553092,0.9999627976190476
703,584,495817671,9630806627,0.24,1,1,1.0,13.0,0.9999976726595682,0.9999720982142857
806,2125,495817671,9630806627,0.15,1,0,0.0,0.0,0.99999854541223,0.9999813988095239
729,1018,495817671,9630806627,0.15,1,0,0.0,0.0,0.9999994181648919,0.9999906994047619
999,5027,495817671,9630806627,0.1,1,1,1.0,120.0,0.9999999999999998,1.0
1037,5661,495817671,9630806627,0.0,0,0,,,0.9999999999999998,1.0
1004,5071,495817671,9630806627,0.0,0,0,,,0.9999999999999998,1.0
1000,5038,495817671,9630806627,0.0,0,0,,,0.9999999999999998,1.0
996,4949,495817671,9630806627,0.0,0,0,,,0.9999999999999998,1.0
991,4870,495817671,9630806627,0.0,0,0,,,0.9999999999999998,1.0
1076,6210,495817671,9630806627,0.0,0,0,,,0.9999999999999998,1.0
