日期,新注册数,K,K1,K2,Rhat
2025-02-27,743,5149,5604.0,4847.0,496.84486765472457
2025-02-28,847,5052,5149.0,5604.0,494.3042576221697
2025-03-01,718,5710,5052.0,5149.0,546.6817712067316
2025-03-02,627,3966,5710.0,5052.0,397.11546028961385
2025-03-03,634,3128,3966.0,5710.0,327.41886863998997
2025-03-04,669,4063,3128.0,3966.0,390.74965073602044
2025-03-05,793,4218,4063.0,3128.0,398.509416765847
2025-03-06,876,4646,4218.0,4063.0,443.90512471556116
2025-03-07,683,5517,4646.0,4218.0,521.0390834142281
2025-03-08,480,5029,5517.0,4646.0,484.57243182984934
2025-03-09,284,2843,5029.0,5517.0,303.2949196390964
2025-03-10,320,1940,2843.0,5029.0,216.9911301364172
2025-03-11,556,2958,1940.0,2843.0,283.42026466047497
2025-03-12,623,3861,2958.0,1940.0,355.1061104149245
2025-03-13,314,3422,3861.0,2958.0,328.1397117751782
2025-03-14,464,2342,3422.0,3861.0,242.37238299700726
2025-03-15,461,3407,2342.0,3422.0,327.95857367197493
2025-03-16,227,3413,3407.0,2342.0,321.0169145433223
2025-03-17,269,3725,3413.0,3407.0,357.2917570869655
2025-03-18,549,2403,3725.0,3413.0,244.2516771781416
2025-03-19,480,5850,2403.0,3725.0,540.8904222328993
2025-03-20,255,4685,5850.0,2403.0,435.7870502110477
2025-03-21,406,5014,4685.0,5850.0,492.29745794748567
2025-03-22,119,4370,5014.0,4685.0,427.24238520560795
2025-03-23,46,2242,4370.0,5014.0,245.8481308899913
2025-03-24,67,3370,2242.0,4370.0,332.97007270645764
2025-03-25,68,807,3370.0,2242.0,95.90922168797405
2025-03-26,43,979,807.0,3370.0,115.62939288829197
2025-03-27,45,1057,979.0,807.0,99.99114240662382
2025-03-28,55,822,1057.0,979.0,81.45455356686368
2025-03-29,61,1129,822.0,1057.0,108.08709992120478
2025-03-30,17,740,1129.0,822.0,73.15390192372304
2025-03-31,20,649,740.0,1129.0,67.27640062967858
2025-04-01,39,500,649.0,740.0,50.83759003864707
2025-04-02,40,564,500.0,649.0,55.24282770760357
2025-04-03,19,386,564.0,500.0,38.739965125994985
2025-04-04,25,207,386.0,564.0,23.558843735490527
2025-04-05,28,229,207.0,386.0,23.52223735561518
2025-04-06,45,369,229.0,207.0,34.023016964515655
2025-04-07,75,701,369.0,229.0,63.05034376827055
2025-04-08,176,3203,701.0,369.0,280.14901671591474
2025-04-09,307,3441,3203.0,701.0,308.4971027359746
2025-04-10,308,3434,3441.0,3203.0,330.51154756816715
2025-04-11,357,3331,3434.0,3441.0,323.7450959839596
2025-04-12,363,3438,3331.0,3434.0,332.6832154132919
2025-04-13,164,1639,3438.0,3331.0,177.2455598234037
2025-04-14,174,1378,1639.0,3438.0,152.1925805472185
2025-04-15,401,3774,1378.0,1639.0,341.8401495961201
2025-04-16,351,3755,3774.0,1378.0,342.6246974655866
2025-04-17,360,3868,3755.0,3774.0,373.5151620287755
2025-04-18,237,3449,3868.0,3755.0,337.5306265788163
2025-04-19,192,2739,3449.0,3868.0,276.6347388885293
2025-04-20,102,995,2739.0,3449.0,121.51813304192808
2025-04-21,156,1267,995.0,2739.0,135.18677691740558
2025-04-22,330,4280,1267.0,995.0,379.4431182111664
2025-04-23,337,4006,4280.0,1267.0,364.23010267924474
2025-04-24,478,5971,4006.0,4280.0,559.3745308377768
2025-04-25,305,4349,5971.0,4006.0,421.3147204950265
2025-04-26,277,3547,4349.0,5971.0,366.52447170916435
2025-04-27,159,1777,3547.0,4349.0,198.3414334348081
2025-04-28,209,2893,1777.0,3547.0,283.7392599842419
2025-04-29,183,1896,2893.0,1777.0,184.519740462291
2025-04-30,100,1229,1896.0,2893.0,135.05977487392477
2025-05-01,50,459,1229.0,1896.0,58.68831693180337
2025-05-02,51,483,459.0,1229.0,53.32881047635591
2025-05-03,60,552,483.0,459.0,52.4953096671539
2025-05-04,76,636,552.0,483.0,60.06901641552351
2025-05-05,96,888,636.0,552.0,82.5208123925018
2025-05-06,308,2829,888.0,636.0,250.7126831907514
2025-05-07,441,3791,2829.0,888.0,339.51868075693415
2025-05-08,268,2373,3791.0,2829.0,236.63220428720348
2025-05-09,272,2607,2373.0,3791.0,262.47572767489476
2025-05-10,323,3864,2607.0,2373.0,358.5041252220053
2025-05-11,269,3416,3864.0,2607.0,324.5226326361911
2025-05-12,165,1617,3416.0,3864.0,180.02777526985327
2025-05-13,323,4537,1617.0,3416.0,423.66903289614606
2025-05-14,270,3078,4537.0,1617.0,288.0154941967705
2025-05-15,253,2453,3078.0,4537.0,257.2245491760277
2025-05-16,292,3654,2453.0,3078.0,346.3778717475787
2025-05-17,256,3295,3654.0,2453.0,312.3374413415962
2025-05-18,151,1860,3295.0,3654.0,198.83123430406914
2025-05-19,202,2006,1860.0,3295.0,205.37906562448
2025-05-20,270,4382,2006.0,1860.0,397.3316820297308
2025-05-21,306,4050,4382.0,2006.0,374.7573461045393
2025-05-22,294,4185,4050.0,4382.0,406.74528186345793
2025-05-23,270,3340,4185.0,4050.0,331.3921309920974
2025-05-24,222,3406,3340.0,4185.0,336.5961440918443
2025-05-25,147,1503,3406.0,3340.0,165.5643166661255
2025-05-26,193,1708,1503.0,3406.0,180.02514267484247
2025-05-27,331,3706,1708.0,1503.0,335.4387857785099
2025-05-28,279,3709,3706.0,1708.0,341.454931069409
2025-05-29,281,3547,3709.0,3706.0,345.2123325760631
2025-05-30,256,3003,3547.0,3709.0,298.1281490753663
2025-05-31,71,686,3003.0,3547.0,96.32868670480057
2025-06-01,69,602,686.0,3003.0,79.7151751358608
2025-06-02,64,618,602.0,686.0,60.41635326709778
2025-06-03,161,2069,618.0,602.0,184.5090491356457
2025-06-04,165,1862,2069.0,618.0,169.70990324102158
2025-06-05,184,1925,1862.0,2069.0,187.56386964731578
2025-06-06,168,1746,1925.0,1862.0,170.4596257570218
2025-06-07,116,1282,1746.0,1925.0,130.75401518884047
2025-06-08,193,2739,1282.0,1746.0,253.57449038873625
2025-06-09,125,1331,2739.0,1282.0,131.2369636016206
2025-06-10,141,1414,1331.0,2739.0,148.4938415333603
2025-06-11,207,2043,1414.0,1331.0,190.29664823333147
2025-06-12,138,1452,2043.0,1414.0,141.43921532443244
2025-06-13,136,1191,1452.0,2043.0,123.39106004022987
2025-06-14,92,1221,1191.0,1452.0,120.22498579712628
2025-06-15,53,598,1221.0,1191.0,64.38791264517482
2025-06-16,56,542,598.0,1221.0,58.60710500886082
2025-06-17,158,1630,542.0,598.0,146.5639952128601
2025-06-18,149,1676,1630.0,542.0,152.17231847293615
2025-06-19,107,1297,1676.0,1630.0,129.29481483356977
2025-06-20,151,1598,1297.0,1676.0,154.84381399885152
2025-06-21,146,1534,1598.0,1297.0,146.5783164587696
2025-06-22,45,487,1534.0,1598.0,59.06087931338397
2025-06-23,40,447,487.0,1534.0,52.987360339791664
2025-06-24,170,1669,447.0,487.0,148.74846050758038
2025-06-25,103,1024,1669.0,447.0,95.32800721551247
2025-06-26,79,967,1024.0,1669.0,99.96891118878055
2025-06-27,95,1010,967.0,1024.0,97.84565776075775
2025-06-28,95,932,1010.0,967.0,90.71698254079061
2025-06-29,23,149,932.0,1010.0,23.595585620425283
2025-06-30,1,361,149.0,932.0,39.59444932553063
2025-07-01,95,1111,361.0,149.0,97.59169398846024
2025-07-02,112,1293,1111.0,361.0,116.60288092693371
2025-07-03,123,1316,1293.0,1111.0,125.57912112766196
2025-07-04,147,1262,1316.0,1293.0,122.59082005049076
2025-07-05,136,1247,1262.0,1316.0,121.39763310502775
2025-07-06,57,555,1247.0,1262.0,61.36914291070666
2025-07-07,52,455,555.0,1247.0,51.26925845032401
2025-07-08,119,1187,455.0,555.0,107.90796509638035
2025-07-09,124,1291,1187.0,455.0,117.41291256298203
2025-07-10,123,1133,1291.0,1187.0,110.5075452205376
2025-07-11,129,1181,1133.0,1291.0,115.24488203971097
2025-07-12,128,1372,1181.0,1133.0,130.36951867475008
2025-07-13,78,837,1372.0,1181.0,85.15450271319757
2025-07-14,82,855,837.0,1372.0,87.33744796158584
2025-07-15,208,2617,855.0,837.0,234.19200283371046
2025-07-16,177,2313,2617.0,855.0,211.68114471804722
2025-07-17,166,2408,2313.0,2617.0,234.84892812011776
2025-07-18,186,2291,2408.0,2313.0,222.2820323712411
2025-07-19,158,2040,2291.0,2408.0,201.30278382916214
2025-07-20,71,935,2040.0,2291.0,104.72753004974078
2025-07-21,75,863,935.0,2040.0,94.13186770249989
2025-07-22,151,1842,863.0,935.0,168.41528976116172
2025-07-23,260,3069,1842.0,863.0,275.24803212296456
2025-07-24,256,3455,3069.0,1842.0,319.53651560356826
2025-07-25,271,3991,3455.0,3069.0,377.26222152028083
2025-07-26,212,3129,3991.0,3455.0,307.59379227295034
2025-07-27,59,820,3129.0,3991.0,112.03322499773196
2025-07-28,36,606,820.0,3129.0,81.43901277621087
2025-07-29,202,2911,606.0,820.0,258.8378446386279
2025-07-30,218,3993,2911.0,606.0,354.55896328056735
2025-07-31,336,5890,3993.0,2911.0,540.2639453099066
2025-08-01,343,6942,5890.0,3993.0,644.0711109960786
2025-08-02,315,6480,6942.0,5890.0,623.2010886269956
2025-08-03,176,2003,6480.0,6942.0,246.52158723632374
2025-08-04,189,1912,2003.0,6480.0,225.7685526254363
2025-08-05,278,3797,1912.0,2003.0,348.094414045545
2025-08-06,303,4827,3797.0,1912.0,439.60264649470435
2025-08-07,298,4919,4827.0,3797.0,466.23410429735907
2025-08-08,270,4932,4919.0,4827.0,476.6510370815219
2025-08-09,278,4311,4932.0,4919.0,424.0770626269289
2025-08-10,132,1787,4311.0,4932.0,205.86999738958377
2025-08-11,92,1419,1787.0,4311.0,163.73869603500088
2025-08-12,268,3681,1419.0,1787.0,335.2319188555654
2025-08-13,300,3735,3681.0,1419.0,341.08379998460254
2025-08-14,309,3937,3735.0,3681.0,378.5873724860796
2025-08-15,299,3781,3937.0,3735.0,366.04604962914806
2025-08-16,291,3667,3781.0,3937.0,357.72071137267153
2025-08-17,122,1386,3667.0,3781.0,159.9195275213989
2025-08-18,73,746,1386.0,3667.0,99.36012498213707
2025-08-19,375,4160,746.0,1386.0,371.5542483056655
2025-08-20,354,4708,4160.0,746.0,419.76257822325596
2025-08-21,381,5461,4708.0,4160.0,515.8313403410192
2025-08-22,324,4674,5461.0,4708.0,454.47614024407835
2025-08-23,323,4202,4674.0,5461.0,418.9900229541698
2025-08-24,170,3179,4202.0,4674.0,323.1010337913792
2025-08-25,165,2780,3179.0,4202.0,282.5848030401304
2025-08-26,361,5393,2780.0,3179.0,497.493653605527
2025-08-27,354,6141,5393.0,2780.0,563.4568366896073
2025-08-28,302,5355,6141.0,5393.0,520.4564030800226
2025-08-29,279,4943,5355.0,6141.0,490.0887726878305
2025-08-30,287,4830,4943.0,5355.0,472.59875772121677
2025-08-31,119,1738,4830.0,4943.0,202.77710374791116
2025-09-01,68,867,1738.0,4830.0,120.75688438043477
2025-09-02,348,4158,867.0,1738.0,374.7368193375478
2025-09-03,294,4732,4158.0,867.0,422.893986887602
2025-09-04,268,3276,4732.0,4158.0,327.922917498642
2025-09-05,325,2857,3276.0,4732.0,294.09061070927595
2025-09-06,335,2855,2857.0,3276.0,280.20361239520645
2025-09-07,123,961,2855.0,2857.0,113.5824823997994
2025-09-08,119,909,961.0,2855.0,105.35385711495218
2025-09-09,297,3256,909.0,961.0,290.3584016569369
2025-09-10,363,3082,3256.0,909.0,279.5642352406587
2025-09-11,348,3124,3082.0,3256.0,303.6081281649314
2025-09-12,317,2960,3124.0,3082.0,288.0447325694644
2025-09-13,309,2724,2960.0,3124.0,267.7937747751631
2025-09-14,282,2586,2724.0,2960.0,254.0065315043765
2025-09-15,279,533,2586.0,2724.0,75.0607784218478
2025-09-16,252,440,533.0,2586.0,61.78798014569918
2025-09-17,265,476,440.0,533.0,46.52848290655225
2025-09-18,297,2748,476.0,440.0,241.19754311511636
2025-09-19,322,2595,2748.0,476.0,232.8405602716275
2025-09-20,367,2649,2595.0,2748.0,257.2941834095897
2025-09-21,141,997,2649.0,2595.0,113.95322798094996
2025-09-22,167,1032,997.0,2649.0,114.18105637359977
2025-09-23,301,2490,1032.0,997.0,225.0339825240772
2025-09-24,345,2932,2490.0,1032.0,266.23917700305117
2025-09-25,379,3057,2932.0,2490.0,290.76885570474207
2025-09-26,340,2868,3057.0,2932.0,278.67156467893324
2025-09-27,300,2551,2868.0,3057.0,252.13890776907962
2025-09-28,140,1028,2551.0,2868.0,118.84269632959455
2025-09-29,227,1964,1028.0,2551.0,193.53876340901067
2025-09-30,161,1640,1964.0,1028.0,154.03697674361646
2025-10-01,47,415,1640.0,1964.0,56.31686730462501
2025-10-02,45,371,415.0,1640.0,47.246547531187844
2025-10-03,41,389,371.0,415.0,37.86468408246053
2025-10-04,52,427,389.0,371.0,40.77922795974487
2025-10-05,61,476,427.0,389.0,45.228189192181624
2025-10-06,68,606,476.0,427.0,56.84293546128128
2025-10-07,76,843,606.0,476.0,77.91829774110455
2025-10-08,162,1455,843.0,606.0,132.17665271630426
2025-10-09,301,2596,1455.0,843.0,233.62308349112723
2025-10-10,327,2855,2596.0,1455.0,263.56964380235365
2025-10-11,268,2615,2855.0,2596.0,253.5374691193752
2025-10-12,226,2350,2615.0,2855.0,232.56293905651248
2025-10-13,127,940,2350.0,2615.0,108.6373812032865
2025-10-14,365,3056,940.0,2350.0,285.5119346830779
2025-10-15,311,2824,3056.0,940.0,257.2525722126568
2025-10-16,296,2776,2824.0,3056.0,271.3961042904109
2025-10-17,274,2525,2776.0,2824.0,247.65855942667702
2025-10-18,273,2303,2525.0,2776.0,227.64341971254652
2025-10-19,125,947,2303.0,2525.0,108.35005868340346
2025-10-20,110,886,947.0,2303.0,98.46182769429436
2025-10-21,281,2800,886.0,947.0,250.96722079977187
2025-10-22,270,2620,2800.0,886.0,238.72268542504736
2025-10-23,261,2507,2620.0,2800.0,245.58998622008164
2025-10-24,268,2459,2507.0,2620.0,239.64504318154732
2025-10-25,249,2447,2459.0,2507.0,237.51791511217823
2025-10-26,108,932,2447.0,2459.0,106.7598758659104
2025-10-27,133,939,932.0,2447.0,104.26553817696876
2025-10-28,269,2604,939.0,932.0,234.0805345702819
2025-10-29,259,2574,2604.0,939.0,234.84837862392163
2025-10-30,254,2498,2574.0,2604.0,242.99015864109782
2025-10-31,269,2506,2498.0,2574.0,243.262708654861
2025-11-01,214,2341,2506.0,2498.0,228.41365326551318
2025-11-02,94,778,2341.0,2506.0,93.72070699878483
2025-11-03,107,810,778.0,2341.0,91.9276515698792
2025-11-04,324,2707,810.0,778.0,241.3220954129331
2025-11-05,139,1171,2707.0,810.0,113.23377640261755
2025-11-06,312,2711,1171.0,2707.0,259.45346527071723
2025-11-07,307,2615,2711.0,1171.0,240.63967418594342
2025-11-08,275,2400,2615.0,2711.0,235.5889466669915
2025-11-09,113,902,2400.0,2615.0,105.46757943062497
2025-11-10,149,952,902.0,2400.0,104.90846650227616
2025-11-11,396,3234,952.0,902.0,288.0287430773196
2025-11-12,386,3139,3234.0,952.0,284.80416606143496
2025-11-13,337,3043,3139.0,3234.0,296.558853822154
2025-11-14,335,2950,3043.0,3139.0,287.5292745889341
2025-11-15,339,2599,2950.0,3043.0,256.30544821464247
2025-11-16,122,1051,2599.0,2950.0,121.64156518376184
2025-11-17,156,983,1051.0,2599.0,109.63042647567366
2025-11-18,293,2674,983.0,1051.0,241.24162311674303
2025-11-19,431,3312,2674.0,983.0,298.85349924809464
2025-11-20,376,2893,3312.0,2674.0,279.04146708187704
2025-11-21,330,2887,2893.0,3312.0,283.34573701058224
2025-11-22,279,2427,2887.0,2893.0,240.05914682507265
2025-11-23,128,873,2427.0,2887.0,105.43414165610386
2025-11-24,84,734,873.0,2427.0,86.33941979570449
2025-11-25,370,2926,734.0,873.0,260.8498120662746
2025-11-26,334,2934,2926.0,734.0,264.6339643888751
2025-11-27,307,2643,2934.0,2926.0,259.0227930300754
2025-11-28,216,2430,2643.0,2934.0,240.1985110792956
2025-11-29,188,2061,2430.0,2643.0,205.4635366915583
2025-11-30,84,785,2061.0,2430.0,93.0974271553787
2025-12-01,92,713,785.0,2061.0,81.11976347016252
2025-12-02,274,2702,713.0,785.0,240.76254030058143
2025-12-03,362,3158,2702.0,713.0,283.2728431460124
2025-12-04,411,3214,3158.0,2702.0,306.59548427018547
2025-12-05,349,3220,3214.0,3158.0,311.2584352300118
2025-12-06,221,2436,3220.0,3214.0,244.33189039952768
2025-12-07,91,848,2436.0,3220.0,106.24917769649794
2025-12-08,87,791,848.0,2436.0,91.27247388772008
2025-12-09,308,3018,791.0,848.0,268.65420682114643
2025-12-10,300,3047,3018.0,791.0,275.0395437357833
2025-12-11,372,3088,3047.0,3018.0,298.33589598067687
2025-12-12,284,3001,3088.0,3047.0,291.1903980367176
2025-12-13,240,2628,3001.0,3088.0,259.29880498189476
2025-12-14,80,736,2628.0,3001.0,95.05618730311974
2025-12-15,82,770,736.0,2628.0,90.9446591865696
2025-12-16,337,3302,770.0,736.0,292.0490264420291
2025-12-17,340,3205,3302.0,770.0,289.0042312625759
2025-12-18,322,3146,3205.0,3302.0,306.15035547581505
2025-12-19,282,2785,3146.0,3205.0,274.1246558937331
2025-12-20,249,2580,2785.0,3146.0,255.25725594108116
2025-12-21,75,741,2580.0,2785.0,93.47955956979557
2025-12-22,70,738,741.0,2580.0,87.77723809722738
2025-12-23,315,3217,738.0,741.0,284.7190323815789
2025-12-24,314,3102,3217.0,738.0,279.6938874402882
2025-12-25,248,2921,3102.0,3217.0,285.8417795079499
2025-12-26,291,2947,2921.0,3102.0,286.70292996444886
2025-12-27,270,2763,2947.0,2921.0,269.3257360726682
2025-12-28,79,696,2763.0,2947.0,91.40413908336784
2025-12-29,66,732,696.0,2763.0,88.79219175581174
2025-12-30,301,2709,732.0,696.0,240.61433590440396
2025-12-31,208,2353,2709.0,732.0,214.21449166142102
